MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nAmber, darf ich dir ein paar persönliche\nFragen stellen? Ich benötige Material für\nmeinen Roman.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アンバー\nDu schreibst ein Buch über mich! Oh, Mann!\nIch liebe das! Leg los.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ジェーデ\nIch fange mal mit einer leichten Frage an. Was\nmagst du am allerliebsten?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アンバー\nIst das eine ernsthafte Frage? Komm schon!\nAlpakas! Alpakas in jeder Hinsicht. Sie sind die\nbesten.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アンバー\nAls ich noch zu Hause lebte, habe ich eine\nHerde Alpakas gehütet. Ich bin ein Meister in\nSachen Alpaka-Gerangel, weißt du?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ジェーデ\n„Meister im Alpaka-Gerangel“. Erstaunlich.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08アンバー\nDas meine ich ernst! Wenn hier jetzt ein Alpaka\nwäre, würde ich es dir zeigen.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アンバー\nAber wir sind meilenweit von einer Alpakafarm\nentfernt, daher--\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ジェーデ\nMoment! Was war das für ein Geräusch?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アンバー\nDas ist der Klang eines Alpakas im vollen\nGalopp!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ジェーデ\nDu hast recht! Ich sehe es jetzt, es kommt\ndirekt auf uns zu!\x0E\x04\x00\x00
