MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0C\nエーティエ\nHey, Lapis. Hast du kurz Zeit?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ラピス\nSicher doch, Etie. Was kann ich für dich tun?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nエーティエ\nIch habe gehört, dass du alles bauen kannst,\nwonach dir der Sinn steht. Stimmt das?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ラピス\nWas? Wo hast du denn das aufgeschnappt?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ラピス\nNa ja, da ist schon was dran. Mit den richtigen\nMaterialien kann ich alles Mögliche herstellen.\nMöbel, Spielzeug...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\nIch habe sogar schon mal Instrumente für ein\nregionales Konzert gebaut. Das hat richtig viel\nSpaß gemacht.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nエーティエ\nWie toll! Du, hör mal, ich würde dich gerne um\neinen Gefallen bitten.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nエーティエ\nWürdest du mir einen Apparat fürs\nMuskeltraining bauen?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ラピス\nDu meinst ein Trainingsgerät? Holla! Also so\netwas habe ich definitiv noch nie gebaut.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nエーティエ\nFür mich gibt es nichts Schöneres als\nKrafttraining.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nエーティエ\nIch habe bereits viele unterschiedliche Arten\ndes Trainings ausprobiert, aber es wird immer\nschwieriger, meine Ziele allein zu erreichen.\x0E\x04\x00\x00
