MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x18\x12E005_Boss\x021\n\x0E\x03\x02\x14\x12E005_Boss\nWirst du dem Schicksal trotzen, Verzweiflung\nzurückweisen, Bande mit Verbündeten knüpfen?\x0E\x04\x02\x00
MID_OP1_#002	Wird deine andere Hälfte\nan deiner Seite bleiben?\x0E\x04\x02\x00
MID_OP1_#003	Die Könige und Königinnen sind entschwunden\nwie Schnee in der Sonne, wie Sand im Wind.\x0E\x04\x02\x00
MID_OP1_#004	Wer bleibt übrig? Ein vertrauter Fremder, ein\nNahestehender, dessen Namen du nicht kennst.\x0E\x04\x02\x00
MID_OP1_#005	Einer kennt die Wahrheit.\x0E\x04\x02\x00
MID_OP1_#006	In dieser Welt gibt es keine Leere.\nDein Traum wird sich nicht erfüllen.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x1A\x14E004_マデリーン\x021\n\x0E\x03\x00\x1A\x14E004_グレゴリー\x022\n\x0E\x03\x00\x16\x10M011_モーヴ\x023\n\x0E\x03\x00\x1C\x16E004_セレスティア\x024\n\x0E\x03\x02\x16\x14E004_マデリーン\nMilady Nel kommt nicht zu uns, oder?\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x16\x14E004_グレゴリー\nAllein unter einem Baum sitzend, schweigend...\nSo in sich gekehrt habe ich sie noch nie erlebt.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x12\x10M011_モーヴ\nSie sitzt nun schon seit einer halben Stunde\ndort. Vielleicht sollten wir ihr unsere Hilfe\nanbieten.\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x18\x16E004_セレスティア\nMauvier, du hast wirklich keine Ahnung von\nder Zartheit eines Herzens, oder?\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x12\x10M011_モーヴ\nÄh... ähm... Ich kann dir nicht folgen.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x18\x16E004_セレスティア\nMilady Nel hat gerade ihre innersten Gefühle\noffenbart – eine Liebe, die sie seit Jahren ver-\nborgen hielt.\x0E\x04\x02\x00
