MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0C\nエーティエ\nBist du bereit, Boucheron?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nブシュロン\nHm? Bereit wofür?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nエーティエ\nBereit, mir zu verraten, was du in dein Essen\nkippst, um solche Muskeln zu bekommen.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nブシュロン\nHahaha, nicht das schon wieder. Ich habe dir\ndoch schon gesagt, dass es nichts mit meiner\nErnährung zu tun hat.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nエーティエ\nDas hast du gesagt, ja, aber heute finde ich die\nWahrheit heraus.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nブシュロン\nAber das ist die Wahrheit.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nブシュロン\nIch habe ein natürliches, starkes Muskel-\nwachstum. Das ist alles.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nエーティエ\nDu bleibst also bei deinem Märchen, hm?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nエーティエ\nDenn ich sollte dir ganz unverblümt verraten,\ndass ich dich genau beobachtet habe,\nBoucheron.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nブシュロン\nDas hast du? Und?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nエーティエ\nUnd daher weiß ich, dass du Tag für Tag nach\ndeinem morgendlichen Training nichts anderes\ntust, als zu angeln oder zu lesen.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nエーティエ\nIch schwitze mich tagsüber kaputt, während du\nganz entspannt mit einem Buch oder der Angel\nunter einem Baum sitzt.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nエーティエ\nEs ist unmöglich, dass du so herumhängst und\ntrotzdem in solcher Bestform bleibst.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nエーティエ\nDaher gehe ich davon aus, dass das, was auch\nimmer du heimlich tust, gut funktioniert!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nブシュロン\nAlso schön, hör zu...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nエーティエ\nWas, du benutzt MAGIE? Unglaublich!\nWas du für ein paar Muskeln alles auf dich\nnimmst!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nブシュロン\nNein! So ist es nicht. Es ist ehrlich gesagt\nüberhaupt nichts!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nブシュロン\nIch will darüber nicht mehr diskutieren. Die\nLeute sollten nicht sehen, wie die Getreuen des\nPrinzen miteinander streiten.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nブシュロン\nSchönen Tag noch, Etie.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nエーティエ\nKlaaar. Genau das würde jemand sagen,\nder tatsächlich was zu verbergen hat!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x02\x0C\nブシュロン\nWie das Licht durch die Baumkronen fällt.\nWelch perfektes Plätzchen für den Nachmittag.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0C\nエーティエ\nBoucheron!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nブシュロン\nEtie! Hast du mich erschreckt. Brauchst du\nwas?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nエーティエ\nIch bin nur zum Beobachten hier.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nブシュロン\nUnd was beobachtest du, wenn ich fragen darf?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nエーティエ\nDich natürlich. Ich WERDE dein Geheimnis\nlüften.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nブシュロン\nDann mach mal, Etie. Ich kann dich\noffensichtlich nicht aufhalten.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nエーティエ\nDa hast du mal so richtig recht.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nエーティエ\nHmm. Oberflächlich keine Auffälligkeiten.\nKeine geheimen Gewichte in die Kleidung\neingenäht.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nエーティエ\nAugenblick mal. Du hast da was Hartes unter\ndeiner Kleidung. Ich habe dein Geheimnis\nentdeckt!\x0E\x04\x00\x00
