MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0C\nマデリーン\nHallo... Hättest du einen Moment Zeit für mich?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06モーヴ\nHuch. Mar--\x0E\x04\x02\x00
MID_RELIANCE_C_#003	Nein. Du musst Madeline sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nマデリーン\nJa, das ist richtig.\x0E\x04\x02\x00
MID_RELIANCE_C_#005	Und du bist Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06モーヴ\nJa.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nマデリーン\nÄhmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06モーヴ\nBrauchst du etwas?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nマデリーン\nVerzeih. Ich wollte nur Hallo sagen und mich\nangemessen vorstellen.\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Aus einer anderen Welt kommend, bin ich über-\nzeugt, dass ich noch viel über deine Welt lernen\nkann.\x0E\x04\x02\x00
MID_RELIANCE_C_#011	Ich freue mich, dich kennenzulernen und\ndarauf, gemeinsam für den Frieden zu kämpfen.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06モーヴ\nDeine herzliche Begrüßung wurde vermerkt.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Ich hatte in der Tat auf eine Gelegenheit\ngehofft, mich mit dir unterhalten zu können.\nDanke, dass du zu mir gekommen bist.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nマデリーン\nOh, du musst dich nicht bedanken. Es gehört\nsich für eine nachrangige Ritterin, sich bei den\nhochrangigen Rittern vorzustellen.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06モーヴ\nHochrangig? Ich habe gesehen, wie du dich in\nder letzten Schlacht mit Leichtigkeit durch die\nReihen der Gegner gekämpft hast.\x0E\x04\x02\x00
MID_RELIANCE_C_#016	Für mich ist es offensichtlich, dass du eine\nmutige, fähige Ritterin bist.\nGut gemacht, Madeline.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nマデリーン\nOh... Ähm...\x0E\x04\x02\x00
MID_RELIANCE_C_#018	Danke. Das ist sehr nett.\x0E\x04\x02\x00
MID_RELIANCE_C_#019	Aber bitte, so ein Lob ist nicht vonnöten.\nIch bin eine Ritterin, ich habe geschworen,\nmeine Verbündeten zu beschützen.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06モーヴ\nDas ist deine Einstellung? Wunderbar.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nマデリーン\nIch... Ähm...\x0E\x04\x00\x00
