MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ヴェイル\nHortensia, ich wollte dir nur sagen, dass ich...\nIch möchte, dass wir Freundinnen sind.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ヴェイル\nDaher frage ich mich, ob wir uns unterhalten\nkönnten.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch habe dir nichts zu sagen.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ヴェイル\nOh...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nMein Vater ist deinetwegen gestorben. Warum\nsollte ich da wollen, dass wir Freundinnen sind?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nEs ist mir ganz egal, ob du kontrolliert wurdest\noder was auch immer, und nun wieder ganz die\nAlte bist.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch werde niemals den Anblick vergessen, als\ndu lachend zugesehen hast, wie mein Vater\nstarb.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nAlso bitte... Lass mich einfach in Ruhe.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ヴェイル\nIch... Ich wollte mich unbedingt dafür\nentschuldigen.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nElusia hätte niemals die Verehrung des\nDämonendrachen erlauben dürfen.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nSeine Macht allerdings... So sehr ich es hasse,\ndas zuzugeben – ich bin darauf neidisch.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nWäre ich mit dem geboren worden, was er\nbesitzt – was du besitzt –, dann würde mein\nVater heute noch leben.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ヴェイル\nSei froh, dass du nicht als Dämonendrache\ngeboren wurdest. Es ist ein Leben voller Angst,\nSchmerz und Verfolgung.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ヴェイル\nIch habe mir stets gewünscht, als Mensch ge-\nboren zu sein. Für mich erschien jenes Leben\nso viel... erträglicher.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nHm-hm, klar. Ich bin sicher, dass dein Leben\nschrecklich ist. Armes Ding.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cオルテンシア\nWir werden niemals Freundinnen, Veyle.\nLeb wohl.\x0E\x04\x00\x00
