MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nHey! Prinzessin Timerra!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nミスティラ\nHey, Lady Anna! Was gibt's?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06アンナ\nEine Frage: Wovon gibt es im Königinreich Solm\nnicht genug?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nミスティラ\nHahaha. Ein Rätsel? Ich liebe Rätsel!\nDann denken wir mal nach...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06アンナ\nDas ist kein Rätsel. Und auch kein anderes\nSpiel!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nミスティラ\nOh, nicht? Warum fragst du denn dann?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06アンナ\nWenn ich weiß, was in Solm fehlt, kann ich\nentscheiden, was ich vorbereiten und verkaufen\nsoll.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06アンナ\nIch dachte, wenn irgendjemand alles über Solm\nweiß, dann bist du es.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nミスティラ\nAlso fragst du mich um Rat, was du dort\nverkaufen solltest. Klingt nachvollziehbar.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06アンナ\nDa ich jetzt von meiner Familie getrennt bin,\nmuss ich mir ja irgendwie meine Brötchen\nverdienen.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06アンナ\nUnd ein gutes Geschäft ist da meine einzige\nHoffnung.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nミスティラ\nWeißt du... In Solm gibt es bereits eine Menge\nHändler. Es gibt leichtere Märkte, in denen du\nFuß fassen kannst.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06アンナ\nDu meinst, die Vertriebswege für Standard-\nbedarfsgüter sind bereits umfassend etabliert?\x0E\x04\x00\x00
