MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x08\x06ジャン\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ジャン\nEs ist zwecklos. Ich hab's satt, dass ich mir\nnichts von diesen Dingen merken kann.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リンデン\nPlagt dich etwas, Junge?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ジャン\nHallo, Sir. Ich hab nur versucht, das Buch hier\nzu lesen.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リンデン\nZu so später Stunde liest du noch? Ich\nbewundere deinen Fleiß. Was studierst\ndu denn?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ジャン\nMedizin.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リンデン\nHmm. Du siehst müde aus. Es muss schwer für\ndich sein, dich zu solch später Stunde noch zu\nkonzentrieren.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ジャン\nIch weiß, ich hab nich' genug geschlafen, aber\nes gibt so viel, das ich lernen und mir merken\nmuss.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リンデン\nSchlachten bei Tage, Studium bei Nacht... Die\nKerze, die an beiden Enden brennt, besteht\nnicht lange, Junge.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リンデン\nDu wirst deinen Körper erschöpfen, lange bevor\ndu gelernt hast, für andere zu sorgen.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ジャン\nIch weiß, dass Ihr recht habt. Es ist nur...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リンデン\nEs täte dir wohl gut, wenn du dein Buch zur\nSeite legen und es ein wenig langsamer angehen\nwürdest.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ジャン\nAber ich muss noch so viel lernen!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リンデン\nBücher sind wundervolle Lehrer, Junge, aber\nes gibt Lektionen, die sie nicht vermitteln\nkönnen.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リンデン\nEs ist vielleicht an der Zeit, dass du dich\nanderswo umsiehst, ob du das ein oder andere\nlernen kannst.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リンデン\nTu das und du wirst eventuell merken, dass\ndir die Bücher mehr Wissen geben, wenn du\ndanach wieder zu ihnen zurückkehrst.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ジャン\nMeint Ihr wirklich?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リンデン\nDas tue ich in der Tat. Gib mir ein paar Tage\nZeit, dann werde ich eine Unterrichtslektion\nfür dich vorbereitet haben.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nWir sind da, Jean. Dies ist dein neuer\nKlassenraum.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ジャン\nEine Wiese?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ジャン\nWieso sind wir hier? Ich seh niemanden, der\nmir was beibringen könnte.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リンデン\nDann sieh genauer hin.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ジャン\nÄh... Wohin denn?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リンデン\nDie Blumen, die um uns herum blühen. Sie\nwerden für heute deine Lehrer sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ジャン\nHahaha, Ihr macht Scherze, oder, Sir?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リンデン\nOh, durchaus nicht. Ich meine es sehr ernst.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リンデン\nDu hast dich selbst erschöpft, Junge, sowohl\nkörperlich als auch geistig.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リンデン\nNichts, was du in diesem Moment in einem\nBuch lesen könntest, kann dir so viel beibringen,\nwie diese Blumen es vermögen.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リンデン\nTu mir den Gefallen und setz dich neben mich.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ジャン\nAlso gut... Wenn Ihr das sagt.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リンデン\nNun leg dich langsam auf den Rücken und sieh\nin den Himmel. Dann atme lang und tief ein.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ジャン\nIn Ordnung.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ジャン\nSo?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リンデン\nDu liebe Güte, hast du das gehört? Die Blumen\nflüstern dir etwas zu.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ジャン\nMachen sie das?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ジャン\nIch hör nichts.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リンデン\nHmm. Versuch, deine Schultern noch mehr zu\nentspannen und gehe so mit deinen Ohren\nnäher an sie heran.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ジャン\nÄhm...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06ジャン\nIch hör immer noch nichts.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06ジャン\nSie riechen allerdings gut. Und da ist eine\nschöne Brise in der Luft.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08リンデン\nIst das so? Dann solltest du das alles wohl\nmehr in dich aufnehmen.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06ジャン\nDas mache ich.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06ジャン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x08\x06ジャン\nZzzz...\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0A\x08リンデン\nEndlich eingeschlafen. Das wurde auch Zeit.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x08\x06ジャン\nSir, es tut mir leid, dass ich neulich so unhöflich\nwar. Ich wollt nich' einschlafen, mitten in 'ner\nUnterrichtsstunde.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リンデン\nDu musst dich für nichts entschuldigen. Es\nging ja gerade darum, dir etwas Ruhe zu\nverschaffen.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リンデン\nDoch es gab auch etwas, das du von den\nBlumen lernen konntest.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ジャン\nEcht?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リンデン\nSei nicht so eifrig, dass du deine Ruhepausen\nvernachlässigst. Du wirst sonst den Wald vor\nlauter Bäumen nicht sehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ジャン\nOch...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ジャン\nIch muss zugeben, ich konnt mich viel besser\nauf das Buch konzentrieren, als ich von der\nWiese zurückgekommen bin.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リンデン\nAha! Freut mich zu hören.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ジャン\nSir? Würdet Ihr mir die Ehre erweisen, mich\nals Studenten anzunehmen?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リンデン\nWer, ich?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ジャン\nIch habe so viel gelernt durch diese Lektion.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ジャン\nIch brauche mehr als Bücher. Es wäre besser,\nwenn ich auf ein breites Wissen und großen\nSachverstand zurückgreifen könnte.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ジャン\nDas ist das, was ein meisterhafter Weiser wie\nIhr mir bieten könnt.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リンデン\nHm-hm, ein meisterhafter Weiser, wie?!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ジャン\nDarf ich Euch nicht als solchen bezeichnen?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リンデン\nNein, nein, das ist schon in Ordnung. Nur...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リンデン\nIch habe so viel zu lehren und ich werde immer\nälter. Es mag sein, dass ich ein Ende finde,\nbevor meine Lektionen beendet sind.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ジャン\nDarüber würde ich mir keine Sorgen machen.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ジャン\nIch lerne noch, aber als Euer Arzt werde ich\ndafür sorgen, dass Ihr immer bei guter Gesund-\nheit bleibt.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リンデン\nHm-hm, so sieht also unsere Abmachung aus,\nhm? Guter Schachzug, guter Schachzug.\x0E\x04\x00\x00
