MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x12\x0Cアルフレッド\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nVander, ich muss mich bei Euch entschuldigen.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nEntschuldigen? Aber wofür denn?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nFür mein Versagen.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nWäre ich schneller nach Lythos gereist, hätte\nich Königin Lumera retten können.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch weiß, wie viel Euch die Königin bedeutet\nhat... Es tut mir wirklich leid, dass sie nicht\nmehr unter uns weilt.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nヴァンドレ\nIhr irrt, Prinz Alfred.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nヴァンドレ\nWenn jemand beschuldigt werden sollte, könnte\ndas Los ebenso gut auf mich fallen. Mehr noch\nals auf Euch sogar, da ich einst ihr Behüter war.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nヴァンドレ\nWie Ihr seht, müsst Ihr Euch für nichts\nentschuldigen.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nAber ich--\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nヴァンドレ\nWenn Ihr nicht vor Ort gewesen wärt, Prinz\nAlfred, wären unsere Verluste sogar noch\ngrößer ausgefallen.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nヴァンドレ\nMeines Erachtens gibt es ausreichend Grund,\nEuch dankbar zu sein, doch keinen einzigen,\nEuch etwas nachzutragen.\x0E\x04\x00\x00
