MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nOooh, was hab ich denn da gefunden? Einen\nAlfred! Wusste gar nicht, dass es den hier gibt!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nHey, Yunaka! Lebst du dich gut ein?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06ユナカ\nVolle Kanne! Alle sind so zuckersüß.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ユナカ\nDas Willkommen war vielleicht sogar ein\nbisschen ZU herzlich, weißt du?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ユナカ\nIch bin eine unbekannte Größe. Ich könnte jeder\nsein. Was, wenn ich jemand wäre? Wer wüsste\ndavon?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ユナカ\nEs ist erschreckend praktisch, dass mir noch\nkeiner nachgeschnüffelt hat, um es\nrauszufinden.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh. Sollte ich etwa mehr schnüffeln?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ユナカ\nDas wäre die logische Schlussfolgerung.\nIch sag ja nur.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nNun, ich möchte dich tatsächlich besser\nkennenlernen.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nDaher sollten wir uns mehr miteinander\nunterhalten, wenn wir die Gelegenheit haben.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ユナカ\nUnterhalten? So stellst du dir Informations-\nbeschaffung vor? Mehr hast du nicht drauf?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ユナカ\nDenk doch mal nach, Kumpel. Ich könnte ein\nfeindlicher Spion sein!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nAber wahrscheinlich nicht. Ich vertraue dir.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ユナカ\nOh, du verrückter Kerl. Wo kommt denn so viel\nunbegründete Zuversicht her?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ユナカ\nWurdest du noch nie im Leben betrogen?\nBeschwindelt? Hintergangen? Verraten?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nHahaha! Die Frage höre ich oft!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ユナカ\nOft, sagt er. Mann, dieser Kerl hat echt keinen\nFunken Selbsterkenntnis im Leib!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ユナカ\nIch kann dich nicht verstehen, Alfred. Aber ich\nwerde diesem geschenkten Dolch nicht auf die\nKlinge schauen.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ユナカ\nWenn du mir vertraust, freut mich das. Danke.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nJederzeit, Yunaka!\x0E\x04\x00\x00
