MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nGuten Morgen, Prinz Diamant. Ihr seid offenbar\nein früher Vogel, so wie ich.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nNicht ganz, Prinz Alfred. „Nachteule bis zum\nfrühen Vogel“ träfe es wohl eher.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nIhr meint, Ihr wart schon die ganze Nacht wach?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nGenau das.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nVor dem Zubettgehen wollte ich mich noch um\neine wichtige Aufgabe kümmern. Und ehe ich\nmich versah, dämmerte der Morgen herauf.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nUnd was genau habt Ihr getan?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nIch verfasste Bittbriefe an die Adligen von\nBrodia. Unser Militär benötigt Unterstützung.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nJeder noch so kleine Kredit wird in der Zukunft\npolitisch gegen mich verwendet werden. Das\nmacht mir Sorgen... aber ich habe keine Wahl.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nHm. Ich meine, ich verstehe. Ich kann Eure...\nNöte nachvollziehen.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nJeder Kronprinz hat offenbar letztlich die\ngleichen Probleme – egal, über welches\nKönigreich er herrscht.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nHm. Das bezweifele ich nicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nNun denn, ich muss zu meiner Morgenpatrouille\nzurückkehren.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nDürfte ich Euch begleiten? Es wäre töricht von\nmir, mich jetzt noch schlafen zu legen.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nEin Spaziergang und ein Gespräch mit dem\nPrinzen eines benachbarten Königreichs klingen\ndeutlich verlockender.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nSehr freundlich von Euch. Zu schade, dass wir\nsolche Gelegenheiten nur während dunkler\nZeiten finden, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nDoch ein langer Spaziergang mag genau das\nRichtige sein, um einander besser\nkennenzulernen.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nLasst mich mit einer Frage beginnen.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nWas ist Euer Lieblingsmuskel?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nWas? Hahaha, das ist Euer Eisbrecher?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh, hups.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch war so konzentriert darauf, die Fassade\naufrechtzuerhalten. Aber ich fürchte, mit der\nFrage habe ich es vermasselt.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nNein, es ist gut. Tatsächlich könnte ich mir\ndavon eine Scheibe abschneiden. Es täte mir\nwohl gut, nicht immer so formell zu sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0E\x0Cアルフレッド\nWirklich? Das wäre spitze, Prinz Diamant.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nHey, Prinz Diamant.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nPrinz Alfred! Seid Ihr wieder auf dem Weg zu\nEurem Training?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nJa. Ich dachte, ich frage Euch mal, ob Ihr\nmitkommen wollt. Oder ist es gerade\nunpassend?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nEs ist sogar sehr passend. Ich habe mich gerade\nauf mein eigenes Training vorbereitet.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nSehr schön. Dann wollen wir mal!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x04\x03\x04
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nHYAH!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nHgh! HYAH!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nAch! Ist das alles, was Ihr draufhabt?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nHa! Wohl kaum. Mal sehen, was Ihr hiervon\nhaltet!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x04\x03\x04
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch... wäre bereit, für heute Schluss zu machen.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nIch denke, ich auch. Das war großartig.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nSchon komisch...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nIch hätte nie gedacht, dass ich jemals außerhalb\ndes Schlachtfeldes die Schwerter mit einem\nrivalisierenden Prinzen kreuzen würde.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nUnd das auch noch lächelnd. Es war ein gutes\nTraining.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nIch weiß, dass unsere Reiche einen Nicht-\nangriffspakt unterzeichnet haben, aber ich hätte\nnie mit diesem Ergebnis gerechnet.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nEs war... schön.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cアルフレッド\nKommt schon. Das geht aber besser als nur\n„Es war schön“. Wie wäre es mit:\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\n„Es war besser, als ich es mir jemals hätte\nträumen lassen!“. So würde ich es jedenfalls\nformulieren.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nHahaha, ja, das klingt passend.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nWären unsere Reiche in diesem Krieg nicht\nverbündet, hätten wir nicht gemeinsam\ntrainieren können.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nIch denke, das ist etwas, wofür wir dankbar\nsein können.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cアルフレッド\nRichtig so. Jetzt denkt Ihr positiv.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nDass wir beide diesen Krieg als Freunde\nverlassen werden, ist ein schöner Gedanke.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0E\x0Cアルフレッド\nSo leid es mir tut, aber da bin ich mir nicht so\nsicher. Es wird nicht immer so sein wie jetzt.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0E\x0Cディアマンド\nNicht?\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch fürchte nicht. Denn wenn der Krieg erst mal\nvorbei ist... werden wir beide noch bessere\nKumpel sein!\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x0E\x0Cディアマンド\nHa! Mir gefällt, wie Ihr denkt, Prinz Alfred.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nPrinz Alfred. Darf ich Euch sprechen?\x0E\x04\x00\x00
