MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nSeadall, ich hörte, du seist wirklich gut im\nWahrsagen.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08セアダス\nDas bin ich.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セアダス\nOder wahrscheinlich sollte ich eher sagen...\nich war es.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ヴェイル\nOh. Bedeutet das, dass du... nicht mehr gut\ndarin bist?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セアダス\nNun, ich vermute, ich bin momentan in einer\nArt Trott gefangen.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ヴェイル\nHm. Ich wusste gar nicht, dass Wahrsager\nüberhaupt in einen Trott verfallen können.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セアダス\nSo scheint es. Manchmal fehlt einfach das\nrichtige Gefühl, und das macht sich beim Lesen\nder Karten dann bemerkbar.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ヴェイル\nVerstehe. Nun, ich hatte vor, dich zu bitten,\nmir wahrzusagen.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セアダス\nBereitet Euch etwas Sorgen?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ヴェイル\nKönnte man sagen. In letzter Zeit bin ich immer\nschrecklich müde. Ich hoffte, es gäbe vielleicht\neinen Weg, die Müdigkeit loszuwerden.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セアダス\nAh so. Ich fürchte, im Moment kann ich Euch\nkeine große Hilfe sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nGibt es etwas, das du tun kannst, damit du\ndein Glück beim Wahrsagen wiederbekommst?\x0E\x04\x00\x00
