MID_CARD_KEYHELP_TURN_OVER	Karte umdrehen
MID_CARD_KEYHELP_EDIT	Bearbeiten
MID_CARD_KEYHELP_CARD_LIST	Kartenliste
MID_CARD_KEYHELP_STAMP_LIST	Stempel
MID_CARD_KEYHELP_STAMP_SWITCHING	Bearbeiten
MID_CARD_KEYHELP_DELETE	Löschen
MID_CARD_KEYHELP_END	Beenden
MID_ProfileCard	Visitenkarte
MID_ProfileCard_MyCard	Meine Karte
MID_ProfileCard_MyCard_Description	Bearbeite den Text deiner\nVisitenkarte und ihr Aussehen.
MID_ProfileCard_Notes_Terms	Bei geteilten Inhalten finden die\nCommunity-Richtlinien Anwendung, die du\nauf der Nintendo-Website einsehen kannst.\nBitte verhalte dich anderen Spielern gegenüber\nrücksichtsvoll.
MID_ProfileCard_Album	Andere Karten
MID_ProfileCard_Album_Help	And. Karten ansehen/löschen
MID_ProfileCard_Album_Description	Sieh dir die Visitenkarten an,\ndie du im Turm der Prüfungen\nerhalten hast.
MID_ProfileCard_Photo	Fototermin
MID_ProfileCard_Photo_Description	Fotografiere deine Lieblings-\nverbündeten für deine Visitenkarte.
MID_ProfileCard_Photo_Warning	Nur im Somniel-Außenbereich möglich.
MID_ProfileCard_Setting	Privatsphäre
MID_ProfileCard_Setting_Description	Du kannst die Einstellungen zur\nPrivatsphäre für deine Visitenkarte\nändern.
MID_ProfileCard_Setting_Warning_Public	Momentane Einstellung: Öffentlich
MID_ProfileCard_Setting_Warning_Private	Momentane Einstellung: Privat
MID_ProfileCard_Setting_Confirm	Wähle die Einstellung zur Privatsphäre für\ndeine Visitenkarte. Die Einstellung lässt sich\njederzeit ändern. (Hinweis: Änderungen der\nEinstellung wirken sich nicht auf bereits\ngetauschte Visitenkarten aus.)
MID_ProfileCard_Setting_Public	Öffentlich
MID_ProfileCard_Setting_Private	Privat
MID_ProfileCard_ShowStamp	Einstellung
MID_ProfileCard_ShowStamp_Description	Du kannst wählen, ob du Stempel\nauf erhaltenen Visitenkarten ein-\noder ausblenden möchtest.
MID_ProfileCard_ShowStamp_Warning_Show	Momentane Einstellung: Stempel einblenden
MID_ProfileCard_ShowStamp_Warning_Hide	Momentane Einstellung: Stempel ausblenden
MID_ProfileCard_ShowStamp_Confirm	Wähle, ob die Stempel der Visitenkarten\nein- oder ausgeblendet werden sollen. (Du\nkannst diese Einstellung jederzeit wieder\nändern.)
MID_ProfileCard_ShowStamp_Show	Einblenden
MID_ProfileCard_ShowStamp_Hide	Ausblenden
MID_ProfileCard_Settings_Cannot_Change	Diese Einstellung unterliegt den\nAltersbeschränkungen und kann\nnicht geändert werden.
MID_ProfileCard_Card_PlayerInfo	Spielerinformation
MID_ProfileCard_Card_TolalPlayTime	Gesamtspielzeit
MID_ProfileCard_Card_Birthday	Geburtstag
MID_ProfileCard_Card_Difficulty	Schwierigkeit
MID_ProfileCard_Card_GameMode	Modus
MID_ProfileCard_Card_FaivoriteCharacter	Lieblingscharakter
MID_ProfileCard_Card_Relay	Staffelprüfungen
MID_ProfileCard_Card_FavoriteMap	Lieblingskarte
MID_ProfileCard_Card_PlayingCount	So oft gespielt
MID_ProfileCard_Card_Versus	Dimensionsprüf.
MID_ProfileCard_Card_ThemeOfEditMap	Kartenthema
MID_ProfileCard_Card_VersusRate	Spezialkampfrang
MID_ProfileCard_Card_SortieCount	Einsätze
MID_ProfileCard_Card_AchievementCount	Erfolge
MID_ProfileCard_MyCard_Help	Karte ansehen & bearbeiten.
MID_ProfileCard_Edit	Karte bearbeiten
MID_ProfileCard_Edit_Help	Wähle, was bearbeitet wird.
MID_ProfileCard_Edit_Title	Titel
MID_ProfileCard_Edit_Title_Help	Wähle einen Titel aus.
MID_ProfileCard_Edit_Title_Caption	Titelliste
MID_ProfileCard_Edit_Comment	Kommentar
MID_ProfileCard_Edit_Comment_Help	Wähle drei Begriffe.
MID_ProfileCard_Edit_Comment_Caption	Kommentar erstellen
MID_ProfileCard_Edit_FavoriteCharacter	Lieblingscharakter
MID_ProfileCard_Edit_FavoriteCharacter_Help	Wähle einen Charakter.
MID_ProfileCard_Edit_FavoriteCharacter_Caption	Charakterliste
MID_ProfileCard_Edit_FavoriteRelayMap	Lieblingskarte
MID_ProfileCard_Edit_FavoriteRelayMap_Help	Wähle eine Karte.
MID_ProfileCard_Edit_FavoriteRelayMap_Caption	Kartenliste
MID_ProfileCard_Edit_Bg	Hintergrund
MID_ProfileCard_Edit_Bg_Help	Wähle ein Design.
MID_ProfileCard_Edit_Bg_Caption	Hintergründe
MID_ProfileCard_Edit_Frame	Kartenrahmen
MID_ProfileCard_Edit_Frame_Help	Wähle ein Design.
MID_ProfileCard_Edit_Frame_Caption	Kartenrahmenliste
MID_ProfileCard_Edit_TextDeco	Farbschema
MID_ProfileCard_Edit_TextDeco_Help	Wähle ein Farbschema aus.
MID_ProfileCard_Edit_TextDeco_Caption	Schemaliste
MID_ProfileCard_Edit_TextColor	Textfarbe
MID_ProfileCard_Edit_TextColor_Help	Wähle eine Textfarbe aus.
MID_ProfileCard_Edit_TextColor_Caption	Textfarbenliste
MID_ProfileCard_Edit_CharecterStamp	Bild
MID_ProfileCard_Edit_CharecterStamp_Help	Wähle ein Bild aus.
MID_ProfileCard_Edit_CharecterStamp_Caption	Bilderliste
MID_ProfileCard_Edit_Stamp	Stempel
MID_ProfileCard_Edit_Stamp_Help	Verziere deine Karte.
MID_ProfileCard_Edit_Stamp_Count	Stempel
MID_ProfileCard_Edit_Stamp_ConfirmToClear	Alle Stempel löschen?\n(Kann nicht rückgängig gemacht werden!)
MID_ProfileCard_Edit_Stamp_ConfirmToClear_Yes	Alle löschen
MID_ProfileCard_Edit_Stamp_ConfirmToClose	Stempelplatzierung beenden?
MID_ProfileCard_Edit_Stamp_SaveAndClose	Ende (Speichern)
MID_ProfileCard_Edit_Stamp_NoSaveAndClose	Ende (Änd. verwerfen)
MID_ProfileCard_Edit_Stamp_ContinueToEdit	Abbrechen
MID_ProfileCard_Album_ConfirmToDelete	Visitenkarte von \x0E\x01\x00\x00 löschen?
MID_ProfileCard_Album_Delete	Löschen
MID_ProfileCard_Possession	In Besitz
MID_ProfileCard_Language_Attention	Die Spracheinstellung wurde geändert,\ndaher wurde dein Kommentar zurückgesetzt.
MID_ProfileCard_Net_Save_Confirm_Match	Visitenkarte des anderen Spielers speichern?
MID_ProfileCard_Net_Save_Confirm_Relay	Visitenkarten der Spieler der Staffelprüfung\nspeichern?
MID_ProfileCard_Net_Save_Done	Visitenkarte(n) erfolgreich gespeichert.
MID_ProfileCard_Net_Overlimit_Title	Karten löschen
MID_ProfileCard_Net_Overlimit_Title_Help	Wähle die zu löschende Karte.
MID_ProfileCard_Net_Overlimit_Incomplete	Du hast die maximale Anzahl an Visitenkarten\nüberschritten. Bitte lösche Visitenkarten, um\ninnerhalb der erlaubten Anzahl zu bleiben.
MID_ProfileCard_Comment_CharacterFeeling	Persönlichkeit
MID_ProfileCard_Comment_FeaturePosition	Rollen & Waffen
MID_ProfileCard_Comment_AdpositionConjection	Bindewörter & Titel
MID_ProfileCard_Comment_Tearms	Spiel-Terminologie
MID_ProfileCard_Comment_ClassStyle	Klasse & Einheitentypen
MID_ProfileCard_Comment_PersonName	Charaktere
MID_STAMP_KEYHELP_TITLE	Stempeln
MID_STAMP_KEYHELP_PUT_A_STAMP	Stempel
MID_STAMP_KEYHELP_LR_REVERSE	Spiegeln
