MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06カゲツ\nJa, ich sehe es! Prinzessin Ivy, heute Abend gibt\nes... Bumm-bumm-ba-BAAA! Gebratenes\nGemüse!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アイビー\nAha.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06カゲツ\nEure Reaktion darauf ist nicht gerade über-\nwältigend. Mögt Ihr kein gebratenes Gemüse,\nMilady Ivy?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アイビー\nIch mache mir nicht viel aus dem Abendessen.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06カゲツ\nWas bedeutet es dann, dass Euer Gesicht so\neinen zweifelnden Ausdruck zeigt?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08アイビー\nIch denke nach.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アイビー\nDu kannst in die Zukunft blicken.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08アイビー\nDu siehst niemals etwas Wichtiges, aber deine\nVorhersagen sind jedes Mal richtig.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06カゲツ\nWie nett, dass Ihr das bemerkt!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08アイビー\nDas war kein Kompliment. Ich verstehe nicht,\nwie du das schaffst – und das finde ich\nbefremdlich.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06カゲツ\nIch bin befremdlich? Wieso?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アイビー\nDu bist eine unbekannte Größe. Ich mag\nunbekannte Größen nicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06カゲツ\nIhr mögt mich nicht, Prinzessin Ivy? Wir haben\nalle unsere Vorlieben und Abneigungen,\nnehme ich an, aber das macht mich traurig.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06カゲツ\nWartet! Ihr mögt mich vielleicht nicht, aber ich\nmag Euch genug, dass es für uns beide\nreicht. Also gibt es kein Problem!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アイビー\nHahaha!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アイビー\nDu bist wirklich ein seltsamer Vogel, Kagetsu.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06カゲツ\nAh! Es geht doch! Da ist Euer Lächeln!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06カゲツ\nWenn ich solch ein Lächeln in Euer Gesicht\nzaubern kann, dann dürft Ihr mich ruhig nicht\nmögen.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nPrinzessin Ivy! Ich wuchs an einem Ort namens\nWeiße Wüste auf.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アイビー\nUnd... warum erzählst du mir das?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06カゲツ\nIhr sagtet, Ihr würdet unbekannte Größen nicht\nmögen.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06カゲツ\nDaher werde ich Euch nun alles über mich\nerzählen. Dann bin ich nicht mehr unbekannt.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アイビー\nNun, das ist nicht die schlechteste Idee,\ndas muss ich dir zugestehen.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06カゲツ\nWenn Ihr mich erst kennt, dann werden wir\nnicht mehr nur Prinzessin und Getreuer sein,\nsondern Freundin und Freund!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06カゲツ\nDas ist doch einen Versuch wert.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アイビー\nAh...hahaha...\x0E\x04\x00\x00
