MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nAmber, ich habe eine Frage. Wie genau trainiert\nein Ritter aus dem Königreich Brodia?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アンバー\nWarum möchtest du das denn wissen?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06メリン\nUm ehrlich zu sein... Ich habe Brodias Ritter\nschon immer bewundert und bin neugierig.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06メリン\nDein Land wird Königreich der Krieger genannt,\ndaher müssen eure Trainingsmethoden doch\nwirklich außergewöhnlich sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アンバー\nBei uns entwickeln sich viele starke Krieger,\naber ich glaube, das liegt an dem Terrain.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アンバー\nBrodia besteht nur aus Klippen und Schluchten.\nFür normale Landwirtschaft ist es nicht wirklich\ngeeignet, weißt du?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08アンバー\nIn vielen Orten arbeitet man im Bergbau, daher\nwerden die Leute von ganz allein robust und\nstark.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06メリン\nAh so! Dann ist Krafttraining also einfach nur\nTeil ihres täglichen Lebens?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08アンバー\nFür die meisten schon, jepp! Ich bin auf einer\nAlpakafarm aufgewachsen, daher sahen meine\ntäglichen Arbeiten etwas anders aus.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06メリン\nAlpakas?! Diese seltenen Viecher von\nschlechtem Ruf?!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06メリン\nDas ist fantastisch! Ich liebe Viecher von\nganzem Herzen, seltene ganz besonders!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06メリン\nWenn du auf einer Farm gearbeitet hast, musst\ndu doch alles über sie wissen. Bitte, erzähl mir,\nwas du weißt!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アンバー\nNun, zunächst einmal sind Alpakas superfluffig.\nUnd dann? Sie sind wirklich niedlich.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\nSie spucken allerdings oft. Da muss man\naufpassen.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06メリン\nSpucken?! Ausgezeichnet! Ich bin sicher, dass\nmir Alpakaspucke gar nichts ausmachen würde.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アンバー\nVertrau mir, das würde es. Es dauert ewig,\nden Geruch aus deiner Kleidung herauszu-\nbekommen. Oder dem Haar.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アンバー\nIch will ja nicht angeben, aber ich bin ein ge-\nschickter Alpakaspucke-Ausweicher geworden .\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アンバー\nHah! Huuwah! Das sind nur zwei der einfachen\nSpucke-Ausweichbewegungen.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08アンバー\nWha-ah! AAAH!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08アンバー\nWarum müssen Steine stets meine tollen\nBewegungen sabotieren?\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06メリン\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06メリン\nAber ja! Ich habe von einem Ritter aus Brodia\nnichts Geringeres erwartet! Sehr beeindruckend.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0A\x08アンバー\nHm?\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x08\x06メリン\nBrodias Ritter sind nicht nur stark, sie sind auch\nagil genug, jemandem vorzuspielen, sie würden\nhinfallen. Sehr gut gespielt!\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x08\x06メリン\nNun, du musst mich wirklich bald in das\nGeheimnis deiner Stärke einweihen.\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x0A\x08アンバー\nEh, das hat dir gefallen? Also... jepp, das war\nalles so geplant! Ich bin ein Musterexemplar von\nStärke und Gewandtheit.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nAmber! Ich hatte gehofft, du würdest mich\nheute in das Geheimnis deiner brodianischen\nStärke einweihen.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nDas ist nicht wirklich ein Geheimnis. Wie ich\nneulich schon sagte, ist es in der Hauptsache\ndie körperliche Arbeit auf der Farm.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06メリン\nHmm. Es klingt, als ob Ausdauer dann sehr\nwichtig sei, hm?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アンバー\nOh, auf jeden Fall. Je besser deine Ausdauer,\ndesto länger kannst du trainieren!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06メリン\nAh ha. Gut zu wissen.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06メリン\nWenn ich mir vorstelle, dass man diese Aus-\ndauer aufbauen kann, indem man Alpakas\nversorgt. Ein wahr gewordener Traum!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06メリン\nIch wünschte, in meinem Land gäbe es Alpakas.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アンバー\nKeine Sorge, Merrin. Wenn du stark werden\nmöchtest, kann ich dir alles beibringen, was ich\nweiß.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06メリン\nDas kannst du? Das wirst du?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nDarauf kannst du wetten! Womit möchtest du\nanfangen? Laufen? Oder mit einigen der Haupt-\nübungen?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06メリン\nWarum nicht mit einem gemeinsamen Übungs-\nkampf? Nur, um zu sehen, wie viel Ausdauer ich\nmomentan schon habe.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nOh, gute Idee! Es ist nett, einen neuen Übungs-\npartner zu haben.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06メリン\nIch bezweifle, dass ich für dich eine Herausfor-\nderung bin. Ich werde einfach mein Bestes\ngeben und hoffen, mich nicht zu blamieren.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x04\x03\x04
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アンバー\nOch, menno...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\nIch kann das gar nicht glauben. Ich habe so...\neinfach gewonnen.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アンバー\nIch kann nicht glauben, dass ich über meine\neigenen Füße gestolpert bin. Ich habe dabei\nnicht mal angegriffen. So was von jämmerlich.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06メリン\nSekunde... Du willst mich nur einlullen, damit\nich unaufmerksam werde, nicht wahr? Du lenkst\nmich wieder mit gespieltem Hinfallen ab, oder?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アンバー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アンバー\nTut mir leid, Merrin, aber ich hör auf. Der\nUnterricht ist für heute beendet, in Ordnung?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06メリン\nOh, in Ordnung. Ein anderes Mal dann.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x0A\x08アンバー\nHey, Merrin! Es tut mir wirklich leid!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06メリン\nWarum entschuldigst du dich bei mir?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アンバー\nEs geht um den Übungskampf neulich.\nIch bin wirklich gestolpert, und ich habe wirklich\ngegen dich verloren.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06メリン\nEhrlich?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\nEs war keine Strategie oder ein gespieltes Hin-\nfallen. Ich bin einfach nur... zur Seite gefallen,\nweil ich unachtsam war.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アンバー\nDas passiert oft. Ich bin eigentlich ziemlich\ntollpatschig.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アンバー\nIch falle immer irgendwo hinein, sogar in meine\nRolle als Ritter von Brodia. Das war alles ein\nreiner Glücksfall!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06メリン\nDas glaube ich dir nicht. Nicht für eine Sekunde.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06メリン\nIch stamme selbst aus einem kleinen Dorf und\nweiß, wie hart du dafür gearbeitet haben musst,\num dorthin zu kommen, wo du jetzt bist.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06メリン\nNiemand wird zum Getreuen eines Kronprinzen,\nwenn er nicht ein enormes Maß an Anstrengung\nzeigt.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06メリン\nDu magst etwas unkoordiniert sein, aber ich\nhabe keinen Zweifel, dass du ein exzellenter\nRitter bist, Amber.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アンバー\nDas zu hören, ist sehr ermutigend.\nVielen Dank, Merrin.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アンバー\nIch sollte in Wahrheit von dir lernen, weißt du?\nKönnen wir noch mehr zusammen trainieren?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06メリン\nNatürlich. Es wäre mir eine Ehre, mit einem\nRitter aus dem Königreich Brodia zu trainieren.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08アンバー\nSuper! Ich kann gar nicht erwarten, dass wir\nanfangen!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アンバー\nMit deiner Hilfe werde ich meine Tollpatschig-\nkeit ablegen und im Nullkommanichts ein\nrespektabler Ritter werden!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06メリン\nEs scheint mir, das Geheimnis von Brodias\nStärke ist eure ernsthafte Einstellung.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06メリン\nHahaha, ich denke, ich werde ein oder zwei\nDinge von dir lernen, mein Freund.\x0E\x04\x00\x00
