MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x02\x0A\x08アンバー\nGrah. Ich muss diesen Ort erkunden...\nAber allein wäre das viel zu gefährlich...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nVerzeih, ich kam nicht umhin, dir zuzuhören.\nPlanst du einen Ausflug irgendwohin?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アンバー\nHör dir das mal an, Panette. Es gibt Gerüchte\nüber einen Wald hier in der Nähe, in dem sich\nein altes Herrenhaus befinden soll.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パネトネ\nOh? Ich habe von dem Ort noch nie etwas\ngehört.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アンバー\nIch auch nicht! Ich habe das gerade erst\nerfahren! Wenn man den örtlichen Legenden\nglaubt, hat dort ein berühmter Ritter gelebt.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アンバー\nEr war ein mutiger und edler Krieger, der\nkämpfte, als sei er unsterblich... bis er gestorben\nist.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08アンバー\nEinen Tag nach seinem Tod berichteten einige\nLeute, sie hätten die blasse Gestalt des Ritters\nin seinem Anwesen herumwandern sehen.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パネトネ\nWie ungewöhnlich!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08アンバー\nDer arme Kerl weiß nicht, dass er gestorben\nist! Nun durchstreift er seine Gemächer als\nSchatten seines einstigen Selbst.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パネトネ\nWürde ihn das nicht zu einem... Geist machen?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08アンバー\nOh. Huch. Nun, wenn du das wissenschaftlich\nbetrachten willst, sicher...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08パネトネ\nKlasse, ich würde den Ort zu gerne sehen.\nIch bin in Geister ganz vernarrt.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アンバー\nBist du?! Großartig! Lass uns den Ort\nzusammen erkunden!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\nDas wird dann viel, viel leichter, als wenn ich\ndas ganz allein tun würde.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アンバー\nSogar Prinz Diamant hat mir eine Absage\nerteilt. Und er hat nun wirklich vor nichts Angst!\x0E\x04\x00\x00
