MID_WU_C_1_IN_#001	Darf ich reinkommen?
MID_WU_C_1_IN_#002	Oder gibt das Ärger?
MID_WU_C_1_SOON_#001	Tut mir leid Euch zu wecken...
MID_WU_C_1_SOON_#002	Aber deswegen bin ich ja eigentlich hier.
MID_WU_C_1_SOON_#003	Guten Morgen, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.
MID_WU_C_1_WAKEUP_#001	Ich habe Angst, \x0E\x0A\x00\x10\x06den\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin zu wecken,\naber...
MID_WU_C_1_WAKEUP_#002	Ich will das hier auch nicht vermasseln.\nWas soll ich nur tun?
MID_WU_C_1_WAKEUP_#003	Vielleicht... wenn ich beginne...
MID_WU_C_1_WAKEUP_#004	zu flüstern...
MID_WU_C_1_HELLO_#001	Guten Morgen, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.
MID_WU_C_1_HELLO_#002	Tut mir leid.\nIch hoffe, ich habe Euch keine Angst gemacht.
MID_WU_C_1_HELLO_#003	Nächstes Mal versuche ich,\nEuch sanfter zu wecken.
MID_WU_C_2_IN_#001	Das Gemach \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin...
MID_WU_C_2_IN_#002	Hier gibt es doch keine Fallen, oder?
MID_WU_C_2_IN_#003	Neeee, niemals...
MID_WU_C_2_SOON_#001	Ah, Ihr habt mich gehört.
MID_WU_C_2_SOON_#002	Habe ich Euch erschreckt?
MID_WU_C_2_SOON_#003	Seufz.
MID_WU_C_2_SOON_#004	Ich kenne das Gefühl nur zu gut.
MID_WU_C_2_WAKEUP_#001	Hm... Hallo?
MID_WU_C_2_WAKEUP_#002	Puh, ich dachte, ich sei zu laut.
MID_WU_C_2_WAKEUP_#003	Wie mache ich das nur?\nIch will doch gar nicht zu furchteinflößend sein.
MID_WU_C_2_WAKEUP_#004	Hm, wenn ich flüstere... Nichts ist schlimmer,\nals aus dem Schlaf aufgeschreckt zu werden.
MID_WU_C_2_WAKEUP_#005	Wacht auf, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche...
MID_WU_C_2_HELLO_#001	Wie habt Ihr geschlafen?
MID_WU_C_2_HELLO_#002	Ihr seid doch damit einverstanden...
MID_WU_C_2_HELLO_#003	wenn ich Euch aufwecke?
MID_WU_C_2_HELLO_#004	Eure Miene scheint dies zu bejahen.
MID_WU_B_1_IN_#001	Ihr seid immer so beschäftigt...
MID_WU_B_1_IN_#002	Kein Wunder,\ndass Ihr schwer aus den Federn kommt.
MID_WU_B_1_SOON_#001	Oh. Möchtet Ihr etwas länger schlafen?
MID_WU_B_1_SOON_#002	Ich war schon darauf vorbereitet,\nnoch ein wenig an Eurer Seite zu warten.
