MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ロサード\nHahaha! Bildschön, Hortensia!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nHm? Was hast du gesagt?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ロサード\nSieh mal! Ich habe ein Bild von dir gezeichnet!\nIch kann wirklich schnell zeichnen. Dieses\nTalent schlummert quasi in mir.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ロサード\nSiehst du? Das ist wie ein Spiegel! Sieh nur,\nwie hübsch du bist!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nBitte? Ich starre in die Ferne. Ich sehe\nlangweilig aus.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nMach es noch einmal. Hier, ich werde dieses\nMal richtig für dich posieren.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ロサード\nMir gefällt es.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nSoll das ein Witz sein? Es ist schrecklich. Dieser\nAusdruck... drückt mich kein bisschen aus!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nDies ist meine Schokoladenseite. Zeichne mich\nnoch mal.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ロサード\nNee. Der erste Gesichtsausdruck ist immer\nnoch der bessere.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nDies ist ein Befehl deiner Prinzessin.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ロサード\nGut, gut. Mach noch mal so ein Gesicht... Fertig.\nEntspricht das deiner Vorstellung?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nPerfekt! Wirf das andere auf jeden Fall weg.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nWir dürfen zukünftigen Generationen nicht den\nEindruck vermitteln, ich sei ein langweiliges\nMädchen gewesen, das ins Nichts starrte.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ロサード\nAn dir ist nichts langweilig...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ロサード\nJa, sie liegt völlig falsch. Dieser Gesichtsaus-\ndruck ist wirklich viel besser.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x02\x0E\x0Cオルテンシア\nHey! Das ist doch das Portrait, das du\ngezeichnet hast, und bei dem ich ins Nichts\nstarrte!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch hatte dir gesagt, es wegzuwerfen. Warum\nist es dann noch hier?\x0E\x04\x00\x00
