MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nMeine Güte. Was trinkst du denn da, Lapis?\nDas riecht ja himmlisch.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ラピス\nPrinzessin Céline? Äh... Das ist gewöhnlicher\nTee. Ja. Da ist nichts Besonderes dran.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セリーヌ\nDarf ich einmal kosten?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ラピス\nWas? Nein! Ihr seid eine Prinzessin. Ihr solltet\nso was nicht trinken.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セリーヌ\nWas soll denn daran so schlimm sein? Du\nscheinst doch keine negativen Folgen zu\nerleiden.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\nDarum geht es nicht, sondern... Also...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ラピス\nNun, ich habe die Teeblätter nicht im Geschäft\ngekauft. Stattdessen habe ich sie von einer\nWildblume in der Nähe gepflückt.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08セリーヌ\nDu sagst also, dass du deinen eigenen Tee\nkreiert hast? Das ist ja wundervoll.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セリーヌ\nJetzt muss ich einfach darauf bestehen, ihn zu\nversuchen.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ラピス\nÄh... Nun gut. Wenn Ihr darauf besteht. Hier.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セリーヌ\nDanke.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セリーヌ\nOh! Das ist aber erfrischend. So einen\nGeschmack hatte ich gar nicht erwartet.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ラピス\nEr schmeckt Euch? Ich habe auch das\nTeeservice von Hand gefertigt.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セリーヌ\nDu hast das selbst gemacht? Diese\nKunstfertigkeit ließe so manchen Handwerker\nvor Neid erblassen!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08セリーヌ\nIch bin beeindruckt, dass du so viele Dinge ganz\nallein herstellen kannst.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ラピス\nDas weiß ich zu schätzen, aber das ist wirklich\nnichts Besonderes.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セリーヌ\nUnsinn, Lapis. Wenn es dir nicht zu viel Mühe\nbereitet, könntest du mich lehren, solchen Tee\naufzubrühen?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08セリーヌ\nIch bin neugierig, welche Wildpflanzen man\ndafür pflücken muss und wie man den Tee aus\nihnen bereitet.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ラピス\nSehr gerne. Dann gehen wir demnächst dafür\nin den Wald und ich zeige es Euch.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08セリーヌ\nExzellent. Ich werde brav aufpassen, meine\nTee-Lehrerin.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06ラピス\nSchauen wir mal... Das Gebüsch hier drüben ist\nessbar.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ラピス\nGekocht schmecken die Blätter lecker. Man\nkann sie essen, oder sie trocknen und als Tee\naufbrühen.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08セリーヌ\nSehr interessant.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ラピス\nSeht Ihr diese Beeren? Die kann man nicht\nessen. Aber zerstoßen ergeben sie eine gute\nSalbe.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セリーヌ\nDie habe ich schon überall wachsen gesehen.\nAber bisher wusste ich gar nicht, dass man sie\nso nutzen kann.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ラピス\nMit diesem Moos hier kann man gut\nVerbrennungen behandeln.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ラピス\nMan trocknet es, zerstößt es zu feinem Puder\nund mischt das dann mit Wasser, um eine\nberuhigende Paste zu erhalten.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セリーヌ\nWunder über Wunder!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ラピス\nWenn Ihr wirklich so interessiert seid, kann ich\nEuch noch viel mehr beibringen.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ラピス\nIch komme aus einem ganz normalen,\nwohlhabenden Dorf. Aber ich habe Freunde\naus etwas ärmeren Gegenden.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ラピス\nAlles, was ich über das Sammeln weiß, habe\nich von ihnen gelernt.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セリーヌ\nIch muss mich bei deinen Freunden bedanken.\nGemeinsam mit dir haben sie mir so vieles\nbeigebracht.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ラピス\nDanke.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ラピス\nIch muss sagen, es überrascht mich, dass eine\nPrinzessin Interesse an solchen Sachen hegt.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ラピス\nSicherlich habt Ihr es nicht nötig, in der Wildnis\nnach Tee zu suchen. Ihr könnt doch einfach in\nein Geschäft gehen.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ラピス\nUnd auch Medizin. Ihr könnt alle Salben und\nPasten, die Ihr braucht, einfach kaufen, richtig?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セリーヌ\nUnter normalen Umständen ja. In Friedenszeiten\nist deine Aussage sicher korrekt.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セリーヌ\nAber in dieser beschwerlichen Zeit ist nichts\nmehr sicher. Dein Wissen mag sich noch als\nnützlich erweisen.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08セリーヌ\nIch vermute, du hast noch mehr zu lehren,\nLapis, und ich bin gewillt, alles davon\naufzunehmen.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ラピス\nWenn Ihr das wünscht, Prinzessin Céline...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06ラピス\nDann werde ich mein über die Jahre\nerworbenes Wissen gerne teilen.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06ラピス\nÄh. Also, was ich von meinen Freunden gehört\nhabe, meine ich!\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セリーヌ\nHahaha. Aber natürlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x02\x0A\x08セリーヌ\nMal sehen... Dieses Kraut muss getrocknet\nwerden, und dann rührt man es vor dem\nVerzehr wieder mit Wasser an.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08セリーヌ\nDieses Moos wird getrocknet und pulverisiert,\num dann gegen Bauchschmerzen gegessen zu\nwerden. Ich glaube, das ist alles.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nUnd natürlich diese Blätter, aus denen man\neinen sehr interessanten Tee brühen kann.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06ラピス\nPrinzessin Céline? Schreibt Ihr da etwas auf?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セリーヌ\nAh, hallo, Lapis. Ich habe nur gerade die\nWeisheit, die du mit mir geteilt hast, in meinem\nNotizbuch niedergeschrieben.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セリーヌ\nVielleicht könntest du es einmal durchlesen und\nmir sagen, ob ich noch ein Detail oder zwei\nvergessen habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ラピス\nSehr gerne. Doch ich muss fragen... Wieso tut\nIhr das?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08セリーヌ\nUm auf das Schlimmste vorbereitet zu sein,\nschätze ich.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ラピス\nWas meint Ihr denn? In den Vorräten gibt es\ndoch keine Knappheit an Nahrung und Medizin.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セリーヌ\nOh, ich meine nicht für uns. Ich meine für mein\nVolk.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ラピス\nWarum braucht es das?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セリーヌ\nFirene ist eine fruchtbare Nation. Doch ich kann\nmich nicht darauf verlassen, dass dies ewig so\nbleibt.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セリーヌ\nEs gibt zahlreiche Ereignisse, die das Land\nverwüsten könnten.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セリーヌ\nWenn das geschehen sollte, dachte ich, dass\nsich dein Wissen als nutzbringend erweisen\nkönnte.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ラピス\nIch... Ich hatte keine Ahnung, dass Ihr mit\nmeinen Informationen solch große Pläne habt.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セリーヌ\nNatürlich habe ich nicht vor, dich\nauszuwringen. Ich werde sicherlich auch andere\ndarüber befragen.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08セリーヌ\nDu hast deine eigenen Pflichten, die deine Zeit\nin Anspruch nehmen, daher werde ich dich\nnicht zu sehr belästigen.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ラピス\nNein, das ist schon in Ordnung. Ich helfe gerne,\nso gut ich kann. Bitte, belästigt mich nach\nHerzenslust.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ラピス\nWenn die Fähigkeiten gut genutzt werden\nkönnen, die ich erworben habe, um in\nunfruchtbarem Land zu überleben...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ラピス\nDann will ich sie gerne teilen!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08セリーヌ\nDanke, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セリーヌ\nAber, ähm... Ich meine mich zu erinnern, du\nhättest all das von deinen Freunden gelernt.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ラピス\nACK!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ラピス\nEs... Es tut mir so leid. Ich habe Euch angelogen.\nAll dieses Wissen habe ich aus erster Hand\nerfahren.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08セリーヌ\nWirklich? Dann entschuldige dich nicht.\nWissen aus erster Hand ist für mich noch viel\nwertvoller.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08セリーヌ\nDanke für deine Ehrlichkeit. Deine\nUnterstützung in diesem Bereich bedeutet\nmir sehr viel, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ラピス\nHabt Dank, Prinzessin Céline. Es ist mir eine\nFreude, Euch und Eurem Volk dienen zu dürfen!\x0E\x04\x00\x00
