MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nHmm. Was tun, was tun...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nエーティエ\nWorum geht es, Prinz Fogado?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nフォガート\nAch, nichts Ernstes. Ich denke nur über Ideen\nfür meine nächste Party nach.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nIch will einfach nur was ausrichten, was auf\ndie Gesichter der Leute ein Lächeln zaubert,\naber das ist ganz schön knifflig.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nエーティエ\nWas ist an einer Party denn so knifflig?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nフォガート\nNa ja, weißt du, zu Kriegszeiten stehen nicht\ngerade viele Bands für einen Auftritt zur\nVerfügung.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nフォガート\nAußerdem ist unser Budget sehr begrenzt, also\ngibt es kaum Spielraum für Fehler.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nエーティエ\nHm. Über die ganzen Sachen hatte ich noch nie\nnachgedacht, aber ich glaube, Ihr habt recht.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nフォガート\nOh, wie wäre es mit einer Dessertparty?\nWo man sich einfach trifft und Süßes nascht?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nエーティエ\nDesserts sind das Gegenteil einer Party.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nフォガート\nHm... Also ich kenne niemanden, der Desserts\nhasst.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nエーティエ\nHassen ist zu hart. Aber ich liebe meine Muskeln\neinfach viel zu sehr, als dass ich sie mit solch\ngehaltlosen Kalorien belasten möchte.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nエーティエ\nUnd wenn Ihr stattdessen eine Trainingsparty\nveranstaltet?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nフォガート\nWas soll das für eine Party sein?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nエーティエ\nEine, bei der sich die Leute treffen und nichts\nanderes tun, als Ihre Muskeln zu definieren.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nフォガート\nHm... Interessanter Vorschlag. Wird aber\nvermutlich nicht jedem gefallen.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nエーティエ\nMeint Ihr nicht?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nフォガート\nNein. Ich überlege weiter. Trotzdem danke.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nエーティエ\nPrinz Fogado, irgendwelche neuen Partyideen?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nフォガート\nArgh, nein. Es ist... ein weites Feld.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nフォガート\nIch dachte an ein Fleischfestmahl, aber die\nmeisten Festmahle beinhalten ohnehin Fleisch,\nalso wäre das nichts Besonderes.\x0E\x04\x00\x00
