MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クラン\x022\n\x0E\x03\x02\x08\x06クラン\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, was macht Ihr denn da?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nOh, hallo, Clanne.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nIch räume bloß ein wenig auf. Morgen wird ein\nanstrengender Tag, da wollte ich das lieber jetzt\ngleich erledigen.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クラン\nLasst mich das übernehmen. Ihr solltet Euch\nausruhen!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nIst schon in Ordnung. Das bisschen Arbeit\nmacht mir nichts aus.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クラン\nNein, nein, das geht doch nicht. Ich muss darauf\nbestehen!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nAber...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06クラン\nBitte! Ihr wisst, ich habe lange Zeit auf Euer\nErwachen gewartet.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クラン\nUnd nicht nur ich. Die Behüter vor mir haben\nihr ganzes Leben damit verbracht.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クラン\nUnd nun, nach tausend Jahren, darf ich Euch\ndienen! Das ist wie ein Wunder!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クラン\nAlso... bitte lasst mich diese Aufgabe\nübernehmen. Es wäre mir eine Ehre, Euch helfen\nzu können, wirklich, ehrlich!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nNa gut, du hast mich überredet. Dann überlasse\nich alles Weitere dir.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クラン\nIch danke Euch, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nWenn sich hier jemand bedanken sollte, dann\nich. Du bist immer so fürsorglich.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nIch kann mich glücklich schätzen, dich als\nBehüter zu haben.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06クラン\nMeint Ihr das ernst?! Oh Mann. Das macht mich\nso glücklich, ich könnte vor Freude glatt\nohnmächtig werden.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nHahaha, lieber nicht. Ich werde mir dann mal ein\nwenig Ruhe gönnen, nun, da ich nicht mehr\naufräumen muss.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クラン\x022\n\x0E\x03\x02\x0A\x08リュール\nÄhm, Clanne?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クラン\nAh... Hngh...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nPssst. Clanne. Clanne!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クラン\nAH! Ich bitte um Verzeihung, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nIst alles in Ordnung? Du hast erst gar nicht\nreagiert.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06クラン\nEs geht mir gut. Ich war nur kurz in Gedanken\nversunken.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nHör mal, ich habe das Gefühl, du überanstrengst\ndich total.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06クラン\nWas? Nein, überhaupt nicht! Ich habe nur... äh...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クラン\nIch... bin wirklich nicht...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nDu kannst es ruhig zugeben. Du bist völlig\nüberarbeitet, weil du immer versuchst, so viel\nfür mich zu erledigen.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06クラン\nWas? Nein! Keineswegs! Wenn überhaupt, dann\nstrenge ich mich noch nicht genug an!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クラン\nBitte gebt mir noch weitaus mehr zu tun! Für\nEuch ist mir nichts zu viel, \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クラン\nGanz im Ernst, was immer Ihr mir auftragt, ich\nwerde es ausführen. Nur zu! Gebt mir einen\nBefehl, jetzt gleich!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nNa gut. Wenn du darauf bestehst...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nIch befehle dir, dich auszuruhen.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クラン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06クラン\nDas ist nicht fair! Ihr schummelt!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nEs tut mir leid. Aber es gibt dich nur einmal! Ich\nkann nicht zulassen, dass du dich überarbeitest.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nDu musst dir ein wenig Auszeit gönnen, damit\ndu auch im Ernstfall einsatzbereit bist.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06クラン\nAber... Aber...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リュール\nRuh dich aus, Clanne. Das ist ein Befehl.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06クラン\nNa gut...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06クラン\nWenn Ihr darauf besteht, dann werde ich mich...\nnur mal kurz hinlegen...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クラン\x022\n\x0E\x03\x02\x0A\x08リュール\nClanne, du siehst wieder richtig munter aus!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クラン\nOh ja, ich fühle mich schon viel besser nach\nmeiner kleinen Auszeit!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nGut. Bitte versuche, dich in Zukunft nicht\nwieder zu übernehmen, ja?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06クラン\nÄh...\x0E\x04\x00\x00
