MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nÄhm, Veyle... Warum siehst du mich so an?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ヴェイル\nNun, ich... Geht es dir wirklich gut?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nDas tut es. ...Ich meine, es war seltsam, \x0E\x0A\x00\x12\x06ein\x08eine\n\x0E\x0A\x00*\x14Verzerrter\x12Verzerrte zu sein... und daraus dann wieder\naufzuwachen.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nAber jetzt geht es mir gut. Und das verdanke\nich allein dir, Veyle.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ヴェイル\nIch bin erleichtert.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ヴェイル\nIch... ich möchte mich für alles entschuldigen,\nwas ich getan habe. Das, was ich in der\nVergangenheit tat.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ヴェイル\nSo viele sind gestorben. Meinetwegen. Ich war\nzu schwach. Es ist meine Schuld, dass sie tot\nsind.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ヴェイル\nIch weiß, ich verdiene keine völlige Vergebung.\nAber wenn du mir zumindest ein wenig\nverzeihen könntest... Es tut mir so leid.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nOh, Veyle. Es war nicht deine Schuld. Du\nstandest unter der Kontrolle des Dämonen-\ndrachen. Er ist verantwortlich – nicht du.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nDu sagst, du seist schwach, aber es war deine\nStärke, die dich von ihm befreit hat. Das ist\nbeeindruckend.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nIch danke dir.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ヴェイル\nIch werde auch stärker werden. Wie ich schon\nsagte, möchte ich ein Drache wie du werden –\nbereit, die Welt zu retten.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ヴェイル\nIch werde alles in meiner Macht Stehende tun,\num diesen Traum zu verwirklichen. Ich hoffe\nnur... dass du mir dabei helfen wirst.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nDefinitiv. Dafür ist ein großer Bruder doch da.\x0E\x04\x00\x00
MID_RELIANCE_C_#015_F	\x0E\x03\x02\x0A\x08リュール\nDefinitiv. Dafür ist eine große Schwester\ndoch da.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nIch werde alles tun, was ich kann, um dir zu\nhelfen. Das ist das Mindeste, was ich tun kann,\num wiedergutzumachen, dass ich nicht da war.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nKeine Sorge, ich werde direkt neben dir sein,\nkleine Schwester. Gemeinsam schaffen wir das.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ヴェイル\nJa!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nKannst du dich noch daran erinnern, wie du mir\nden Drachenstein geschenkt hast?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nIch wünschte, ich könnte... Aber alle\nGeschehnisse vor meinem Erwachen sind nur\nverschwommene Erinnerungen.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ヴェイル\nNun, du und ich, wir haben uns nur ein einziges\nMal getroffen, vor 1000 Jahren.\x0E\x04\x02\x00
MID_RELIANCE_B_#003_F	\x0E\x03\x02\x0A\x08ヴェイル\nNun, du und ich, wir haben uns nur ein einziges\nMal getroffen, vor 1000 Jahren.\x0E\x04\x02\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nWir haben uns nur ein einziges Mal getroffen?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ヴェイル\nMm-hmm.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ヴェイル\nAll unsere Geschwister starben im Krieg.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ヴェイル\nDu warst der Einzige, der überlebte – und du\nbist zu mir gekommen.\x0E\x04\x02\x00
MID_RELIANCE_B_#007_F	\x0E\x03\x02\x0A\x08ヴェイル\nDu warst die Einzige, die überlebte – und du\nbist zu mir gekommen.\x0E\x04\x02\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ヴェイル\nIch war damals sehr jung – zerbrechlich und\nängstlich – und du hast mir den Drachenstein\ngegeben.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ヴェイル\nDu sagtest, du könntest nicht an meiner Seite\nbleiben, aber dass du trotzdem stets bei mir\nsein würdest.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nOh, das habe ich dir also gesagt... damals...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ヴェイル\nDas hast du. Der Drachenstein ist zerbrochen,\naber er war sehr lange Zeit mein mich beschüt-\nzender Talisman.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ヴェイル\nIch habe ihn fest an mich gedrückt, als Mutter\nstarb. Ich hielt mich an ihm fest, als Vater\nzurückkehrte und schlimme Dinge zu mir sagte.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ヴェイル\nIch wusste, solange ich den Drachenstein habe,\nkönnte ich stark sein... und durchhalten, bis ich\ndich wiedersehen würde.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nVeyle, ich...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ヴェイル\nSelbst, wenn du dich nicht erinnern kannst,\nwas du getan hast – ich bin dir immer noch so\ndankbar.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ヴェイル\nHättest du mir den Drachenstein nicht gegeben,\nhätten wir uns niemals wiedergefunden.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nAuch ich bin voller Dank... Ich war all die Jahre\nin deinem Herzen...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nOhne dich, Veyle, würde ich heute nicht hier\nstehen.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08ヴェイル\nNun, da wir wieder vereint sind, werden wir\nfür immer zusammenbleiben, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リュール\nJa. Nichts wird uns jemals wieder trennen.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nHahaha! Heute hatte ich so viel Spaß!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ヴェイル\nSo fühlt es sich also an, wenn man eine Familie\nhat.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nVeyle, es gibt da etwas... das ich dich fragen\nmöchte.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nWas denkst du über unseren Vater?\nÜber Sombron?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ヴェイル\nOh...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nBald werden wir ihm gegenüberstehen. Nicht\nals seine Kinder, sondern als seine Feinde.\nDaher... muss ich dich das fragen.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ヴェイル\nJa...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ヴェイル\nVater hat in der Vergangenheit so viele verletzt.\nUnd nun tut er es wieder. Er ist... böse.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ヴェイル\nEr hat mir niemals Zuneigung gezeigt und ich\nbezweifle, dass er überhaupt an mich denkt.\x0E\x04\x00\x00
