MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nHah! Hyah!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nシトリニカ\nHier bist du, Diamant. Ich dachte mir schon,\ndass ich dich hier finden würde.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nCitrinne. Ich erinnere mich nicht, jemandem\ngesagt zu haben, dass ich hier trainieren werde.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nシトリニカ\nNun, soviel ich weiß, ist dies dein bevorzugter\nRückzugsort, wenn dich etwas bekümmert.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nHahaha. Vor dir kann ich mich nicht verstecken.\nIch habe mich seit der Kindheit wohl nicht viel\nverändert.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nシトリニカ\nWir spielten damals oft in den Gärten des\nSchlosses, erinnerst du dich?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nIch wollte immer „Prinzessin“ spielen, aber am\nEnde hast du daraus ein Fangspiel gemacht.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nNatürlich. Fangen zu spielen eignet sich\nhervorragend als Training.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nAlso...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nGeht es um den Brief, den wir von den\nAdligen erhielten?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nシトリニカ\nIn der Tat. Sie sind begierig, eine Antwort\nzu erhalten.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nシトリニカ\nIch wurde geschickt, um dich direkt zu fragen,\nwie du zu zukünftigen Kriegszügen stehst.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nシトリニカ\nDiese Adligen sind Bekannte meiner Familie.\nAls Adlige kann ich ihre Wünsche nicht\nignorieren.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nHrmpf.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nシトリニカ\nDiamant, schick mich nicht ohne Antwort fort.\nMir fehlt die Energie für ein Fangspiel.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nKrieg ist profitabel. Der Adel erwartet, sich in\nkommenden Jahren die Säckel füllen zu können.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nIch dagegen beabsichtige nicht, während meiner\nRegentschaft als König Kriege zu führen.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nシトリニカ\nDas macht mich froh. Die Adligen werden dies\nungern hören, aber überlass sie ruhig mir.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nEs tut mir leid, dich zur Botin zu machen...\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nシトリニカ\nIst schon gut. Das ist mir immer noch lieber als\ndie diplomatischen Schlachten, die du bei Hofe\nzu überstehen hast.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nCitrinne! Danke, dass du den Adligen meine\nAntwort überbracht hast. Es ist nett, diese\nSache vom Hals zu haben.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nTut mir leid, falls es mühevoll war.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nシトリニカ\nEine königliche Hoheit muss sich nicht bei einer\nGetreuen entschuldigen, Prinz Diamant.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cディアマンド\n„Prinz“ Diamant? Das höre ich zum ersten Mal\naus deinem Munde. Ist alles in Ordnung?\x0E\x04\x00\x00
