MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nAaah... HAAA!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x02\x0A\x08ジェーデ\nSir Lindon? Was tut Ihr da?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リンデン\nAh, Jade! Hallo.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リンデン\nIch habe nur ein paar Törtchen mithilfe eines\nDonnerzaubers gebacken. Ich bevorzuge blitz-\nschnelle Törtchen.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リンデン\nOh! Sieh an, sieh an...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リンデン\nIch frage mich, was das wohl für ein Buch ist,\ndas du da trägst?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リンデン\nIch habe so gut wie jedes Buch, das jemals\ngeschrieben wurde, gelesen. Aber ich glaube\nnicht, dass ich diesen Umschlag wiedererkenne.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ジェーデ\nEs würde mich verwundern, wenn Ihr das\ntätet.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ジェーデ\nDas ist einer meiner Romane. Ich habe ihn\nselbst verfasst.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リンデン\nOh, bei meinen Stützstrümpfen! Wunderbar!\nBitte, du musst mir erlauben, es zu lesen.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ジェーデ\nIhr möchtet mein Buch lesen? Ich muss Euch\nvorwarnen, es ist eine leichtere Kost, als Ihr sie\nvielleicht mögt.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リンデン\nAlso eine Komödie, hm? So, so. Nun... das\nweckt nur noch mehr Interesse in mir.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リンデン\nIch könnte einen erfrischenden Ton vertragen.\nGibt es irgendetwas, womit ich dich überreden\nkann, mir das Buch zu geben?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リンデン\nWie wäre es, wenn ich Törtchen für dich backen\nwürde? Würde das die Sache besiegeln?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ジェーデ\nDas ist nicht nötig, auch wenn ich Euer Angebot\nzu schätzen weiß. Ich wäre geehrt, wenn ich\nerfahren könnte, wie Ihr über den Roman denkt.\x0E\x04\x00\x00
