MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスフォリア\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0C\nスフォリア\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, Königliche der drei Königreiche...\nWillkommen im Palast von Solm.\x0E\x04\x02\x00
MID_OP1_#002	Ich bin Seforia, die Königin von Solm.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nEs ist eine Ehre, Eure Bekanntschaft zu\nmachen, Königin Seforia.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x0C\nスフォリア\nGanz meinerseits. Es ist mir wirklich eine\nFreude.\x0E\x04\x02\x00
MID_OP1_#005	Und eine Überraschung! Ich hätte niemals\nerwartet, dass Fogado \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin\nhierherbringt.\x0E\x04\x02\x00
MID_OP1_#006	Von allen Taten auf seinen Streifzügen ist diese\ndie beeindruckendste.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x00\x10\nフォガート\x024\n\x0E\x03\x02\x0C\nフォガート\nIch habe nur getan, was jeder Prinz für seine\nKönigin tun würde.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x0C\nスフォリア\nFür dich bin ich immer noch „Mama“. Mein\nSohn. Versucht sich so kühl und abgeklärt zu\ngeben.\x0E\x04\x02\x00
MID_OP1_#009	Jedenfalls, all diese Vorstellungen bei Eurer\nAnkunft... Das waren ja wirklich... viele.\x0E\x04\x02\x00
MID_OP1_#010	Erst Ihr, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche, und dann die Königlichen\nvon Firene, Brodia und Elusia...\x0E\x04\x02\x00
MID_OP1_#011	Was für eine Gästeliste! Ich war so überwältigt,\ndass ich fast vom Thron geplumpst wäre.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x0A\x08リュール\nDas tut mir leid. Wir sind in einer äußerst\nwichtigen Angelegenheit hier.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0C\nスフォリア\nJa, das sagtet Ihr. Die Rückkehr des Dämonen-\ndrachen Sombron. Ich hatte ja keine Ahnung,\ndass all das vor sich ging.\x0E\x04\x02\x00
MID_OP1_#014	Und er hat diese Kreaturen erschaffen, hm?\nDas erklärt zumindest ihre Bösartigkeit.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x0A\x08リュール\nAber Euer Palast wurde nicht von Verzerrten\nangegriffen? Oder elusianischen Truppen?\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x0C\nスフォリア\nOh, das wurde er. Wir sind sie losgeworden.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x0A\x08リュール\nLosgeworden... Ich verstehe.\x0E\x04\x02\x00
MID_OP1_#018	Wartet, wirklich? Alle?\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x0C\nスフォリア\nIhr wirkt überrascht.\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x02\x0A\x08リュール\nIch bin beeindruckt. Und zweifellos froh, dass\nniemand in den Palast eingedrungen ist.\x0E\x04\x00\x00
MID_OP1_#021	\x0E\x03\x02\x0C\nスフォリア\nEs tut mir leid, zu hören, dass die anderen\nLänder damit ein härteres Los haben. Und\nKönigin Lumera...\x0E\x04\x02\x00
MID_OP1_#022	Ich habe sie über die Jahre viele Male in Lythos\nbesucht. Sie war stets freundlich zu mir.\x0E\x04\x02\x00
MID_OP1_#023	Selbstverständlich wird Euch das Königinreich\nvon Solm in Eurem Kampf gegen den\nDämonendrachen beistehen.\x0E\x04\x00\x00
MID_OP1_#024	\x0E\x03\x02\x0A\x08リュール\nIch danke Euch. Diesbezüglich hätte ich\neine Bitte.\x0E\x04\x02\x00
MID_OP1_#025	Der Ring des strahlenden Helden, der Eurem\nLand anvertraut wurde... Darf ich ihn nehmen?\x0E\x04\x00\x00
MID_OP1_#026	\x0E\x03\x02\x0C\nスフォリア\nNatürlich. Ich hole ihn sofort.\x0E\x04\x02\x00
MID_OP1_#027	Moment... Hmmm...\x0E\x04\x02\x00
MID_OP1_#028	Wo war er noch gleich?\x0E\x04\x00\x00
MID_OP1_#029	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP1_#030	\x0E\x03\x02\x0C\nスフォリア\nIch habe ihn schon eine Weile nicht mehr\ngesehen. Fogado, weißt du, wo der Ring sein\nkönnte?\x0E\x04\x00\x00
MID_OP1_#031	\x0E\x03\x02\x0C\nフォガート\nKeine Ahnung. Vielleicht in der Krimskrams-\nSchublade?\x0E\x04\x00\x00
MID_OP1_#032	\x0E\x03\x01\x0C\nフォガート\n\x0E\x03\x02\x0C\nスフォリア\nHm. Bitte wartet hier einen Moment.\x0E\x04\x00\x00
MID_OP1_#033	\x0E\x03\x02\x0A\x08リュール\nOh! Ja, gut...\x0E\x04\x00\x00
MID_OP1_#034	\x0E\x03\x01\x0C\nスフォリア\n\x0E\x03\x00\x0E\x08アイビー\x024\n\x0E\x03\x02\x0A\x08アイビー\nDie „Krimskrams-Schublade“...\x0E\x04\x00\x00
MID_OP1_#035	\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x00\x12\x0Cアルフレッド\x024\n\x0E\x03\x02\x0E\x0Cアルフレッド\nLag er etwa die ganze Zeit in einem muffigen\nSchrank herum?\x0E\x04\x00\x00
MID_OP1_#036	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x00\x12\x0Cディアマンド\x024\n\x0E\x03\x02\x0E\x0Cディアマンド\nDieser Ring ist einer der stärksten Emblem-\nRinge. Ich... Ich weiß nicht, was ich sagen soll.\x0E\x04\x00\x00
MID_OP1_#037	\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x00\x10\nスフォリア\x021\n\x0E\x03\x00\x10\nフォガート\x023\n\x0E\x03\x02\x0C\nスフォリア\nAh, wisst Ihr was? Mir ist es gerade wieder\neingefallen. Timerra hat ihn mitgenommen.\x0E\x04\x00\x00
MID_OP1_#038	\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nTimerra?\x0E\x04\x00\x00
MID_OP1_#039	\x0E\x03\x02\x0C\nフォガート\nMeine Schwester. Und auch die Kronprinzessin.\x0E\x04\x00\x00
MID_OP1_#040	\x0E\x03\x02\x0C\nスフォリア\nSie soll meine Krone erben... und wie Fogado\nist sie immer unterwegs und tut wer weiß was.\x0E\x04\x02\x00
MID_OP1_#041	Ehrlich gesagt habe ich das auch getan, als ich\njung war. Jedenfalls ist sie schon seit Tagen\nweg.\x0E\x04\x00\x00
MID_OP1_#042	\x0E\x03\x02\x0C\nフォガート\nSie kampiert sicher wieder irgendwo. Na toll,\ngerade jetzt.\x0E\x04\x00\x00
MID_OP1_#043	\x0E\x03\x00\x12\x0Cアルフレッド\x024\n\x0E\x03\x02\x0E\x0Cアルフレッド\nAlso ist es wahr. Die Kronprinzessin und der\nPrinz sind nicht oft zu Hause.\x0E\x04\x00\x00
MID_OP1_#044	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x00\x12\x0Cディアマンド\x024\n\x0E\x03\x02\x0E\x0Cディアマンド\nUnd sie weiß nicht, wann sie zurückkommen.\x0E\x04\x00\x00
MID_OP1_#045	\x0E\x03\x02\x0A\x08リュール\nWir können Prinzessin Timerra suchen.\nHabt Ihr eine Idee, wo sie sein könnte?\x0E\x04\x00\x00
MID_OP1_#046	\x0E\x03\x02\x0C\nスフォリア\nIch glaube, dass ihr Ziel die südliche Wüste war.\nIn diesem Fall würde sie wohl in der Oase ihr\nLager aufschlagen.\x0E\x04\x00\x00
MID_OP1_#047	\x0E\x03\x02\x0A\x08リュール\nGut. Dann machen wir uns dorthin auf den Weg.\x0E\x04\x00\x00
MID_OP1_#048	\x0E\x03\x02\x0C\nスフォリア\nAch, ein Ausflug zur Oase ist genau, was ich\nbrauche! Ich packe schnell meine Sachen.\x0E\x04\x00\x00
MID_OP1_#049	\x0E\x03\x02\x0C\nフォガート\nNun, Mama, wie wäre es, wenn du hierbleibst,\nhm?\x0E\x04\x00\x00
MID_OP1_#050	\x0E\x03\x02\x0C\nスフォリア\nOh, schon gut. Geht ohne mich, Kinder.\x0E\x04\x02\x00
MID_OP1_#051	Wenn ihr Timerra findet, dann ruft bitte das\nEmblem, ja? Ich würde es zu gerne einmal\nkennenlernen.\x0E\x04\x02\x00
MID_OP1_#052	Seid vorsichtig. Draußen wird es schon dunkel.\x0E\x04\x00\x00
MID_OP1_#053	\x0E\x03\x02\x0C\nフォガート\nKommt – ich zeige den Weg!\x0E\x04\x00\x00
MID_MOVIE1_#001	\x0E\x03\x02\x0C\nミスティラ\nMmmh, dieses Fleisch wird so was von lecker!\x0E\x04\x02\x00
MID_MOVIE1_#002	Ich hoffe, ihr habt Appetit auf Spaß,\ndenn der steht ganz oben auf der Speisekarte!\x0E\x04\x02\x00
MID_MOVIE1_#003	Ähem! Und nun eine exklusive Darbietung\nder einzigartigen, unvergleichlichen...\x0E\x04\x02\x00
MID_MOVIE1_#004	Timerra!\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nIch werde mein Lieblingslied zum Besten geben,\nmit meinen Hintergrundsängern Merrin und\nPanette!\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x00\x0C\x06メリン\x024\n\x0E\x03\x02\x08\x06メリン\nBin bereit.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x01\x08\x06メリン\n\x0E\x03\x00\x0E\x08パネトネ\x024\n\x0E\x03\x02\x0A\x08パネトネ\nIch ebenfalls!\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x0C\nミスティラ\nHoffentlich wisst ihr den Text noch!\nUnd eins, und zwei...\x0E\x04\x02\x00
MID_OP2_#005	♪Fleisch! Fleisch! Fleischiges Fleiiisch...♪\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x00\x1C\x16M013_蛮族_お頭Ａ\x021\n\x0E\x03\x02\x18\x16M013_蛮族_お頭Ａ\nWas haben wir denn hier? Ein paar hübsche\nVögelchen, die in der Nacht vor sich hin\nzwitschern. Piep, piep.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x00\x1C\x16M013_蛮族_お頭Ｂ\x023\n\x0E\x03\x02\x18\x16M013_蛮族_お頭Ｂ\nPiepen ist das richtige Stichwort. Der Ring von\nder da dürfte so einiges wert sein. Schnappen\nwir ihn uns.\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x0C\nミスティラ\n♪Fleischi-Fleischi, oh ja!\nFleischi-Fleischi... ♪\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x18\x16M013_蛮族_お頭Ａ\nHe! HE! Hört auf mit dem Gekrächze!\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x0C\nミスティラ\nWer seid ihr denn?\x0E\x04\x00\x00
