MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x00\x0C\x06クロム\x023\n\x0E\x03\x00\x0C\x06ルフレ\x024\n\x0E\x03\x02\x0A\x08リュール\nDieser Schrein sieht vielversprechend aus.\nSehen wir uns mal nach einem weiteren Armring\num.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x06\x04チキ\nAh! Gefunden! Hier, das ist der Armring des\nerhabenen Hirten!\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nInteressant. Darin befindet sich eine ungewöhn-\nliche Präsenz. Versuchen wir eine Anrufung...\x0E\x04\x02\x00
MID_OP1_#004	Erwache, Emblem der Bande!\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x00\x0C\x06ルフレ\x023\n\x0E\x03\x02\x08\x06クロム\nEndlich erwacht. Ich scheine wohl recht lange\ngeschlafen zu haben.\x0E\x04\x02\x00
MID_OP2_#002	Dann kann ich dich wohl nicht mehr mit deinen\nlangen Nickerchen aufziehen.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08リュール\nÄhm, hallo?\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x08\x06クロム\nAh, tut mir leid, wir müssen uns erst mal\nsammeln. Freut mich, Euch kennenzulernen.\nIch bin Chrom.\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x08\x06ルフレ\nEr ist der Anführer der Hirten. Ich bin Daraen,\nsein Taktiker.\x0E\x04\x02\x00
MID_OP2_#006	Solltet Ihr \x0E\x0A\x00\x10\x06der\x06diejenige gewesen sein, \x0E\x0A\x00\x10\x06der\x06die uns\naufgeweckt hat, so möchte ich Euch danken.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0A\x08リュール\nDas war ich. Ich bin \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin\n\x0E\x06\x03\x00. Und ihr seid also zwei Embleme\nin einem Armring?\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x08\x06クロム\nRichtig, aber das ist keine Überraschung.\nDaraen und mich verbinden Bande, die stärker\nals das Schicksal sind.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08リュール\nWie meinst du das?\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x08\x06ルフレ\nAn dem Tag, an dem wir Chroms ältere\nSchwester, die Erhabene Emmeryn, verloren,\nlegte ich gegenüber Chrom einen Eid ab.\x0E\x04\x02\x00
MID_OP2_#011	Keiner von uns beiden war halb so gut, wie sie\nes war. Aber zusammen wurden wir mehr.\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x08\x06クロム\nWir unterstützten uns von da an gegenseitig\nund gingen gemeinsam durch dick und dünn,\negal, welche Gefahren auch vor uns lagen.\x0E\x04\x02\x00
MID_OP2_#013	Meine Schwester kämpfte für eine friedliche\nWelt. Gemeinsam ließen Daraen und ich ihren\nTraum Wirklichkeit werden.\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x0A\x08リュール\nDas klingt wunderbar. Wir kämpfen ebenfalls\nfür eine friedliche Welt.\x0E\x04\x02\x00
MID_OP2_#015	Wärt ihr beide bereit, euch noch einmal für den\nFrieden einzusetzen?\x0E\x04\x00\x00
MID_OP2_#016	\x0E\x03\x02\x08\x06クロム\nNatürlich. Es wäre uns eine Ehre.\x0E\x04\x00\x00
MID_OP2_#017	\x0E\x03\x02\x0A\x08リュール\nEhre? Aber ich habe euch doch noch gar nicht\nerklärt, was hier vor sich geht!\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x08\x06クロム\nIch wusste in dem Moment, in dem ich Euch in\ndie Augen sah, dass ich Euch vertrauen kann.\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x08\x06ルフレ\nChrom folgt seinen Instinkten. Er hat auch mir\nsofort von der ersten Sekunde an vertraut,\nobwohl ich mein Gedächtnis verloren hatte.\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x0A\x08リュール\nNun, ich schätze dieses Zutrauen.\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x08\x06クロム\nBevor wir uns Euch anschließen, sollten wir\nuns dennoch einmal mit eigenen Augen an-\nsehen, aus welchem Holz Ihr geschnitzt seid.\x0E\x04\x00\x00
MID_OP2_#022	\x0E\x03\x02\x08\x06ルフレ\nDem stimme ich zu. Eine Schlacht zu gewinnen\nverlangt Stärke und Tapferkeit. Wir sollten uns\nvergewissern, dass Ihr beides besitzt.\x0E\x04\x00\x00
MID_OP2_#023	\x0E\x03\x02\x08\x06クロム\nKeine Sorge, das ist keine formelle Prüfung.\nZeigt uns einfach Euer Können und habt das\nVertrauen, dass dies ausreicht.\x0E\x04\x00\x00
MID_OP2_#024	\x0E\x03\x02\x0A\x08リュール\nEinverstanden. Dann lasst uns anfangen!\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06クロム\x02b\n\x0E\x05\x01\x14\x06クロム\nRelax\n\x0E\x03\x02\x08\x06クロム\nZögert nicht. Greift uns mit allem, was Ihr habt,\nan.\x0E\x04\x00\x00
MID_EV1_#002	\x0E\x03\x00\x0C\x06ルフレ\x02t\n\x0E\x05\x01\x16\x06ルフレ\x0CNormal\n\x0E\x03\x02\x08\x06ルフレ\nMal sehen, wie Ihr mit unserer Strategie\nfertigwerdet.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nDiese Barriere blockiert unseren Weg. Wir\nmüssen herausfinden, wie wir sie durchbrechen\nkönnen.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x02t\n\x0E\x05\x01\x1A\x0Cアルフレッド\nAngry\n\x0E\x03\x02\x0E\x0Cアルフレッド\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, wie es aussieht, wird die Barriere\nvon diesen Kristallen dort generiert.\x0E\x04\x00\x00
MID_EV3_#002	\x0E\x03\x00\x0E\x08リュール\x02b\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nZerstören wir einen. Mal sehen, was passiert.\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nHrmpf. Die Barriere ist immer noch da...\x0E\x04\x00\x00
MID_EV4_#002	\x0E\x03\x00\x12\x0Cアルフレッド\x02b\n\x0E\x05\x01\x1A\x0Cアルフレッド\nAngry\n\x0E\x03\x02\x0E\x0Cアルフレッド\nWir werden wohl alle Kristalle zerstören\nmüssen, wenn wir weiterkommen wollen.\x0E\x04\x00\x00
MID_EV5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nWas ist das? Der Kristall wurde wiederherge-\nstellt...\x0E\x04\x00\x00
MID_EV5_#002	\x0E\x03\x00\x12\x0Cアルフレッド\x02b\n\x0E\x05\x01\x1A\x0Cアルフレッド\nAngry\n\x0E\x03\x02\x0E\x0Cアルフレッド\nDann sollten wir keine Zeit verlieren. Wir\nattackieren sie alle, bevor jeder von uns seine\nAktionen durchgeführt und beendet hat.\x0E\x04\x00\x00
MID_EV6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06クロム\x02b\n\x0E\x05\x01\x16\x06クロム\x0CStatus\n\x0E\x03\x02\x08\x06クロム\nIhre Formation ist nicht mehr so geschlossen.\nIst es nun an der Zeit, Daraen?\x0E\x04\x00\x00
MID_EV6_#002	\x0E\x03\x00\x0C\x06ルフレ\x02t\n\x0E\x05\x01\x16\x06ルフレ\x0CStrike\n\x0E\x03\x02\x08\x06ルフレ\nDefinitiv. Lass uns zur nächsten Phase unseres\nPlans übergehen.\x0E\x04\x00\x00
MID_EV7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nDas Gebiet wurde geflutet! Haben sie vor,\nunseren Vormarsch aufzuhalten?\x0E\x04\x00\x00
MID_EV8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nAusgezeichnet! Wir haben alle Kristalle zerstört!\x0E\x04\x00\x00
MID_EV9_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nDie Barriere ist verschwunden! Beeilung!\nRücken wir zu den Emblemen vor!\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06ルキナ\x02t\n\x0E\x05\x01\x14\x06ルキナ\nSmile\n\x0E\x03\x02\x08\x06ルキナ\nVater! Ich hätte niemals erwartet, dich auch in\ndieser Welt wiederzusehen.\x0E\x04\x00\x00
MID_BT1_#002	\x0E\x03\x00\x0C\x06クロム\x02b\n\x0E\x05\x01\x14\x06クロム\nRelax\n\x0E\x03\x02\x08\x06クロム\nLucina! Ich hatte auch nicht erwartet, dich hier\nzu sehen.\x0E\x04\x02\x00
MID_BT1_#003	\x0E\x05\x01\x16\x06クロム\x0CStatus\nWir haben eine Menge nachzuholen, aber damit\nmüssen wir warten, bis der Kampf vorbei ist.\x0E\x04\x00\x00
MID_BT1_#004	\x0E\x05\x01\x16\x06ルキナ\x0CStatus\n\x0E\x03\x02\x08\x06ルキナ\nNatürlich! Es ist so lange her, dass wir uns im\nTrainingskampf gemessen haben. Wir müssen\nnur aufpassen, dass nichts zu Bruch geht!\x0E\x04\x00\x00
