MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nGregory, wie kommst du zurecht? Lebst du dich\nin dieser Welt allmählich ein?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nIch denke schon. Es gibt so viele kleine\nGemeinsamkeiten und Unterschiede, verglichen\nmit unserer Welt.\x0E\x04\x02\x00
MID_RELIANCE_C_#003	Ich denke, ich habe mich weitgehend daran\ngewöhnt. Ich hoffe nur, wir können diesen\nKrieg schnell beenden.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nHier gibt es ebenfalls genügend Gegner zu\nbekämpfen, nicht wahr?\x0E\x04\x02\x00
MID_RELIANCE_C_#005	Nun, da wir hier sind, sollten die Vier Winde\nalles tun, um \x0E\x0A\x008\x18dem Wyrmgott\x1Cder Wyrmgöttin zu helfen.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nグレゴリー\nIch wünschte nur, Mauvier hätte mit uns\nkommen können.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nMir geht es ebenso. Es ist Mauviers Verdienst,\ndass wir noch am Leben sind.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nグレゴリー\nAch, schon dass wir überhaupt zusammen sind,\nist nur dank seiner Gründung der Vier Winde\nmöglich.\x0E\x04\x02\x00
MID_RELIANCE_C_#009	Doch dann war er der Erste, der uns verlassen\nmusste. Hätte ich ihn nur gezwungen, dass ich\ngegangen wäre statt ihm...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cセレスティア\nSo darfst du nicht denken. Mauvier wollte,\ndass wir weiterleben.\x0E\x04\x02\x00
MID_RELIANCE_C_#011	Er wollte, dass wir seine Aufgabe fortführen.\nDeswegen hat er dich zum stellvertretenden\nKommandanten ernannt.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nグレゴリー\nIch verstehe immer noch nicht, warum er diese\nRolle ausgerechnet mir zugewiesen hat...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cセレスティア\nWahrscheinlich, weil du so alt bist.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nグレゴリー\nAutsch! Ist das die Retourkutsche?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cセレスティア\nHahaha! Nur ein Scherz.\x0E\x04\x02\x00
MID_RELIANCE_C_#016	Es ist doch ganz klar, warum er dich zu meinem\nStellvertreter gemacht hat. Du kämpfst so\ntapfer, um deine Freunde zu beschützen.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nグレゴリー\nIch bin stets nur weggerannt. Manchmal frage\nich mich, ob ich das nicht immer noch tue.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cセレスティア\nWovon redest du da? Das ist doch absurd.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nグレゴリー\nWas habe ich denn gesagt? Warum bist du\nplötzlich so ernsthaft?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cセレスティア\nMauvier mag der Auslöser gewesen sein,\ndoch wir alle haben uns entschieden, sein\nVermächtnis gemeinsam weiterzuführen.\x0E\x04\x02\x00
MID_RELIANCE_C_#021	Du rennst nicht weg. Du bist aus gutem Grund\nmein Stellvertreter. Glaube an dich.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nグレゴリー\nJa...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nDarf ich dir eine alte Geschichte erzählen?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nKommt darauf an. Wie alt genau?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nAus der Zeit, bevor du uns beigetreten bist.\nAls \x0E\x0A\x00B"unsere Wyrmgöttin\x1Cunser Wyrmgott noch am Leben war.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nグレゴリー\nNa, das klingt ja mal richtig antik.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cセレスティア\nIch war in Elusia im Hafen von Givre auf\nKundschaftermission. Dort habe ich einige\nVerzerrte entdeckt.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	Ich war allein, aber ich konnte die Bedrohung\nnicht ignorieren, also stürmte ich vor.\nRückblickend war das unglaublich leichtsinnig.\x0E\x04\x02\x00
MID_RELIANCE_B_#007	Sie überwältigten mich. Fliehen konnte ich nicht\nmehr, und ich sah schon dem Tod ins Auge.\x0E\x04\x02\x00
MID_RELIANCE_B_#008	Dann kam aus dem Nichts eine einsame Figur\ndes Weges und kämpfte, um mich zu\nbeschützen.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nグレゴリー\nDu meinst doch nicht etwa...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cセレスティア\nIch erinnere mich, wie er sagte: „Lauf weg!\nJetzt! Was willst du machen, wenn sie dir\nwehtun?“\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nグレゴリー\nDas habe ich gesagt, hm? Es ist so lange her,\ndass ich es fast vergessen habe.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cセレスティア\nDu magst schüchtern sein, aber du hast dein\nLeben riskiert, um mich zu retten. Das verstehe\nich bis heute nicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nグレゴリー\nIch glaube... als ich dich dort sah, habe ich nur\ndaran gedacht, dass ich dich unbedingt retten\nmuss.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	Als ich klein war, war ich immer von Leuten\numgeben, die mir wehtaten. Niemand hat mir\njemals geholfen.\x0E\x04\x02\x00
MID_RELIANCE_B_#015	Ich habe immer gebetet, dass mich jemand\nrettet, doch alles Flehen blieb unbeantwortet.\nUnd da ich diesen Schmerz kannte...\x0E\x04\x02\x00
MID_RELIANCE_B_#016	Nun, da war es eben undenkbar, dir nicht zu\nhelfen.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cセレスティア\nIch war so erleichtert. Du warst der Strahl\nSonnenlicht, der die Wolke meiner Verzweiflung\ndurchstieß.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nグレゴリー\nWar ich wirklich so gut? Versteh mich nicht\nfalsch, das ist schon schön zu hören...\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Aber selbst als ich herangestürmt bin, ging ich\nnicht davon aus, dass wir gewinnen würden.\nIch dachte, wir beide rennen einfach weg.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cセレスティア\nNun, dank dir habe ich überlebt, um\nweiterkämpfen zu können.\x0E\x04\x02\x00
MID_RELIANCE_B_#021	Und noch wichtiger... Ich habe einen Freund\ngefunden, dem ich vertrauen kann, dass er mir\nden Rücken freihält.\x0E\x04\x02\x00
MID_RELIANCE_B_#022	Deswegen habe ich dich an Ort und Stelle\neingeladen, mit uns zusammen in Lythos\nzu kämpfen.\x0E\x04\x02\x00
MID_RELIANCE_B_#023	Haha! Du hattest vor dieser Einladung solche\nAngst. Voller Panik hast du gleich mehrfach\nabgelehnt.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nグレゴリー\nHaha. Aber du warst hartnäckig. Letztlich\nbekommst du immer, was du willst.\x0E\x04\x02\x00
MID_RELIANCE_B_#025	Ich war überrascht, dass du überhaupt mit\njemandem wie mir reden wolltest. Du hattest\nkeine Ahnung, wer ich war.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0E\x0Cセレスティア\nDu hast dich in Gefahr gestürzt, um mir zu\nhelfen. Wie hätte ich dir nicht vertrauen sollen?\x0E\x04\x02\x00
MID_RELIANCE_B_#027	Zu sehen, wie du dein Leben für eine völlig\nFremde riskiert hast, erfüllte mich mit solcher\nHoffnung.\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0C\nグレゴリー\nHmm... Es scheint, als hätte mein kleiner Anflug\nvon Tapferkeit etwas Großes begonnen, hm?\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x0E\x0Cセレスティア\nExakt. Verstehst du jetzt, dass du gar nicht\nwegläufst?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nZelestia... Du nennst die Vier Winde deine\nFamilie. Was genau meinst du damit?\x0E\x04\x02\x00
MID_RELIANCE_A_#002	Familie war nie ein gutes Wort für mich\ngewesen. Ich könnte mir vorstellen, dass es für\ndie anderen von uns ähnlich war.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nDa hast du recht. Jeder von uns hat schwere\nVerluste erleiden müssen, bevor wir uns\ngetroffen haben.\x0E\x04\x02\x00
MID_RELIANCE_A_#004	Ich habe die Magiedrachen verloren, du dein\nZuhause, Madeline ihre Eltern, und Mauvier...\nseine Herrin.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nグレゴリー\nIch habe nur einmal gehört, dass Mauvier das\nerwähnt hat. Er meinte nur, er würde bedauern,\ndass er sie nicht beschützen konnte.\x0E\x04\x02\x00
MID_RELIANCE_A_#006	Er sagte, sie sei seinetwegen zu früh gestorben,\nin irgendeinem sinnlosen Kampf.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nWir alle tragen unsere Last an Sorgen. Einen\nOrt zu haben, zu dem wir zurückkehren können,\nerleichtert diese Last.\x0E\x04\x02\x00
MID_RELIANCE_A_#008	Und das hatte niemand von uns. Ich denke,\ndas ist der Grund, weswegen Mauvier die Vier\nWinde gegründet hat.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nグレゴリー\nDas kann ich nachvollziehen... Aber ist das nicht\netwas anderes als Familie?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cセレスティア\nDas hätte ich am Anfang auch so gesehen. Die\nVier Winde waren Freunde und Verbündete,\nkeine Familie.\x0E\x04\x02\x00
MID_RELIANCE_A_#011	Nachdem wir einige Zeit gemeinsam verbracht\nhatten, miteinander redend und lachend, begriff\nich, dass wir füreinander diese Lücken füllten.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Wir vier haben uns gegenseitig unterstützt, und\nzwar in einer Weise, die anderen nicht möglich\ngewesen wäre.\x0E\x04\x02\x00
MID_RELIANCE_A_#013	Das ist etwas, das nur von jenen geschafft\nwerden kann, die einander näher stehen als\nFreunde – Leute, denen man wirklich vertraut.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nグレゴリー\nDas klingt nach einer Familie.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cセレスティア\nDaran glaube ich. Und deswegen müssen wir\naufeinander achten.\x0E\x04\x02\x00
MID_RELIANCE_A_#016	Die Vier Winde sind unsere Familie. Wenn einer\nvon uns gehen sollte, muss der Rest weiterhin\nbeschützen, was übrig bleibt.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Bis zum allerletzten Mitglied, das übrigbleibt.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nグレゴリー\nUnd da du ein Magiedrache bist, stehen die\nChancen gut, dass du das eines Tages sein\nwirst.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cセレスティア\nWas?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nグレゴリー\nOh! Nichts.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	Ich sollte es wohl fragen... Wenn wir uns Familie\nnennen, wer erfüllt denn dann welche Rolle?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cセレスティア\nIch bin die Mama. Mauvier ist der ältere Bruder,\ndu der jüngere, und Madeline ist die kleine\nSchwester.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nグレゴリー\nHahaha! Das passt perfekt. Aber warum bin ich\nder jüngere Bruder? Und... wo ist eigentlich der\nPapa?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, möchtest du lieber der Vater sein?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nグレゴリー\nHa! Wohl kaum.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	Und solltest du nicht eher die ältere Schwester\nsein statt der Mutter? Du siehst doch gar nicht\nalt genug dafür aus.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cセレスティア\nWas sind wir heute wieder charmant, hahaha.\nAber das kommt schon hin... Ich liebe euch alle\nso, wie es eine Mutter tun würde.\x0E\x04\x02\x00
MID_RELIANCE_A_#028	Deswegen kannst du ruhig ein bisschen ver-\nwöhnt tun, wenn ich in der Nähe bin. Komm\nschon, versteck es nicht.\x0E\x04\x02\x00
MID_RELIANCE_A_#029	Haha, siehst du, wie wir miteinander scherzen?\nWie eine echte Familie, findest du nicht?\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nグレゴリー\nJa, ich denke schon. Ehrlich gesagt... ist es\nerleichternd, zu hören, wie du es aussprichst.\x0E\x04\x02\x00
MID_RELIANCE_A_#031	Jetzt und für alle Zeiten sind die Vier Winde\neine Familie – ein sicherer Ort, an den wir\njederzeit zurückkehren können.\x0E\x04\x00\x00
