MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nSieh dir nur diesen Ort an! Oh, du meine Güte.\nDas kann nicht sein... Das ist unmöglich!\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\nWas ist denn, Eirika?\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0C\nエイリーク\nHier sieht es genauso aus wie... Ich könnte\ndir schwören, dies ist der Ort, an dem sich\nalles für immer verändert hat.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x0A\x08リュール\nVerändert? Wie das?\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0C\nエイリーク\nIch gehörte zur königlichen Familie von Renais.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0C\nエイリーク\nUnser nächster Nachbar, das Imperium von\nGrado, war über Jahrhunderte unser\nVerbündeter.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x0C\nエイリーク\nDoch dann, ohne die geringste Warnung, fiel\nGrado in unser Land ein.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x0A\x08リュール\nDas muss schwer gewesen sein, wenn ihr so\nlange Verbündete gewesen seid.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0C\nエイリーク\nDie königliche Familie, mein Bruder und ich\nkämpften gemeinsam mit unseren Freunden, um\ndas Volk von Renais zu beschützen.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x0C\nエイリーク\nDer letzte, finale Konflikt wurde hier\nausgetragen.\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x0C\nエイリーク\nIch weiß, hier sieht es nur ähnlich aus, aber es\nist fast so, als sei ich dorthin zurückgekehrt.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x0A\x08リュール\nDu musst nicht weiterreden. Ich verstehe, dass\nes eine schmerzhafte Erinnerung ist.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0C\nエイリーク\nIch... Ich verlor an diesem Tag einen geliebten\nFreund.\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x0A\x08リュール\nAber du hast die Hoffnung nicht verloren.\nDu hast weitergekämpft. Selbst als du einen\nFreund verloren hast.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x0C\nエイリーク\nIch-- Würdest du gerne gegen mich antreten?\nHier?\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x0C\nエイリーク\nAlles, was ich fühle, wenn ich mich an den\nTag erinnere, kommt über mich... Mein Herz\nist voller Trauer.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x0C\nエイリーク\nVielleicht hilft mir ein Kampf hier an diesem Ort,\ndiese Trauer zu überwinden. Hm, das klingt\nsehr nach der Denkweise meines Bruders.\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x0A\x08リュール\nIch würde gerne mit dir kämpfen. Aber... ich\nhabe nicht vor, zu verlieren.\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x0C\nエイリーク\nNun, du würdest dich auch kaum lange halten\nkönnen, wenn du nicht versuchst, zu gewinnen.\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x02\x0C\nエイリーク\nUnd wenn du gewinnst, dann werden die Bande,\ndie uns verbinden, nur umso stärker.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nエイリーク\x02b\n\x0E\x05\x01\x18\nエイリーク\nRelax\n\x0E\x03\x02\x0C\nエイリーク\nNun, fangen wir an, \x0E\x06\x03\x00!\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nエイリーク\x02b\n\x0E\x05\x01\x1A\nエイリーク\x0CStrike\n\x0E\x03\x02\x0C\nエイリーク\nHmm. Ich kann keine Lücken in deiner Ver-\nteidigung entdecken, aber das bedeutet nicht,\ndass du leicht gewinnen wirst.\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nエイリーク\x02b\n\x0E\x05\x01\x18\nエイリーク\nSmile\n\x0E\x03\x02\x0C\nエイリーク\nHier gegen dich zu kämpfen... fühlt sich seltsam\nan.\x0E\x04\x00\x00
