MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nGoldmary! Ich habe ein Gerücht gehört, dass\neinige Verehrer in der Stadt nach dir gefragt\nhaben.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVerzeiht, dass Ihr es nicht direkt von mir ver-\nnommen habt, aber das passiert so oft, dass es\nunnötig ist, Euch jedes Mal davon zu erzählen.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nOh, das war auch kein Vorwurf. Also, äh, was\nhast du... getan? Was hast du ihnen gesagt?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch habe so höflich abgelehnt, wie ich konnte.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nErgibt Sinn. Ich schätze, das ist schon fast\nAlltag für dich, hm.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch meine, das passiert dir ja jetzt schon eine\nganze Zeit lang, richtig?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHm, ich fürchte ja.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch scheine diese Art von Aufmerksamkeit zu\nerregen, wohin auch immer ich gehe.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs tut mir leid, wenn mein natürlicher Charme\nEuch auf irgendeine Weise Unannehmlichkeiten\nbereitet...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nNein, das ist... nicht, was ich meinte. Es ist nur\nso, dass mir so etwas nie passiert.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDas wird es noch, wenn Ihr älter seid.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nWas soll das denn heißen?! Ich bin doch kein\nkleines Kind mehr!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNatürlich nicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nNa ja, ich schätze, ich sollte es jedenfalls\npositiv sehen. Du setzt quasi den Maßstab,\nwas Charme betrifft.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nVon meinen Getreuen erwarte ich nur das Beste.\nEs macht mich stolz, dass du so einen\nexzellenten Eindruck machst.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch danke Euch.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cオルテンシア\nStichwort exzellent... Vielleicht kannst du mir ja\nmal einige deiner Fähigkeiten beibringen. Das\nKochen, zum Beispiel.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs wäre mir eine Freude.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nUnglaublich. Ich bin ja wirklich schrecklich im\nKochen.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIhr macht das ganz großartig. Folgt meinen\nAnweisungen und es wird alles gut werden.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIhr schafft das schon.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nBereitmachen fürs Wenden... Eine schnelle\nBewegung... Jetzt!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nAh! Ich hab's geschafft!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDas habt Ihr. Es ist ein wenig... schief geworden,\naber der Geschmack ist ja, was zählt.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nDann hoffe ich mal, dass es gut schmeckt.\nProbierst du's für mich?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMmmh! Köstlich. Ganz wunderbar.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nJa! Schon bald werde ich so charmant und\ntalentiert sein wie du, Goldmary.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNatürlich.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nHe he, mit einer Getreuen wie dir sollte ich\njedoch stets auf der Hut bleiben.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEine Getreue, sagt Ihr...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nStimmt damit was nicht?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOh, es ist nichts. Es ist nur so, dass Rosado und\nich nicht offiziell Eure Getreuen sind.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nAch, was kümmert es mich, was offiziell ist und\nwas nicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nAls der Dämonendrache erwachte und der Krieg\nbegann, waren wir alle bloß Klassenkameraden.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cオルテンシア\nAber Vater wollte, dass ich zum Schloss zurück-\nkehrte, und dann führte eins zum anderen...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs waren Rosado und ich, die darauf bestanden,\nEuch nach Hause zu begleiten.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nJa, aber ich hätte es auch nicht anders gewollt.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch wollte nicht einmal die Akademie verlassen,\ngeschweige denn von meinen Freunden getrennt\nwerden.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cオルテンシア\nAber ich schätze, dadurch habe ich euch in\ndiesen Schlamassel mit reingezogen, nicht\nwahr? Es tut mir leid.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch bin diejenige, die sich entschuldigen sollte.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDie Getreuen der elusianischen Königsfamilie\nsollten eigentlich direkt vom König ausgewählt\nwerden.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWir haben das Prozedere rücksichtslos übergan-\ngen. Und nun werden wir niemals in der Lage\nsein, die Genehmigung des Königs zu erhalten.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0E\x0Cゴルドマリー\nUnd das nur, weil ich versagt habe, Euren Vater\nzu beschützen.\x0E\x04\x00\x00
