MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nHey, Rosado! Niedlich siehst du aus.\nWie eigentlich immer.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ロサード\nHabt vielen Dank, Prinz Fogado!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ロサード\nIch werde von Tag zu Tag niedlicher!\nWenn das so weitergeht, werde ich auf\nLebzeiten der Niedlichste sein!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nHahaha, daran besteht kein Zweifel. Ich wette,\ndeine Niedlichkeit wird ewig währen.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ロサード\nHmmm... Meint Ihr das wirklich? So richtig\nüberzeugend klang das gerade nicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ロサード\nIch hatte nicht das Gefühl, dass Eure Worte\nvon Herzen kamen. Sie klangen ziemlich hohl.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nフォガート\nDas tat weh. Ich versichere dir, wenn ich etwas\nbin, dann aufrichtig.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ロサード\nAch ja? Dann beweist es. Sagt mir, wie\nhinreißend ich bin. Aber sagt es so, dass\nich es Euch auch abkaufe!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nフォガート\nAlso gut. Du bist... Wie kann ich es am besten\nformulieren? So bezaubernd wie eine zarte\nBlüte, die in einer solmer Oase sprießt.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ロサード\nSchon besser. Also bin ich der Niedlichste, den\nIhr je zu Gesicht bekommen habt?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nフォガート\nHm? Oh, nein. Keineswegs.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ロサード\nWas?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ロサード\nIch meine, WAS?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nフォガート\nAch, weißt du... Mir ist gerade eingefallen, dass\nich noch was zu erledigen habe. Prinzendinge.\nMan sieht sich!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x01\x0C\nフォガート\n\x0E\x03\x02\x0A\x08ロサード\nHey, so wartet doch! Was bitte meintet Ihr\nmit „keineswegs“?!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ロサード\nWie kann es jemand Niedlicheren als mich\ngeben?! Prinz Fogado, kommt zurück!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0A\x08ロサード\nHuhu, Prinz Fogado!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nフォガート\nHey, Rosado! So wie die Sonne jeden Tag\naufs Neue für uns scheint, erfreust auch du\nuns täglich mit deiner Niedlichkeit.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ロサード\nGanz genau! Ich bin immer niedlich, stimmt's?\nSogar noch niedlicher als bei unserem letzten\nZusammentreffen, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nフォガート\nGenau. Nicht zuletzt wegen deines enormen\nSelbstvertrauens.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ロサード\nDieses Mal meint Ihr es ernst, oder? Ihr sagt\nwirklich, wirklich, wiiirklich die Wahrheit?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nフォガート\nIch sage die Wahrheit, das schwöre ich dir\nhoch und heilig.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ロサード\nDann... würdet Ihr also sagen, dass ich der\nabsolut Niedlichste überhaupt bin?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nフォガート\nNun... Vielleicht nicht unbedingt der ABSOLUT\nNiedlichste.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ロサード\nOooch...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ロサード\nWie gemein! Ich dachte wirklich, ich hätte Euch\nbeim letzten Mal bloß falsch verstanden!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ロサード\nWieso sagt Ihr so was immer?! Schmeichelt Ihr\nmir etwa absichtlich, nur um mir anschließend\nsämtliche Illusionen rauben zu können?!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nフォガート\nHa, ruhig, gaaanz ruhig.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ロサード\nWie soll ich mich da denn beruhigen?!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ロサード\nDer Prinz mit dem wohl schärfsten Blick hält\nmich nicht mal für besonders niedlich...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nフォガート\nDas stimmt doch gar nicht, Rosado. Ich bin\nnur kein großer Freund von Vergleichen.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ロサード\nWas meint Ihr damit?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nフォガート\nDieses, jenes, oder doch das andere?\nDas ist einfach nicht meine Art.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nフォガート\nDu bist niedlich. Punkt. Kein Grund, daraus\neinen überzogenen Wettstreit zu machen.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nフォガート\nVerstehst du, was ich meine?\x0E\x04\x00\x00
