MID_SYS_EnchantEffect	Verzauberungseff.
MID_DLC_News_Patch1_Title	Ver. 1.2.0
MID_DLC_News_Patch1	Erweiterungspass\n\n・ Die Embleme Hector, Soren und Camilla wurden hinzugefügt.\n  Sie schließen sich dir und deiner Gruppe an, wenn du ihre\n  jeweiligen Göttlichen Kapitel erfolgreich beendest.\n\n・ Erweiterungspass-Bonus 2 wurde hinzugefügt. Sofern du den\n  Erweiterungspass gekauft hast, erhältst du Materialien, Wappen\n  und Fähigkeiten.\n\n・ In der Boutique gibt es neue Accessoires, z. B.:\n  Somniellinie, Somnielmaske, Somnielohren, Hundeohren,\n  Hasenohren, Fuchsohren.\n\nGratis-Inhalt\n\n・ Im Somniel gibt es nun Orte, an denen du und deine\n  Verbündeten in der Freizeit Erholung findet. Nutze sie, um die\n  Unterstützungspunkte zwischen Verbündeten zu erhöhen.
MID_MSG_GET_ITEM_DLC_Accessory2	Erweiterungspass-Bonus 2 erhalten.
MCID_G002_PREFIX	Göttliches Kapitel
MCID_G002	Der eigenwillige General
MCID_G002_PLACE	Höhle des Berserkers
MCID_G002_OUTLINE	In einer dunklen, mit Miasma\ngefüllten Höhle wurde ein Armring\ngesichtet.
MCID_G004_PREFIX	Göttliches Kapitel
MCID_G004	Der strahlende Stratege
MCID_G004_PLACE	Magmahöhle
MCID_G004_OUTLINE	In einer Höhle mit flüssiger Lava\nwurde ein Armring gesichtet.
MCID_G005_PREFIX	Göttliches Kapitel
MCID_G005	Die vernarrte Schwester
MCID_G005_PLACE	Untergrundpassage
MCID_G005_OUTLINE	In einer gesunkenen, unterirdischen\nRuine wurde ein Armring gesichtet.
MID_RULE_G002_WIN	Emblem Hector besiegen.
MID_RULE_G004_WIN	Emblem Soren besiegen.
MID_RULE_G005_WIN	Emblem Camilla besiegen.
MTID_VolcanicBombTraces	Verbrannter Boden
MTID_Fumarole	Schlot
MTID_Crater	Krater
MPID_Hector	Hector
MPID_H_Hector	Das Emblem der Stärke. Ein\nüberschwänglicher, heroischer Mann\nmit grenzenlosem Selbstvertrauen.
MPID_Senerio	Soren
MPID_H_Senerio	Das Emblem des Scharfsinns. Ein\npräzise kalkulierender Stratege mit\nklarem Urteilsvermögen.
MPID_Camilla	Camilla
MPID_H_Camilla	Das Emblem der Offenbarung.\nEine wunderschöne Wyvernreiterin\nmit einer hinreißenden Aura.
MGID_Hector	Hector
MGID_H_Hector	Das Emblem der Stärke. Löscht\nGegner mit seiner Axt aus und\nriskiert sein Leben für seine Freunde.
MGID_H_EnemyHector	Das erwachte Emblem aus dem\nArmring des eigenwilligen Generals.
MGID_Senerio	Soren
MGID_H_Senerio	Das Emblem des Scharfsinns.\nÜberragend im Umgang mit Magie\nund mächtigen magischen Büchern.
MGID_H_EnemySenerio	Das erwachte Emblem aus dem\nArmring des Strategen.
MGID_Camilla	Camilla
