MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0C\nスタルーク\nSeadall? Dürfte ich Euch eine Frage stellen?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08セアダス\nWas möchtet Ihr wissen, Prinz Alcryst?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nIch hörte, Ihr wäret einst Teil einer umherrei-\nsenden Karawane gewesen.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nスタルーク\nStimmt das?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セアダス\nJa. Das trifft zu.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セアダス\nHändler, Künstler, Tänzer... Ich bin mit ihnen\nallen und noch vielen mehr gereist.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\nWirklich?! Das muss unglaublich gewesen sein!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08セアダス\nUnglaublich? Das ist eine schmeichelhafte\nBeschreibung. Ich bin überrascht, dass Ihr so\ndenkt.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nスタルーク\nNun, ich bin höchst selten außerhalb von Brodia\ngereist. Meine Pflichten als Prinz hielten mich\ndavon ab...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セアダス\nAh so.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nスタルーク\nIch bin auch etwas introvertiert. Ich beneide\ndiejenigen, die mit Leichtigkeit andere Länder\nbereisen können.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セアダス\nDie Welt ist voller Wunder. Die Dinge, die ich\ngesehen habe... einige würden Euch den Atem\nverschlagen.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セアダス\nWenn Ihr ehrlich an so einem Leben interessiert\nseid, könnte ich Euch die ein oder andere\nGeschichte erzählen.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nスタルーク\nEhrlich? Das würde mich sehr erfreuen!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08セアダス\nNatürlich bin ich dazu verpflichtet, die besten\nTeile auszulassen, wenn ich Euch diese\nGeschichten erzähle.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08セアダス\nIch möchte es nicht verantworten, dass ich\neinen Prinzen dazu beflügele, außerhalb\nseines Königreichs das Abenteuer zu suchen.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nスタルーク\nOh, macht Euch da keine Sorge. So mutig bin\nich nicht. Ich war schon ängstlich, Euch eine\neinfache Frage zu stellen!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0C\nスタルーク\nDas ist äußerst faszinierend! Eine Wolfstjost\nzu sehen, klingt nach einem faszinierenden\nErlebnis.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セアダス\nDas ist es.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08セアダス\nAber das Geraufe in der Zuschauermenge,\ndas ist das wahre Erlebnis dabei.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セアダス\nIn Solm kann man sich an vielen Orten\namüsieren, aber nichts reicht an den Tjostplatz\nheran.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nスタルーク\nSo viele Geschichten... Was Ihr für ein\nfaszinierendes Leben geführt habt, Seadall.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\nEure Beschreibungen sind so lebendig. Ich habe\ndas Gefühl, als hätte ich selbst all die Orte\nbereist und alles mit eigenen Augen gesehen!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nスタルーク\nDas Leben in einer Karawane klingt nach so\nviel Spaß.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nスタルーク\nZu kommen und zu gehen, wie es einem gefällt,\nseinen eigenen Launen und Interessen folgend\ndie ganze Welt zu bereisen...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nスタルーク\nKeine Enge, keine Sorgen... Und wenn es einem\nlangweilig wird, dann bricht man einfach zur\nnächsten Reise auf!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nスタルーク\nIch wünschte, ich könnte so ein Leben haben.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セアダス\nJa, nun...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nスタルーク\nEs gibt eine Geschichte, die Ihr mir noch nicht\nerzählt habt. Wann habt Ihr Euch der Karawane\nangeschlossen?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nスタルーク\nIch wette, Ihr wurdet hineingeboren. Liege ich\nrichtig?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セアダス\nNein. Ich wurde in einem Ort am Meer geboren.\nEs war... wunderschön.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セアダス\nIch war noch so klein, als mein Vater starb. Ich\nkann mich gar nicht mehr an ihn erinnern. Meine\nMutter zog mich auf.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セアダス\nSie war eine Wahrsagerin... aber vom Schicksal\ngeschlagen. Sie wurde krank und starb, als ich\netwas älter war.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セアダス\nEins führte zum anderen... Bald schon lebte\nich auf der Straße.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nスタルーク\nAuf der Straße? Aber warum?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08セアダス\nIch war ein Kind ohne Familie. Wo sonst\nhätte ich leben sollen?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セアダス\nDoch eines Tages zog eine Karawane durch den\nOrt. Die Reisenden riefen mich... und luden\nmich ein, bei ihnen zu bleiben.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08セアダス\nUnd das tat ich. Von dem Tag an reiste ich\nmit ihnen.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セアダス\nMir fiel es schwer zu reden. Die Worte waren\nso schwierig. Also brachte mir mein Lehrer bei,\nwie man tanzt.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08セアダス\nIch lernte, dass man keine Worte braucht,\num sich auszudrücken. Das rettete mich.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0C\nスタルーク\nAh so...\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0A\x08セアダス\nBitte entschuldigt. Diese Geschichte ist nicht\nso amüsant wie die anderen.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0C\nスタルーク\nBitte, ich bin derjenige, der sich entschuldigen\nsollte. Ich habe nicht nachgedacht, bevor ich\ndas Thema aufbrachte.\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0A\x08セアダス\nNein, ich war es, der die Stimmung verdunkelt\nhat.\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x0A\x08セアダス\nEs tut mir leid. Ich denke, das ist ein guter\nZeitpunkt, um aufzuhören. Bis zum nächsten\nMal, Prinz Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0C\nスタルーク\nSeadall? Ich möchte mich noch einmal für\ndas Gespräch neulich entschuldigen.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\nIch hätte wirklich Eure Gefühle beachten sollen,\nbevor ich Euch nach Eurer Vergangenheit fragte.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セアダス\nEs macht mir nichts aus, und Ihr habt nichts\nfalsch gemacht.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nスタルーク\nIch habe seitdem ständig über Eure Geschichten\nnachgedacht.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nスタルーク\nIch nahm an, dass das Leben in einer Karawane\nnur fröhlich und sorgenfrei sei. Aber das\nentspricht nicht der Wahrheit, oder?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セアダス\nNein. Fröhlich ist nicht das richtige Wort.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08セアダス\nDiese Art Leben kann unvergleichbar grausam\nsein. Ich habe gesehen, wie Freunde bei\nÜberfällen starben... und Schlimmeres.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nスタルーク\nEs muss so viele Entbehrungen gegeben haben,\ndennoch nahm ich an, dass es ein müßiges\nLeben gewesen sei.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nスタルーク\nWenn ich nur einen Moment über meine eigenen\nBegehren hinweggesehen hätte, bevor ich\ngesprochen habe... Es tut mir wirklich leid.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08セアダス\nOh, Prinz Alcryst...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セアダス\nWie ich schon sagte, Ihr habt nichts falsch\ngemacht.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セアダス\nJa, es sind schlimme Dinge passiert, als ich\nmit der Karawane unterwegs war.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セアダス\nAber es gab auch schöne Dinge. Viel mehr\nschöne Dinge.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セアダス\nDie Karawane war meine Familie und mein\nZuhause. Ich schätze mich glücklich, dieses\nLeben geführt zu haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nスタルーク\nIch bin sehr glücklich, dies zu hören.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08セアダス\nAlso bitte, zögert nicht. Stellt mir so viele\nFragen, wie Ihr möchtet.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セアダス\nFragt mich nach den seltsamen und wunder-\nbaren Speisen, die ich zum ersten Mal in dem\nGrenzort gekostet habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セアダス\nOder nach der Morgensonne, wie sie den\nHimmel entflammte, als sie über der Oase in der\nWüste aufging, während ich sie beobachtete.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セアダス\nEs gibt so viele Fragen, bei denen ich hoffe,\ndass Ihr sie mir stellt. Und so viele Geschichten,\ndie ich hoffe, Euch erzählen zu können.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nスタルーク\nEure Geschichten verzaubern mich, Seadall.\nIch kann es kaum erwarten, mich erneut in\nihnen zu verlieren.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nスタルーク\nBitte, erzählt mir eine neue Geschichte, und\ndanach noch eine! Erzählt mir Geschichten\nbis zum Morgengrauen!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08セアダス\nHahaha... Mit Vergnügen, Prinz Alcryst.\x0E\x04\x00\x00
