MID_SYS_Difficulty_Normal	Normal
MID_H_Difficulty_Normal	Für Neulinge und Spieler mit etwas Erfahrung.
MID_SYS_Difficulty_Hard	Schwer
MID_H_Difficulty_Hard	Für erfahrene Spieler.
MID_SYS_Difficulty_Lunatic	Extrem
MID_H_Difficulty_Lunatic	Für jene, die wahre Herausforderung suchen.
MID_SYS_Mode_Select	Wähle einen Modus.
MID_SYS_Mode_Casual	Anfänger
MID_H_Mode_Casual	Gefallene Einheiten kehren im nächsten Kampf\nzurück.
MID_SYS_Mode_Classic	Klassisch
MID_H_Mode_Classic	Gefallene Einheiten sind für immer verloren.\nJede Entscheidung zählt.
MID_SYS_Grow_Random	Zufall
MID_H_Grow_Random	Statusverbesserungen beim Level Up\ngeschehen zufällig, werden aber von der\nEinheit und ihrer Klasse beeinflusst.
MID_SYS_Grow_Fixed	Fix
MID_H_Grow_Fixed	Statusverbesserungen beim Level Up basieren\nausschließlich auf der Einheit und ihrer Klasse.
MID_Decision	Bestätigen
MID_ToNext	Weiter
MID_SYS_BattleRecord	Kampfdaten
MID_SYS_Time	Zeit:
MID_SYS_None	–
MID_SYS_Battle_Count	 Kämpfe
MID_SYS_Win_Count	 Siege
MID_SYS_FoughtTogetherGod	Meistgenutztes Emblem
MID_SYS_TypeSection	Klasse
MID_SYS_SeniorPosition	Erfahren
MID_SYS_BasicPosition	Basis
MID_SYS_SpecialPosition	Spezial
MID_SYS_Position	Klasse: \x0E\x01\x00\x00
MID_SYS_UseWeapon	Waffen
MID_SYS_TypeOfWepon_1	Typ 1
MID_SYS_TypeOfWepon_2	Typ 2
MID_SYS_Status	Kampfwerte
MID_SYS_Capability	Grundwerte
MID_SYS_EquipedStatus	Verw. Werte
MID_SYS_Spec	Leistung
MID_SYS_Detail	Details
MID_SYS_EngageWeapon	Bündniswaffen
MID_SYS_Class	Klasse
MID_SYS_Item	Items
MID_SYS_Skill	Fähigkeiten
MID_SYS_SP	FP
MID_H_INFO_SP	Fähigkeitspunkte. Werden benötigt,\num Fähigkeiten von Emblemen zu\nerben.
MID_SYS_Rating	Macht
MID_H_INFO_Rating	Die Summe der wichtigsten\nWerte der Einheit.
MID_SYS_LV	Lv.
MID_H_INFO_LV	Die Gesamtmacht der Einheit.\nSteigt mit Erfahrung. Bis zum\nnächsten Level: \x0E\x01\x00\x00 Erf.
MID_H_INFO_LV_MAX	Die Gesamtmacht der Einheit.\nSteigt mit Erfahrung. Die Einheit\nhat den maximalen Level erreicht.
MID_H_INFO_LV_ENEMY	Die Gesamtmacht der Einheit.\nSteigt mit Erfahrung.
