MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nPrinzessin Céline! Habt ihr was mit Euren\nHaaren gemacht? Die sehen ja noch viel\nwallender aus als sonst.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08セリーヌ\nGuten Tag, Prinz Fogado.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nフォガート\nDas will ich meinen. Jeder Tag, an dem ich\nEuch sehe, ist ein guter Tag.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nKeine Reaktion? Nein?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セリーヌ\nWürde ich auf jede einzelne Schmeichelei aus\nEurem Mund eingehen, stünden wir den ganzen\nTag hier.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nフォガート\nSchmeicheleien? Ich? So etwas würde mir\nim Traum nicht einfallen.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nフォガート\nHey, ich hab's! Wir beide sollten mal einen\nTee zusammen trinken. Ihr mögt doch Tee,\nnicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08セリーヌ\nDas tue ich in der Tat!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nフォガート\nAls Adlige aus Solm und Firene wäre es\nwohl angebracht, dass wir einander etwas\nbesser kennenlernen.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nフォガート\nLasst uns doch über unsere verschiedenen\nWertvorstellungen und so sprechen. Könnte\nfür uns beide von Vorteil sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セリーヌ\nHahaha, gesprochen wie der Prinz einer Nation,\ndie durch und durch besessen vom Handel ist.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nフォガート\nGeben und nehmen, wo ist das Problem?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セリーヌ\nVergebt mir, doch ich muss Euer Angebot\nvorerst ablehnen.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セリーヌ\nWir Firener bevorzugen eine eher idyllische\nLebensweise. Wir teilen nicht Eure Vorliebe\nfür Intrigen und Risiken.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nフォガート\nWenn man Euch so hört, könnte man glatt\nmeinen, mit mir Tee zu trinken wäre das\nreinste Abenteuer.\x0E\x04\x00\x00
