MBSID_None	Zivilist
MBSID_H_None	Zivilisten haben keine besonderen\nVorteile im Kampf.
MBSID_Cooperation	Assistent
MBSID_H_Cooperation	Diese Einheiten führen einen\nKoop-Schlag in dem Kampf aus, den\nein Verbündeter in ihrer Nähe führt.
MBSID_Horse	Berittene
MBSID_H_Horse	Diese Einheiten verfügen über einen\nhöheren Bewegungsradius als\nandere Einheiten.
MBSID_Covert	Verstohlene
MBSID_H_Covert	Diese Einheiten verdoppeln ihren\nAw.-Bonus durch Geländeeffekte.
MBSID_Heavy	Gepanzerte
MBSID_H_Heavy	„Bruch“-Effekte durch Waffen-\nvorteile kommen bei diesen Einheiten\nnicht zum Tragen.
MBSID_Fly	Flieger
MBSID_H_Fly	Flugeinheiten ignorieren Gelände-\neffekte und können sich auch durch\nFelder freien Himmels bewegen.
MBSID_Magic	Mystische
MBSID_H_Magic	Mystische Einheiten ignorieren bei\nGegnern Aw.-Boni durch Gelände,\nwenn sie diese mit Magie angreifen.
MBSID_Prana	Qi-Adept
MBSID_H_Prana	Diese Einheiten können mithilfe\nvon Protektion Angriffe auf Verbün-\ndete in der Nähe auf sich lenken.
MBSID_Dragon	Drache
MBSID_H_Dragon	Drachen erhalten weitere Effekte,\nwenn sie ein Emblem als Bündnis-\npartner haben.
