MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cアルフレッド\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nGuten Morgen, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nGuten Morgen, Alfred.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nIhr strahlt ja bis über beide Ohren. Habt Ihr gute\nLaune?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nDas könnt Ihr laut sagen!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch bin noch vor Sonnenaufgang aufgestanden\nund habe ausgiebig trainiert. Sogar einen\nkleinen Morgenlauf konnte ich einlegen!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nUnd zur Krönung sehe ich nun noch Euer\nfreundliches, strahlendes Gesicht. Der Tag\nkönnte wohl kaum besser sein!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nJetzt veralbert Ihr mich aber.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch veralbere niemanden! Würdet Ihr Euch nicht\nauch freuen, am frühen Morgen \x0E\x0A\x000\x18einen lieben\x14eine liebe\n\x0E\x0A\x00 \x0CFreund\x10Freundin zu erblicken?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nNun ja... Ich freue mich immer, wenn ich meine\nFreunde sehe.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nSeht Ihr? So geht es mir auch!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\nWie dem auch sei... Gibt es denn nichts, das\nich für Euch tun kann? Ihr habt es sicher nicht\nleicht gehabt seit Eurem Erwachen.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nSicher findet Ihr vieles noch gewöhnungsbe-\ndürftig... Eurem Freund Alfred könnt Ihr Euch\nruhig anvertrauen!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nLasst mich überlegen... Hmmm. Nein, mir fällt\nnichts ein, was mich derzeit beschäftigen\nwürde.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nGut. Großartig. Aber sollte es doch einmal was\ngeben, so lasst es mich bitte als Ersten wissen.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nBevor Ihr Lythos verlassen habt, batet Ihr mich,\nEuch als ein Freund zu unterrichten und Euch\nmit der Welt vertraut zu machen.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nZu hören, dass Ihr mich als Freund betrachtet,\nmacht mich einfach wahnsinnig glücklich.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nIch freue mich ebenfalls, Euch einen Freund\nnennen zu dürfen, Alfred.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cアルフレッド\x022\n\x0E\x03\x02\x0A\x08リュール\nHallo, Alfred. Habt Ihr einen Moment Zeit?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nSicher doch! Was auch immer Ihr braucht,\nich bin ganz Ohr.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nIch weiß die leckeren Frühstücke wirklich zu\nschätzen, die Ihr mir jeden Morgen zubereitet...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nAber dürfte ich Euch bitten, damit aufzuhören?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nOje! Sicher waren sie zu fleischlastig, oder?\nDabei wollte ich nur, dass Ihr stark werdet.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nEhrlich gesagt könnte es tatsächlich etwas\nweniger Fleisch sein, aber darum geht es mir\ngar nicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nIch fühle mich nur nicht gut dabei, dass Ihr mir\nzuliebe jeden Morgen so viel Aufwand betreibt.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nAh, verstehe schon. Ich bedaure zutiefst,\ndass Ihr Euch meinetwegen schlecht fühlt.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch wollte nur \x0E\x0A\x008\x18einem Freund\x1Ceiner Freundin mit gesunden,\nleckeren Frühstücken etwas Freude bereiten.\nAber ich werde mich zurückhalten.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nIch danke Euch, Alfred. Da wäre noch eine\nweitere Sache.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nJede Nacht, während ich in den Schlaf\nhinübergleite, höre ich so ein gespenstisches\nFlötenspiel...\x0E\x04\x00\x00
