MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x0C\nシトリニカ\nMerrin! Ich wollte dir sagen, an deiner Seite zu\nkämpfen ist einfach aufregend. Du bist\nwirklich... lässig!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06メリン\nIch? Lässig? Ha ha ha, du bist zu nett.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06メリン\nAber da du es schon erwähnt hast, kannst du\netwas genauer sein? Inwieweit genau bin ich\nlässig? Ich bin nur neugierig.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nシトリニカ\nOh, nun... Wo fange ich da an?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nシトリニカ\nDu erscheinst dort draußen so furchtlos! Es ist,\nals würde man einer mutigen Ritterin in Aktion\nzusehen.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06メリン\nEine mutige Ritterin, hm? Mir gefällt, wie sich\ndas anhört. Noch etwas?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nOh? Soll ich weitermachen?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06メリン\nNun, ich gebe mein Bestes, um, wie du es\nnennst, lässig zu sein. Aber ich bin mir nicht\nimmer sicher, ob das auch so wirkt.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nシトリニカ\nDas... überrascht mich jetzt etwas.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nシトリニカ\nIch hätte niemals gedacht, dass eine Frau wie\ndu sich Gedanken um die Meinung anderer\nmacht.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06メリン\nOh, das tue ich. Während eines Kampfes muss\nman sich ganz lässig geben. Eine Schwäche zu\nzeigen könnte fatal sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06メリン\nIch meine, verliert man auf dem Schlachtfeld\nseine Lässigkeit... oder auch außerhalb davon...\ndann bittet man darum, verletzt zu werden.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06メリン\nEgal, was andere sagen, das Auftreten IST\nwichtig. Verstehst du?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nシトリニカ\nJa, ich verstehe. Aber es muss trotzdem sehr\nschwer sein, das auf dem Schlachtfeld... und\naußerhalb davon... im Kopf zu behalten.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06メリン\nEs tut mir leid, ich beeile mich besser.\nIch muss zurück zu meinem Training.\x0E\x04\x00\x00
