MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x08\x06クラン\nUnd wie ergeht es Euch heute... Prinz Alfred?\nIch danke Euch... untertänigst... für diese\nEinladung.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クラン\nHmm. Nein, das ist zu förmlich. Es sollte etwas\nwärmer klingen.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ルイ\nLiegt etwas im Argen, Clanne?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クラン\nWah! Wo kommst du denn her?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ルイ\nIch bitte um Entschuldigung. Mir war nur so,\nals hätte ich den Namen meines Prinzen\nvernommen.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クラン\nDa hast du dich nicht verhört. Prinz Alfred hat\nmich dazu eingeladen, heute mit ihm zu\ntrainieren.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06クラン\nIch habe bloß noch nie zuvor Zeit mit ihm allein\nverbracht, daher mache ich mir etwas Sorgen,\nich könnte mich ungeschickt ausdrücken.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04ルイ\nDu wurdest zu einem privaten Training mit\ndem Prinzen eingeladen?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クラン\nGenau.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ルイ\nHmm. Er trainiert nicht allein, aber auch nicht\nin der Gruppe... Was könnte das bedeuten?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クラン\nIch glaube nicht, dass das irgendwas zu\nbedeuten hat.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ルイ\nAh, ignoriere meine Aussage einfach. Wie dem\nauch sei, du studierst nun also eine passende\nBegrüßung ein?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クラン\nJa! Ich will mich nicht blamieren, indem ich aus\nVersehen zu unhöflich bin.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クラン\nVielleicht könntest du mir dabei helfen, Louis?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06クラン\nIch rede mit dir, als wärst du Prinz Alfred, und\nwenn ich irgendetwas Komisches sage, kannst\ndu mich korrigieren.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ルイ\nEine vorzügliche Idee. Wenn es um Manieren\ngeht, hast du dich genau an den richtigen Mann\ngewandt!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x06\x04ルイ\nJa... Nun ist mir alles klar. Zu guter Letzt\nhabe ich es begriffen.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ルイ\nHinter Clannes jugendlicher Statur verbirgt sich\ngroße Stärke.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04ルイ\nDer Prinz, dies erkennend, nimmt den Lythoser\nunter seine Fittiche für ein privates Training.\nWie großartig.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ルイ\nNoch ein Puzzleteil fehlt mir, und doch bin ich\nder Lösung einen weiteren Schritt näher\ngekommen.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クラン\nÄh... Louis? Alles in Ordnung? Es wirkte so,\nals hättest du gerade vor dich hin gemurmelt.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ルイ\nÄh, es geht mir gut, werter Clanne! Du hast\nrein gar nichts vernommen!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ルイ\nSag mir, wie war denn dein Training mit dem\nPrinzen?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06クラン\nEs hat richtig viel Spaß gemacht! Und dank\ndeiner Hilfe habe ich mich auch nicht vor ihm\nlächerlich gemacht.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クラン\nPrinz Alfred war sogar noch freundlicher zu mir\nals sonst. Er war richtig geduldig und hat mich\nin Sachen Training viel Neues gelehrt.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04ルイ\nNoch freundlicher zu dir als sonst, sagst du?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ルイ\nSo gutmütig, wie der Prinz ohnehin bereits\nstets ist, kann ich mir das kaum vorstellen.\nKönntest du dies etwas näher ausführen?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クラン\nÄh, klar. Wenn du willst.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04ルイ\nGlaubst du, er war freundlicher zu dir, weil er\ndich als Freund betrachtet, oder war da mehr\nals das?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06クラン\nOoooh, jetzt verstehe ich, worauf du\nhinauswillst.\x0E\x04\x00\x00
