MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nFRAMME!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06フラン\nAaah!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nヴァンドレ\nWas führt dich dazu, hier untätig\nherumzulungern? Ich hatte dich doch\nangewiesen, die Opfergaben zu sortieren!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06フラン\nHups! Das hab ich ja ganz vergessen!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nヴァンドレ\nMan schenke mir Geduld mit euch... Wie bringst\ndu es bloß fertig, selbst eine solch triviale\nAufgabe nicht zufriedenstellend zu erfüllen?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nヴァンドレ\nGerade wegen solcher Verfehlungen mache ich\nmir ernsthafte Sorgen um deine Zukunft.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06フラン\nIch wollte mich ja darum kümmern, Ehrenwort!\nEs ist mir bloß... irgendwie entfallen.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nヴァンドレ\nEine derartige Ausrede lasse ich nicht gelten!\nEtwas zu vergessen oder es gar nicht erst zu\nerledigen ist in meinen Augen ein und dasselbe.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nヴァンドレ\nStell dir nur vor, wie enttäuscht deine Eltern\nwären, wenn sie davon wüssten.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06フラン\nOooch...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nヴァンドレ\nFramme, ich habe hohe Erwartungen, was dich\nund deinen Bruder betrifft. Ihr werdet immerhin\neines Tages in meine Fußstapfen treten.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nヴァンドレ\nFür meinen inneren Frieden – und auch der Ehre\ndeiner Eltern wegen, die dich in meine Obhut\ngaben – bitte ich dich: Bessere dein Verhalten!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06フラン\nJa, Herr!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06フラン\nDas war das letzte Mal, dass ich Euch\nenttäuscht habe, Vander. Versprochen!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nヴァンドレ\nSo soll es sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x08\x06フラン\nAaah... Oh nein... Nein!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06フラン\nIch hab total vergessen, wohin ich dieses Paket\nbringen sollte!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06フラン\nArgh... Vander wird mich umbringen!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nヴァンドレ\nHallo, Framme.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06フラン\nWAAAH!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06フラン\nVander, hallo! Also ich war gerade unterwegs,\num das Paket auszuliefern, wie Ihr mir befohlen\nhattet, und... ähm...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06フラン...Ich hab's vermasselt. Schon wieder. Nur zu,\nIhr könnt mich jetzt ruhig ausschimpfen.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nヴァンドレ\nMan schenke mir Geduld mit euch...\nNun ja, es ist schon in Ordnung. So dringlich\nwar die Angelegenheit nun auch wieder nicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06フラン\nIhr... seid nicht wütend auf mich?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nヴァンドレ\nWieso sollte ich? Du hast deinen Fehler\neingestanden und dich dafür entschuldigt.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06フラン\nAber ich hatte doch versprochen, Euch nicht\nnoch mal zu enttäuschen!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nヴァンドレ\nJede Art von Wachstum braucht ihre Zeit. Auch\ndas Somniel wurde nicht an einem Tag gebaut.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06フラン\nDas könnt Ihr laut sagen...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nヴァンドレ\nVersuche, deine Aufgaben in einzelne Schritte\nzu unterteilen und diese der Reihe nach\nabzuarbeiten. Das hilft mir immer.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06フラン\nAlles klar! Nächstes Mal mache ich bestimmt\nnichts mehr falsch. Ihr werdet richtig stolz auf\nmich sein!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nNun gut, Framme. Was ist diesmal vorgefallen?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nIch nehme an, bei meiner dir zuletzt erteilten\nAufgabe gab es erneut Schwierigkeiten?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06フラン\nDa liegt Ihr falsch! Hihihi. Um die werde ich\nmich gleich noch kümmern.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nWorum geht es dann?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06フラン\nBitte sehr. Die hier sind für Euch.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06フラン\nDamit möchte ich Euch dafür danken, dass Ihr...\nna ja, so große Hoffnung in mich setzt.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nヴァンドレ\nWas genau präsentierst du mir da?\nEin Bündel... „Froupons“?!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06フラン\nGenau! Das steht für „Framme-Coupons“! Seht\nsie einfach als eine Art Entschädigung an für all\ndie Sorgen, die ich Euch bereitet habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06フラン\nWenn Ihr einmal müde seid oder irgendeine\nlästige Arbeit ansteht, auf die Ihr keine Lust\nhabt, oder so ähnlich... nutzt einen Froupon!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06フラン\nGanz gleich, ob Tag oder Nacht – ich eile dann\nsofort herbei und helfe Euch!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nヴァンドレ\nFramme...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nヴァンドレ\nIch selbst besitze zwar keine Nachkommen...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nヴァンドレ\nDoch ich glaube, so fühlt es sich an, wenn\nEltern stolz auf ihre Kinder sind.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nヴァンドレ\nIch danke dir. Diese Froupons werde ich mit\nBedacht einsetzen. Sie sind schließlich ein\nkostbares Gut.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06フラン\nHihihi. Das sind sie wohl! Und ich gebe\nweiterhin mein Bestes, damit Ihr stolz auf mich\nsein könnt.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06フラン\nIch werde sicher auch in Zukunft den ein oder\nanderen Fehler machen, aber mit Eurer Hilfe\nkann ich über mich hinauswachsen!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06フラン\nAlso steht mir weiter zur Seite, um aus mir die\nallerbeste Behüterin zu machen!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nヴァンドレ\nGewiss. Wobei ich das Gefühl habe, dass du\nbereits auf gutem Wege dorthin bist.\x0E\x04\x00\x00
