MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nUff! Und wieder glorreichen Schweiß vergossen.\nAn diesem Geruch erkannt man das erfolgreiche\nEnde eines Trainings.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nザフィーア\nJa. Jetzt ein Bad, und danach wird gefuttert.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x02\x0A\x08パネトネ\nSaphir, verzeih, doch wir müssen dringend an\ndeiner vulgären Ausdrucksweise arbeiten.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nザフィーア\nÄh, hey, Panette. Was soll das denn jetzt?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パネトネ\nWir mögen aus unterschiedlichen Ländern\nstammen, doch beide stehen wir in königlichen\nDiensten.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08パネトネ\nIn unserer Position sind wir gehalten,\nuntadeligst zu sprechen und zu handeln.\nUnd zwar jederzeit.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nザフィーア\nUntadeligst, hm?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nザフィーア\nNun, ich spreche schon mein ganzes Leben lang\nso. Wenn das ein Problem wäre, wüsste ich das.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08パネトネ\nOh, aber begreifst du denn nicht? Die Sprache\neines Ritters ist die Visitenkarte seiner Nation.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パネトネ\nBereits der kleinste Fehler des Verhaltens\nmag als schwarzer Fleck der nationalen\nSchande verweilen!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nザフィーア\nAch, tatsächlich?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nザフィーア\nDu meinst also, wenn ich einfach tue, was ich\nwill, vermittele ich einen falschen Eindruck von\nmeinem Königreich.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08パネトネ\nExakt so. Ich bin erleichtert, dass du die\nErnsthaftigkeit der Situation anerkennst.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08パネトネ\nDoch fürchte dich nicht, werte Saphir!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パネトネ\nIch werde dich ausführlich lehren, angemessene\nSprache und Manieren an den Tag zu legen!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nザフィーア\nÄh, ja. Ist das... was Gutes?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08パネトネ\nAber sicher! Ich beginne umgehend mit der\nPlanung. Bereite dich darauf vor, zu lernen,\nals hinge dein Leben davon ab!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nザフィーア\nWie lange soll ich... diesen Mist mit dem\nHinknien denn noch machen?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パネトネ\nAh-ah-ah! Deine Sprache, meine Gute.\nVersuch es noch mal.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nザフィーア\nWelche Zeitspanne... erwähnte meine Herrin...\nsoll ich... diesen Mist mit dem Hinknien noch\nmachen?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08パネトネ\nNur noch eine Stunde.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08パネトネ\nJede Dienerin einer Königsfamilie, die sich so\nzu nennen wünscht, muss mindestens so lange\nknien können.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nザフィーア\nEine Stunde? Argh! Eine ganze Stunde, sagst\ndu? Echt jetzt?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nザフィーア\nNa gut... Nur mein Rücken brennt wie Feuer...\nDie Beine sind schon vor Ewigkeiten taub\ngeworden...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nザフィーア\nHngh...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nザフィーア\nARGH! Vergiss es! Ich bin fertig!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nザフィーア\nSo anstrengend darf nur ein ordentlicher Kampf\nsein!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nザフィーア\nTut mir leid, aber für mich ist hier Schluss.\nDas Zeug ist echt nichts für mich.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nザフィーア\nMein Königreich wird sich mit meiner Stärke\nzufrieden geben müssen. Manieren kriegen\nsie von mir jedenfalls nicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08パネトネ\nTs, ts, ts. Wenn es deine Ausdauer trainiert,\ndann ist es doch nützlich, oder nicht?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パネトネ\nUnd ich dachte, du wärst aus härterem Holz\ngeschnitzt.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nザフィーア\nJetzt mach aber mal 'nen Punkt.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08パネトネ\nDie Saphir, die ich kenne, würde niemals mitten\nim Training das Handtuch werfen.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08パネトネ\nAber vielleicht hatte ich dich mit einer anderen,\nzäheren Grauhaarschönheit verwechselt.\nMein Fehler.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nザフィーア\nNa schön!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nザフィーア\nDu hast nicht unrecht. Ich mache weiter!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nザフィーア\nKommt ja nicht in Frage, dass ich kneife,\nnachdem du es schon Training genannt hast.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08パネトネ\nGut! Nichts anderes habe ich erwartet.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nザフィーア\nSoll keiner sagen, ich würde nicht bis zum\nbitteren Ende kämpfen.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nザフィーア\nIch werde dermaßen schnell superduperedel\nwerden, dass du aus den Socken kippst!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nHm.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08パネトネ\nBemerkenswert! Zwei Stunden Knien am Stück.\nDein bisheriger Rekord.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nザフィーア\nTatsächlich? Für meinesgleichen ist eine solche\nZeitspanne des Kniens kaum eine\nHerausforderung.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08パネトネ\nAuch deine Sprache ist makellos.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08パネトネ\nIch hätte nie erwartet, dass du in so kurzer Zeit\nso große Fortschritte machen würdest.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08パネトネ\nBeeindruckend, Saphir. Ich betrachte mich als\nüberaus stolz.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nザフィーア\nWelch Güte deinerseits, solch freigiebiges Lob\nauf mich zu laden. Wie geschmeichelt ich mich\ndoch fühle.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nザフィーア\nUnd wie froh ich bin, das alles kapiert zu haben.\nJetzt kann ich nämlich wieder ganz normal\nquatschen!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08パネトネ\nWas?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08パネトネ\nAber warum denn bloß? Wir haben doch kaum\nan der Oberfläche gekratzt!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nザフィーア\nHey, mir ist klar, dass Manieren wichtig sind.\nAber ich brauchte hier echt nur den Grundkurs.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nザフィーア\nUnd da der jetzt fertig ist, werde ich meinem\nKönigreich wieder so dienen, wie ich es am\nbesten kann.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08パネトネ\nHm... Ich schätze, das kann ich nachvollziehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nザフィーア\nDu hast mir eine wertvolle Lektion beigebracht.\nGlaub mir, ich werde sie nicht vergessen.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nザフィーア\nJetzt, da ich sicherlich niemanden mehr\nblamieren werde, bin ich sicherlich eine noch\nviel bessere Ritterin.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パネトネ\nHahaha! Tja, dann war meine kürzliche\nEinschätzung deiner Person wohl offenbar\nzutreffend.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08パネトネ\nVielleicht sollte ich deinem Beispiel folgen und\ndem Training meines Körpers mehr Zeit\nwidmen.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nザフィーア\nIch kann dir da gerne ein paar Tipps geben,\nwenn du magst. Eine Hand wäscht die andere.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パネトネ\nWirklich?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08パネトネ\nStell dir nur vor... Meine Manieren kombiniert\nmit deiner gestählten Figur... Ich wäre ja\nmakellos!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08パネトネ\nEinverstanden, Saphir. Der Handel ist besiegelt.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nザフィーア\nWunderbar, Milady. Doch wappne dich\ngeziemend, denn es wird kein Leichtes werden.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08パネトネ\nAber sicher. Ich werde so stark werden, dass\nselbst du vor mir niederkniest. Also, bildlich\ngesprochen.\x0E\x04\x00\x00
