MID_MOVIE1_#001	\x0E\x03\x02\x0A\x08ルミエル\nWas tust du hier, so ganz allein?\x0E\x04\x00\x00
MID_MOVIE1_#002	\x0E\x03\x02\x0A\x08リュール\nHehe...\x0E\x04\x00\x00
MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x02\x00
MID_OP1_#002	Was war das? War ich das?\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x00\x0C\x06マルス\x021\n\x0E\x03\x02\x08\x06マルス\nGeht es Euch gut? Es sah aus, als hättet Ihr\nschlecht geträumt.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x0A\x08リュール\nDas habe ich. Aber ja, es geht mir gut.\x0E\x04\x02\x00
MID_OP1_#005	Ihr wart die ganze Zeit hier?\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x08\x06マルス\nIhr seid eingeschlafen, während Ihr meinen Ring\ngetragen habt.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x0A\x08リュール\nOh, verzeiht. Ich habe vergessen, ihn abzulegen.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x08\x06マルス\nDas ist in Ordnung. Behaltet ihn an. Auf diese\nWeise kann ich helfen, sollte etwas geschehen.\x0E\x04\x02\x00
MID_OP1_#009	Außerdem waren wir beide tausend Jahre zu-\nsammen – ich würde mich unbehaglich fühlen,\nwären wir jetzt getrennt.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x0A\x08リュール\nHey, Marth... Wie war ich damals so?\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x08\x06マルス\nHmmm...\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x0A\x08リュール\nIhr kanntet mich damals schon. Ihr müsst mir\ndoch irgendetwas erzählen können.\x0E\x04\x02\x00
MID_OP1_#013	\x0E\x03\x02\x08\x06マルス\nNun...\x0E\x04\x02\x00
MID_OP1_#014	Ihr wart warmherzig, so wie Ihr es heute seid.\nEs ist in Ordnung, wenn Ihr Euch nicht sofort\nan alles erinnert.\x0E\x04\x02\x00
MID_OP1_#015	Nehmt Euch die Zeit. Holt Euch Eure Erinne-\nrungen zurück. Lumera gab Euch ebenfalls\ndiesen Rat, nicht wahr?\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x0A\x08リュール\nJa, das tat sie. Es tut mir leid, ich wollte nicht\nungeduldig erscheinen.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x08\x06マルス\nEs ist schon gut.\x0E\x04\x02\x00
MID_OP1_#018	...\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x0A\x08リュール\nWas war das?\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x02\x08\x06マルス\nIch bin nicht sicher. Ein feindlicher Überfall?\x0E\x04\x02\x00
MID_OP1_#021	Wir sehen am besten nach. Ich habe Sorge um\nLumera und die anderen.\x0E\x04\x00\x00
MID_OP1_#022	\x0E\x03\x02\x0A\x08リュール\nEinverstanden.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x00\x06\x04TS\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0C\x06フラン\x023\n\x0E\x03\x00\x0C\x06クラン\x024\n\x0E\x03\x02\x0A\x08リュール\nVander! Clanne! Framme!\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0C\nヴァンドレ\nAh, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche! Den Himmeln sei Dank,\ndass es Euch gut geht.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08リュール\nWas geht hier vor? Sagt schon.\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x08\x06フラン\nFeinde haben die Schlossmauern durchbrochen,\nals seien die aus Papier. BUMM, waren sie da!\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x08\x06クラン\nDas Schlimmste ist, dass sie sich in die Ringkammer\nvorgekämpft haben! Sie wollen die Emblem-Ringe!\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x0C\nヴァンドレ\nKönigin Lumera ist vor Ort und versucht,\ndie Kammer zu verteidigen.\x0E\x04\x00\x00
MID_OP2_#006_2	\x0E\x03\x02\x0C\nヴァンドレ\nWir müssen so schnell wie möglich zu ihr!\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0A\x08リュール\nSo machen wir es. Folgt mir!\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x14\x08リュール\x08Pain\n\x0E\x03\x02\x0A\x08リュール\nEs sind zu viele von ihnen! Wir werden die\nRingkammer niemals erreichen.\x0E\x04\x00\x00
MID_EV1_#002	\x0E\x03\x00\x12\x0Cアルフレッド\x02b\n\x0E\x06\x00(\x0Cアルフレッド\x18MPID_Unknown\n\x0E\x05\x01\x1E\x0Cアルフレッド\x0EStandBy\n\x0E\x03\x04\x0E\x0Cアルフレッド\n\x0E\x03\x02\x0E\x0Cアルフレッド\nDurch diese Tür, richtig?\x0E\x04\x00\x00
MID_EV1_#003	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x00\x10\nエーティエ\x02b\n\x0E\x06\x00&\nエーティエ\x18MPID_Unknown\n\x0E\x05\x01\x1C\nエーティエ\x0EStandBy\n\x0E\x03\x04\x0C\nエーティエ\n\x0E\x03\x02\x0C\nエーティエ\nJa. Das ist sie.\x0E\x04\x00\x00
MID_EV1_#004	\x0E\x03\x01\x0C\nエーティエ\n\x0E\x03\x00\x10\nブシュロン\x02b\n\x0E\x06\x00&\nブシュロン\x18MPID_Unknown\n\x0E\x05\x01\x18\nブシュロン\nAngry\n\x0E\x03\x04\x0C\nブシュロン\n\x0E\x03\x02\x0C\nブシュロン\nGehen wir hinein.\x0E\x04\x00\x00
MID_EV1_#005	\x0E\x03\x01\x0C\nブシュロン\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nIch höre Stimmen. Es kommt jemand.\x0E\x04\x00\x00
MID_MOVIE2_#001	\x0E\x03\x02\x0E\x0Cアルフレッド\nGeschafft! Und keine Sekunde zu früh...\x0E\x04\x02\x00
MID_MOVIE2_#002	Kronprinz Alfred von Firene ist hier,\num zu helfen.\x0E\x04\x00\x00
MID_MOVIE2_#002_2	Überlasst sie mir!\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x03\x02\x0A\x08リュール\nPrinz Alfred von Firene, sagtet Ihr?\x0E\x04\x00\x00
MID_EV2_#002	\x0E\x03\x00\x12\x0Cアルフレッド\x02b\n\x0E\x05\x01 \x0Cアルフレッド\x10Surprise\n\x0E\x03\x02\x0E\x0Cアルフレッド\nIst es möglich? Seid Ihr wirklich\n\x0E\x0A\x008\x18der Wyrmgott\x1Cdie Wyrmgöttin \x0E\x06\x03\x00?\x0E\x04\x02\x00
MID_EV2_#003	Ihr seid endlich wach?\x0E\x04\x02\x00
MID_EV2_#004	\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nÄhm, ja.\x0E\x04\x00\x00
MID_EV2_#005	\x0E\x05\x01\x1A\x0Cアルフレッド\nSmile\n\x0E\x03\x02\x0E\x0Cアルフレッド\nDas ist großartig! Wisst Ihr, darauf warte ich\nschon ewig.\x0E\x04\x02\x00
MID_EV2_#006	\x0E\x05\x01\x1C\x0Cアルフレッド\x0CNormal\nEs gibt so viel zu besprechen. Später natürlich.\nNachdem wir uns um diese Schurken\ngekümmert haben.\x0E\x04\x02\x00
MID_EV2_#007	Wer sind die überhaupt?\x0E\x04\x00\x00
MID_EV2_#008	\x0E\x05\x01\x18\x08リュール\x0CNormal\n\x0E\x03\x02\x0A\x08リュール\nWir sind nicht sicher. Sie haben so plötzlich\nangegriffen.\x0E\x04\x00\x00
MID_EV2_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nAh so. Nun, dann machen wir kurzen Prozess\nmit ihnen: Wir schnappen uns den Befehlshaber\nund holen uns ein paar Antworten.\x0E\x04\x02\x00
MID_EV2_#010	\x0E\x05\x01\x1C\x0Cアルフレッド\x0CStrike\nDies sind meine Getreuen, Etie und Boucheron.\nVon nun an stehen wir Euch zur Verfügung.\x0E\x04\x02\x00
MID_EV2_#011	Zeigt uns den Weg, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche!\x0E\x04\x00\x00
MID_EV2_#012	\x0E\x05\x01\x16\x08リュール\nSmile\n\x0E\x03\x02\x0A\x08リュール\nDanke für Eure Hilfe.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nブシュロン\x02t\n\x0E\x05\x01\x1A\nブシュロン\x0CStatus\n\x0E\x03\x02\x0C\nブシュロン\nVerzeiht, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche, ich hatte noch nicht die\nGelegenheit, mich vorzustellen. Mein Name ist\nBoucheron.\x0E\x04\x02\x00
