MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0A\x08リュール\nDas war heute eine beeindruckende Leistung\ndort draußen, Yunaka.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ユナカ\nWhoa, wie bitte? Ich werde von \x0E\x0A\x00\x10\x06dem\x06der Göttlichen\ngelobt?! Superduper! Ich bin ganz aus dem\nHäuschen! Komplett raus!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nIch meine das ernst. Fähigkeiten wie deine sind\nheute sehr gefragt. Du musst eine Söldnerin\noder so gewesen sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ユナカ\nRichtig, ähm... Söldnerin! Jepp! Das könnt Ihr\nerkennen? Ich meine...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ユナカ\nSicher, ich habe mich ein oder zwei Mal\nbezahlen lassen. War keine große Sache.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nDas dachte ich mir. Ich könnte mir vorstellen,\ndass du aufgrund deiner Stärke eine richtig\nberühmte Söldnerin warst.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ユナカ\nÄhm, sicher?! Ich meine, jepp! Die Leute, äh...\ndie Leute kennen mich.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nDann müssen ja einige unserer Verbündeten\nauch schon von dir gehört haben.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nIch werde mich mal umhören. Sicher erzählen\nsie sich schon Geschichten über dich.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ユナカ\nAaah! Nein! Ich meine... Dürfte ich Euch bitten,\ndies... vielleicht nicht zu tun?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nWie? Warum nicht?\x0E\x04\x00\x00
