MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08リュール\nDu bist wirklich stark, Roy. Es wundert mich\nnicht, dass man dich Brodia anvertraut hat.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x06\x04ロイ\nDu schmeichelst mir. Es ist mir ein Vergnügen,\nnun mit dir für Frieden sorgen zu dürfen.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nDu hast viel dazugelernt. Es scheint mir, dass\ndu das Zeug zu \x0E\x0A\x00\x18\neinem\neiner großen \x0E\x0A\x00$\x0EKrieger\x12Kriegerin hast.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nNun... Bevor du das gesagt hast, hätte ich das\nnie für möglich gehalten.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08リュール\nWeißt du, was mir an dir so gefällt? Dass du\nniemals aufgibst, wie schlimm die Lage auch\nsein mag.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x06\x04ロイ\nWenn ich sehe, dass jemand in Not ist, muss ich\neinfach mein Bestes tun, um zu helfen. Mehr ist\nnicht dabei.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nAber diese Haltung hat nicht jeder. Davon kann\nich mir eine Scheibe abschneiden.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x06\x04ロイ\nWenn dir diese Haltung gefällt, hast du sie\nbereits. Ich freue mich, dich zu meinen\nVerbündeten zählen zu dürfen.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nSir Roy, es wäre mir ein Herzenswunsch, mehr\nüber die Fertigkeiten der Embleme zu erfahren.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x06\x04ロイ\nSehr gerne! Es wäre mir auch eine Ehre,\nvon Euch lernen zu dürfen, Sir Vander.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nIch habe soeben eine Handarbeit fertiggestellt,\ndie Euch gefallen könnte.\x0E\x04\x00\x00
