MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08リュール\nIrgendetwas an diesem Ort ist wirklich seltsam.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x08\x06リーフ\nDies scheint der Fluss Thracia zu sein.\nZumindest ist er ihm sehr ähnlich.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nIst das ein Ort in Eurer Welt?\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06リーフ\nEr sieht so aus. Er sieht fast aus wie der Boden,\nauf dem ich einst stand.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x08\x06リーフ\nDer Fluss Thracia war ein schöner, weiter Fluss.\nDoch an seinen Ufern wurde so viel Blut\nvergossen.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08リュール\nIch kann mir gar nicht vorstellen, dass so ein\nfriedlicher Ort zu einem Schlachtfeld wurde.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x08\x06リーフ\nHier trat ich gegen den genialen Taktiker\nSaias an. Einige hielten ihn für einen Helden.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x08\x06リーフ\nReinhardt, ein Mann voller Macht, der die\nWiedergeburt des Heiligen Ritters Thrud sein\nsoll, war ebenfalls hier.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x08\x06リーフ\nEs war eine schwere Schlacht. Es gab viele\nMomente, in denen ich dachte, alles wäre\nverloren.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x0A\x08リュール\nAber warum sieht der Ort hier genauso aus?\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x08\x06リーフ\nIch bin mir da nicht sicher.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x08\x06リーフ\nIch spüre eine gewaltige Kraft, die von diesem\nOrt ausgeht. Das muss die Prüfung sein, die von\nEuch verlangt wird.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0A\x08リュール\nEine... Prüfung?\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x08\x06リーフ\n\x0E\x06\x03\x00. Ihr werdet hier gegen mich\nantreten.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x08\x06リーフ\nBesteht Ihr diese Prüfung, wird das Band\nzwischen uns stärker.\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x08\x06リーフ\nDieses Band wird eine Macht mit sich bringen,\nohne die wir nicht sein können, wenn wir die\nSchlachten überleben wollen, die vor uns liegen.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x0A\x08リュール\nEine Schlacht gegen Euch zu gewinnen, ist\nmeine Prüfung? Verstanden!\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x08\x06リーフ\nGut. Der Sieg ist der einzige Weg für Euch,\num voranzuschreiten.\x0E\x04\x00\x00
