MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\nHey, Vander! Wo bewahrt Ihr denn hier die\nlegendären Waffen auf?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nLegendäre Waffen? Wovon um alles in der\nWelt redet Ihr denn da, Amber?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アンバー\nIch wollte schon immer eine legendäre Waffe\nbesitzen.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アンバー\nIm Somniel scheint es viele heilige Orte zu\ngeben. An einem davon muss es doch ein\nSchwert oder so geben.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nヴァンドレ\nIch verschwende meine Zeit nicht mit\nVolksmärchen und Geschwätz.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アンバー\nOh. Ist das ein Nein? Hab's kapiert. Ich werde\nmeine Nase einfach in jede Ecke stecken und\nsehen, ob ich was finden kann.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nヴァンドレ\nWenn man es genau nimmt... Ich nehme an,\ndass es einen todsicheren Weg gibt, eine\nlegendäre Waffe zu erhalten.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アンバー\nWirklich?! Welchen denn? Wie kann ich eine\nsolche Waffe in die Hände bekommen? Bitte,\nVander! Ihr müsst es mir sagen!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nヴァンドレ\nDenkt nach. Was genau ist denn eine legendäre\nWaffe?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アンバー\nHm?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nヴァンドレ\nDamit eine Waffe legendär wird, muss sie\nzunächst von einem Legendären Helden\ngeführt werden. Richtig?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\nHa. Ja, ich würde sagen, das ergibt Sinn.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nヴァンドレ\nNun denn, Meister Amber... Alles, was Ihr tun\nmüsst, ist, Euch den Titel „Legendärer Held“ zu\nverdienen.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\nEin Legendärer Held? Ich?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アンバー\nJa. JA! Wenn ich das schaffe, wird meine treue\nLanze...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nヴァンドレ\nEine legendäre Waffe. Richtig.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アンバー\nWHOA-HO-HO-HOOO!!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アンバー\nVander! Ihr habt mich gerade umgehauen!\nGenau das werde ich tun. Meine eigene Legende\nfängt jetzt an!\x0E\x04\x00\x00
