MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nHallo, Boucheron. Ich hoffe, es stört dich nicht,\ndass ich für dich Essen zubereitet habe.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nブシュロン\nOh, wirklich? Nur für mich, hm?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNur für dich. Das Hauptgericht ist Hühnchen\nam Spieß mit geröstetem Gemüse.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAls Beilage gibt es ein kleines Omelett, leicht\ngeröstetes Brot und als besondere Leckerei\nnoch etwas erfrischendes Obst.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nブシュロン\nDas ist ja unglaublich. Nicht nur, dass es\ngroßartig riecht, auch die Präsentation ist\ngeradezu professionell.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs tut mir leid, wenn es zu perfekt aussieht.\nSolch Perfektion muss sich verstörend anfühlen,\nals gerate die Balance der Welt aus den Fugen.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDoch ich hoffe, du findest den Mut, es zu\nverspeisen. Ich habe es schließlich nur für dich\ngemacht.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nブシュロン\nKeine Sorge, ich werde jetzt gleich zulangen.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nブシュロン\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nブシュロン\nSchmeckt genauso gut, wie es riecht! Das ist\nwomöglich eine der leckersten Mahlzeiten, die\nich je hatte.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs tut mir leid, aber... ist das wirklich alles, was\ndu dazu zu sagen hast?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nブシュロン\nWie bitte?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMir scheint, ich verdiene etwas mehr Lob als\nnur das. Und könntest du bitte lauter sprechen?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nブシュロン\nDu willst noch mehr Komplimente? Aber was\ngibt es denn sonst noch zu sagen?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWas es sonst noch zu sagen gibt?!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs tut mir leid, aber ich weiß nicht, wie ich eine\ndermaßen dämliche Frage beantworten soll.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nブシュロン\nIrgendwie nimmt das Gespräch gerade eine\npikante Wendung...\x0E\x04\x00\x00
