MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08ロサード\nHey, Mauvier!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06モーヴ\nRosado.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ロサード\nSeid Ihr eigentlich immer so, äh... angespannt?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06モーヴ\nDies ist nicht meine Absicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ロサード\nKommt schon, entspannt Euch! Wie könnt Ihr\nnur so mürrisch sein, beim Anblick eines solch\nniedlichen Gesichts?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06モーヴ\nMürrisch? Dies ist nun mal meine Art.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06モーヴ\nUnd was „Niedlichkeit“ anbelangt, mangelt es\nmir an Erfahrung. Meine Reaktion beruht mehr\nauf Unwissenheit statt auf Unhöflichkeit.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ロサード\nOooh, so ist das also! Jetzt verstehe ich!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06モーヴ\nWas genau verstehst du?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ロサード\nIhr wurdet noch nicht eingeweiht und habt\nEuren Sinn für Niedlichkeit noch nicht entdeckt!\nKein Wunder, dass Ihr so ein Muffel seid!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ロサード\nIch kann Euch dabei helfen. Lasst mich Euch\nbeibringen, wie man Niedlichkeit wertschätzt\nund das Leben genießt!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06モーヴ\nDas ist nicht nötig.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ロサード\nMacht Ihr Witze? Das hat oberste Priorität!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ロサード\nNiedlichkeit nicht wahrnehmen zu können, ist\nfast so als... als könne man die Schärfe in einem\nwürzigen Eintopf nicht schmecken!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06モーヴ\nHmmm... Würzige Eintöpfe mag ich eigentlich\nganz gern. Also gut. Unterrichte mich in Sachen\nNiedlichkeit.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ロサード\nPrima! Lasst mich nur machen –\nEs wird Euch gefallen!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08ロサード\nAlso gut, werft einen Blick auf diesen Zubehör-\nkoffer. Sieht völlig normal aus, richtig? Falsch!\nDa sind nämlich Hasenohren drin!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ロサード\nHabt Ihr jemals was Niedlicheres gesehen?!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06モーヴ\nEs erinnert zumindest an einen Hasen,\nda stimme ich dir zu.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ロサード\nGut, dann vielleicht... etwas Einfacheres. Wie\nwäre es mit diesem Taschentuch, bestickt mit\nhübschen Sommerblumen?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06モーヴ\nEine wahrhaft gelungene Stickarbeit.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06モーヴ\nDoch was genau soll daran „niedlich“ sein?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06モーヴ\nTut mir leid. Was auch immer du mich sehen\nlassen möchtest, ich vermag es leider nicht zu\nerkennen.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ロサード\nHmmm... Ihr seid ein ganz schön harter Fall,\naber zumindest kein hoffnungsloser. Versuchen\nwir es erst mal mit etwas Grundlegendem.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ロサード\nDenkt zurück an eine Zeit in Eurem Leben,\nals Euer Puls nur so raste. An einen Moment,\nder Euer Herz in Wallung versetzte!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06モーヴ\nIn Wallung?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ロサード\nIhr wisst schon... „Waaah, wie niedlich!\nIch halt's nicht aus! Wenn ich nicht sofort\nwoanders hingucke, fall ich noch tot um!“\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ロサード\nEtwa so in der Art!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06モーヴ\nOh, aber natürlich.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06モーヴ\nAls mich einst der vergiftete Pfeil eines Gegners\ntraf, geriet mein Herz tatsächlich in Wallung.\x0E\x04\x00\x00
