MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nAAAH!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nGoldmary! Was ist geschehen?!\nGeht es Euch gut?!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMeine schöne Kleidung... Ich muss mir vorhin\nden Ärmel am Baum aufgerissen haben.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nヴァンドレ\nIhr... Ihr habt Euch die Kleidung aufgerissen.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nヴァンドレ\nBei dem Lärm dachte ich, man würde Euch\nangreifen. Ich eilte also umsonst zu Hilfe.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs tut mir wirklich leid, Euch so in Schrecken\nversetzt zu haben.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMein klarer Schrei muss für Eure Ohren wie\nder Klang goldener Trompeten gewesen sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAber wenigstens seid Ihr nun hier und könnt mir\nbeistehen. Was soll ich nur tun?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nヴァンドレ\nIhr seid wirklich in einem miserablen Zustand.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nヴァンドレ\nNun gut. Zeigt mir den Ärmel.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWozu?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nヴァンドレ\nDamit ich den Riss sehen kann. Wollt Ihr nun\nmeine Hilfe oder nicht?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAber ich muss erst mein Nähzeug holen.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nヴァンドレ\nIch werde meines benutzen. Es sollte nicht\nlange dauern.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOh, Ihr besitzt eigenes?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nヴァンドレ\nIst das so merkwürdig?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNein, überhaupt nicht. Ich bin sogar ehrlich\nbeeindruckt, um genau zu sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nヴァンドレ\nNun denn, zeigt mir jetzt die gerissene Stelle.\nIch habe heute noch andere Dinge zu erledigen.\x0E\x04\x00\x00
