MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nHm... Hm Hmmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アイビー\nWolltest du etwas von mir, Panette?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08パネトネ\nAh, nein. Warum fragt Ihr?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アイビー\nDu starrst mich schon einige Zeit lang an.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パネトネ\nDas kommt nur, weil Ihr für eine Prinzessin so...\nWie soll ich es sagen? So gefasst seid.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アイビー\nBin ich das? Ich würde sagen, dass ich den\nganz normalen Grad an Fassung wahre.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パネトネ\nWirklich? Aber Ihr singt nicht einfach los, oder\nfangt an herumzutanzen.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アイビー\nDas ist korrekt. Solches tue ich nicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08パネトネ\nIhr rennt auch nicht wie ein verrückter Wolf\numher oder stopft gebratene Rippchen in\nEuren Schlund.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パネトネ\nIhr... steht einfach so herum. Das war so\nkomisch. Da konnte ich nicht anders, als zu\nstarren.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08アイビー\nVielleicht bist du einfach nicht vertraut mit dem\nerwarteten Standard und dem protokollarischen\nBenehmen einer Prinzessin.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08パネトネ\nIch habe Euch verärgert, nicht wahr? Ich bitte\nvielmals um Vergebung.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アイビー\nNicht notwendig. Ich sollte über andere Sitten\nnicht verärgert sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アイビー\nTatsächlich ist es nett, mit dir zu sprechen.\nMeinen eigenen Getreuen mangelt es in\ngewisser Weise an... Weiblichkeit.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パネトネ\nWirklich? Oh, ich genieße Eure Gesellschaft\nebenfalls.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アイビー\nGut. Ich wäre sehr angetan, wenn wir beide\nFreundschaft schließen könnten.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08パネトネ\nAber sicher, Hoheit. Es wäre mir eine Ehre!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08アイビー\nPanette, bitte erklär dich.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08パネトネ\nIch habe versprochen, dass wir zu einem ganz\nbesonderen Ort gehen würden. Und hier...\nsind wir!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08アイビー\nIch hatte gesagt, wir sollten Freundschaft\nschließen...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アイビー\nEs war mir nicht bewusst, dass dies einen\nBesuch in diesen uralten... verrotteten Ruinen\nmit sich bringen würde.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08パネトネ\nGenau! Klopft Euer Herz nicht schon schneller?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アイビー\nIch fürchte ja. Über die Maßen.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アイビー\nIch habe das Gefühl, dass uns jederzeit ein\nrachsüchtiger Geist heimsuchen könnte.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パネトネ\nIch weiß. Das ist ja das Bezaubernde.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アイビー\nDu findest es... bezaubernd.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アイビー\nGeister. Du findest den Gedanken an Geister\nbezaubernd.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08パネトネ\nAber natürlich. Ich liebe sie geradezu!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アイビー\nIch sollte dir wohl danken.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アイビー\nDieser Ort bedeutet dir viel. Ich weiß es zu\nschätzen, dass du ihn mit mir teilst.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アイビー\nBedauerlicherweise haben unterschiedliche\nLeute auch sehr unterschiedliche Vorlieben.\x0E\x04\x00\x00
