MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0A\x08リュール\nWas ist das für ein Ort, Lucina? Ich spüre hier\neine seltsame Kraft.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x08\x06ルキナ\nDas sieht genauso aus wie die Feroxer Arena.\nWie merkwürdig.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nFerox? Ein Ort aus deiner Welt, nicht wahr?\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06ルキナ\nJa. Ferox ist ein Königreich, geteilt in einen\nWest- und einen Ostteil. Über jeden Teil\nherrscht ein militärischer Khan.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x08\x06ルキナ\nAlle paar Jahre wird ein Kampfturnier\nveranstaltet, um festzulegen, welcher Khan\nregieren darf.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x08\x06ルキナ\nIn der Feroxer Arena habe ich mit meinem\nVater die Schwerter gekreuzt.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x0A\x08リュール\nEr hat dich den Schwertkampf gelehrt, nicht\nwahr? Es muss ein interessanter, wenngleich\nheftiger, Kampf gewesen sein.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x08\x06ルキナ\nJa. Es war ein harter Kampf. Er wusste nicht,\nwer ich war, und hat sich nicht zurückgehalten.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x08\x06ルキナ\nEr hat mich gut trainiert, doch erst in diesem\nKampf erkannte ich, wie stark mein Vater\nwirklich war.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x08\x06ルキナ\nDas muss der Grund sein, aus dem dieser\nvertraute Platz als Prüfungsort gewählt wurde.\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x0A\x08リュール\nPrüfungsort? Was soll das bedeuten?\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x08\x06ルキナ\nWir beide fühlen die außergewöhnliche Kraft\nhier. Sag mir, wie sie sich für dich anfühlt, ganz\ntief drin.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0A\x08リュール\nEs ist fast, als würde ich deine Macht spüren...\nAber auch, als ob du weit weg wärst.\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x08\x06ルキナ\nIch verstehe. Dann zieh deine Waffe und kämpfe\ngegen mich. Bestehe die Prüfung, auf dass\nunsere Bande stärker werden.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x08\x06ルキナ\nMit stärkeren Banden erhältst du Zugriff auf\neinen größeren Teil meiner Emblemmacht.\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x0A\x08リュール\nIch hoffe, ich kann in der Arena ebenso viel\nlernen wie du.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x08\x06ルキナ\nDas höre ich gern. Doch...\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x08\x06ルキナ\nDu wirst mehr brauchen als nur Hoffnung, um\ndiesen Kampf zu gewinnen.\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x0A\x08リュール\nDu wirst überrascht sein, wenn du denkst, ich\nbringe nicht mehr als Hoffnung in diesen\nKampf mit.\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x02\x08\x06ルキナ\nSo will ich das hören, \x0E\x06\x03\x00!\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06ルキナ\x02b\n\x0E\x05\x01\x18\x06ルキナ\x0EStandBy\n\x0E\x03\x02\x08\x06ルキナ\nHalt dich nicht zurück. Stärke unsere Bande.\nKämpfe mit allem, was du hast, \x0E\x06\x03\x00!\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06ルキナ\x02b\n\x0E\x05\x01\x14\x06ルキナ\nAngry\n\x0E\x03\x02\x08\x06ルキナ\nWas ist los, \x0E\x06\x03\x00? Du wirst nicht\ngewinnen, indem du nur herumstehst.\x0E\x04\x00\x00
MID_BT1_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nDeine Haltung hat keine Öffnung. Ich weiß\nnicht, wie ich dich treffen soll, egal, wohin mein\nSchlag auch geführt wird.\x0E\x04\x00\x00
MID_BT1_#003	\x0E\x03\x02\x08\x06ルキナ\nDeine Zweifel vernebeln deine Angriffe. Hab\nVertrauen in dich und greif mich an, mit allem,\nwas du hast!\x0E\x04\x00\x00
MID_BT1_#004	\x0E\x05\x01\x18\x08リュール\x0CStrike\n\x0E\x03\x02\x0A\x08リュール\nVerstanden. Es geht los!\x0E\x04\x00\x00
