MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nSei gegrüßt, Pandreo. Kannst du einen Moment\ndeiner Zeit erübrigen?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08パンドロ\nAber sicher. Für meine liebe Schwester doch\nimmer. Aber bitte, nicht so formell.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08パネトネ\nAh, gut. Weißt du, es gibt da eine Frage, die\nich dir schon lange--\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nNein, falsch. Du sprichst immer noch mit diesem\nhochgestochenen Akzent.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パネトネ\nErwartest du etwa von mir, dass ich--\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08パンドロ\nJa. Ich weiß, dass du immer superschick klingen\nwillst, aber hey, wir sind gerade allein.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パンドロ\nBei deinem eigenen Bruder musst du wirklich\nnicht so blaublütig tun.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パネトネ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08パネトネ\nGut. Warum arbeitest du für die Kirche?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パンドロ\nDas also willst du wissen, hm?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パネトネ\nPapa war ein Säufer, und Mama eine korrupte\nPriesterin, der ihre Kinder egal waren.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08パネトネ\nSie waren fürchterliche Eltern.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08パネトネ\nWarum also trittst du in ihre Fußspuren und\ndienst ihrer Kirche?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08パンドロ\nIch hatte dir erzählt, was geschah, nachdem du\ngegangen bist. Sie verschwanden.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パネトネ\nJa. Und?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08パンドロ\nNun, die Gläubigen der Kirche brauchten\njemanden, der sie leitet.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08パンドロ\nDeswegen habe ich das übernommen.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08パネトネ\nPah. Das also war der Grund.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08パンドロ\nAuch wenn es lange her ist: Wenn du mit uns\nbeten möchtest, bist du stets willkommen.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08パネトネ\nNein danke. Kein Bedarf.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08パネトネ\nIch bin fertig mit unseren Eltern, und ich bin\ngenauso fertig mit ihrer Kirche.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08パネトネ\nLieber falle ich tot um, als dort jemals wieder\nauch nur einen Fuß hineinzusetzen.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0A\x08パンドロ\nIn Ordnung.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nWarum hast du mir eigentlich nie vorgeworfen,\ndass ich damals weggelaufen bin?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08パンドロ\nWarum sollte ich? Ich war froh, dass du\nrechtzeitig weggekommen bist.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パネトネ\nHm. Ich dachte immer, du wärst mir böse, weil\nich mich aus dem Staub gemacht habe.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08パンドロ\nNein. Ich war nicht mutig genug, das Gleiche zu\ntun. Hatte Angst, es allein nicht zu schaffen.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08パンドロ\nAber schau dich an. Eine Getreue. Du hast es\necht zu was gebracht, aus eigener Kraft.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08パンドロ\nIch wette, unsere Erzeuger wären mächtig stolz\nauf dich.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08パネトネ\nGlaube ich kaum. So oder so wäre ich ihnen\nwohl völlig egal.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パンドロ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08パンドロ\nIch sollte dir das jetzt gar nicht sagen, aber ich\nkann eben kein Geheimnis für mich behalten.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パンドロ\nMama und Papa haben versucht, dich zu finden.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08パネトネ\nWas? Wolfsmist... Unmöglich.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パンドロ\nIch war auch überrascht.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08パンドロ\nVielleicht waren sie nur besorgt, wie das nach\naußen hin wirken würde. Schwer zu sagen.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08パンドロ\nDas jedenfalls ist die Wahrheit. Ich finde, du\nsolltest sie kennen.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パネトネ\nPuuuh...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パネトネ\nWas soll ich damit jetzt anfangen?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x02\x0A\x08パネトネ\nHey, Bruder. Betest du?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パンドロ\nJa. Ich freue mich, dass du dich hier zeigst.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08パネトネ\nWollte ich eigentlich gar nicht. Ich habe zu viele\nschlechte Erinnerungen an diesen Ort.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08パネトネ\nDoch dies ist nicht mehr die Kirche unserer\nEltern. Es ist deine.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08パネトネ\nDaher dachte ich, ich kann kurz hereinschauen –\nzumindest für ein paar Minuten.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パンドロ\nJa. Schön, dass du hier bist.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08パネトネ\nMhm. Ich, äh, bete dann mal. Ganz kurz nur.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08パネトネ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08パネトネ\nIch habe für Frieden gebetet.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パネトネ\nUnd bei dieser Gelegenheit... auch dafür, dass\nes unseren Eltern gut geht. Egal, wo sie sind.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08パンドロ\nGut für dich, Panette.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08パネトネ\nWas, glaubst du, tun sie wohl jetzt gerade?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08パンドロ\nKeine Ahnung. Ehrlich gesagt vermute ich,\ndass sie tot sind.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パンドロ\nAber wer weiß? Vielleicht finden wir sie eines\nTages, so wie wir uns gefunden haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パネトネ\nAls Erwachsene haben wir jetzt die nötige\nDistanz zu... allem, was geschehen ist.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08パネトネ\nIch wünschte, wir könnten uns mit ihnen\nhinsetzen und vernünftig darüber sprechen.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パンドロ\nDas wäre schön.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パンドロ\nIch denke, sie wären stolz auf uns.\nBesonders auf dich.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08パネトネ\nPuuuh...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08パンドロ\nPanette, hör zu. Ich will, dass du diesen Krieg\nüberlebst.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08パンドロ\nIch... Ich könnte es nicht ertragen, noch mehr\nFamilie zu verlieren.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08パネトネ\nHey. Ich sterbe dir schon nicht weg.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08パネトネ\nUnd ich setze noch einen drauf: Ich rette dir\nauch noch deinen geweihten Hintern.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08パンドロ\nHahaha, das ist gut. Mit der mächtigen Panette\nan meiner Seite habe ich nichts zu befürchten.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08パネトネ\nSo ist es. Wir beide werden das gemeinsam\nüberstehen.\x0E\x04\x00\x00
