MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nGlaub ja nicht, ich wäre irgendeine\nWischiwaschi-Adlige. Ich bin stärker, als ich\naussehe.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nIch habe dich von Anfang an nicht für schwach\ngehalten. Ohne dich wäre ich nie so weit\ngekommen, Lyn!\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nDiese Welt gefällt mir. Allerdings sorgt sie auch\ndafür, dass ich die grünen, geschwungenen\nEbenen meiner Heimat vermisse.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nDiese Ebenen scheinen sehr schön zu sein. Es\nwäre toll, wenn ich sie eines Tages selbst\nsehen könnte.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nDu siehst erschöpft aus. Wenn dich irgendetwas\nbedrückt, kannst du es mir ruhig sagen. Ich\nbin eine gute Zuhörerin.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nIch zögere manchmal noch immer im Kampf,\nweil ich so unerfahren bin.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nUnd dann hinterfrage ich meine Entscheidungen\nspäter und denke an all die Dinge, die ich statt-\ndessen hätte tun können.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x06\x04リン\nSorge dich nicht so sehr darum, Fehler zu\nmachen. Du hast deine Freunde und mich.\nWir werden dir gemeinsam den Weg weisen.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nEs ist wundervoll, Euch so voller Energie zu\nsehen. Doch ich fürchte, Ihr könntet Euch\nderart leicht gekleidet erkälten.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x06\x04リン\nKein Sorge, Vander. Ich trage schon immer--\nOh, jetzt, wo Ihr es sagt... Können Embleme\nsich eigentlich erkälten?\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nEs muss doch anstrengend sein, über einen\nlangen Zeitraum stocksteif dazustehen.\nWie wäre es mit einem Lächeln?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nIch komme Eurer Aufforderung mit Freuden\nnach. Seht her, ein Lächeln! Habe ich Euch\npositiv überraschen können?\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nIn welch Zeiten wir leben... Königin Lumera ist\nvon uns gegangen. \x0E\x0A\x008\x18Der Wyrmgott\x1CDie Wyrmgöttin ist erwacht.\nUnd Ihr, Lady Lyn, seid an meiner Seite.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nDas Leben macht, was es will. Bei diesem\nAbenteuer bin ich lediglich ein Reisender.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x06\x04リン\nIch hätte mir vor tausend Jahren niemals\nvorstellen können, erneut aus dem Ring\nerweckt zu werden.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x06\x04リン\nIch denke, Ihr habt recht. Wir sind Reisende,\naber wir werden immer wieder mit neuen\nErfahrungen gesegnet.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nClanne, du siehst erschöpft aus. Werden dir\ndeine Pflichten etwa zu viel?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nAber nein. Ich liebe es, mich um \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin\nzu kümmern. Ich habe Sorge, dass ich bald\nnichts mehr zu tun haben könnte!\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nDu siehst niedergeschlagen aus.\nMöchtest du reden?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06クラン\nMir fehlen meine Eltern. Komisch, nicht wahr?\nDabei sollte dies im Moment eine fröhliche Zeit\nsein, keine traurige.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nIch bin in den Ebenen geboren und vermisse\nmeine Eltern, seit ich sie zurückgelassen habe.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06クラン\nEuch geht es also genauso? Da fühle ich\nmich gleich besser. Ich dachte, ich wäre\nein Schwächling...\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x06\x04リン\nAber nein! Es bedeutet nur, dass wir unsere\nHerkunft vermissen. Besuch doch deine Eltern,\nwann es dir möglich ist.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\nVielleicht tue ich das. Aber im Augenblick kann\nich mir nicht vorstellen, \x0E\x0A\x00@\x18vom Wyrmgott$von der Wyrmgöttin\ngetrennt zu sein.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x08\x06フラン\nIhr seid \x0E\x0A\x00\x10\x06dem\x06der \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin eine große Hilfe!\nFast so sehr wie ich. Fast!\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x06\x04リン\nDeine Hingabe ist bewundernswert.\nIch verspreche dir, ich werde niemals\nzwischen dir und \x0E\x0A\x00\x10\x06dem\x06der Göttlichen stehen.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\n\x0E\x0A\x00\x10\x06Dem\x06Der \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin zu dienen, ist harte Arbeit.\nUnd doch scheinst du dieser Arbeit niemals\nmüde zu werden.\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06フラン\nIn der Tat! Etwas für \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin zu\nerledigen, ist total inspirierend für mich!\nIch könnte damit ewig so weitermachen.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x08\x06フラン\nDrachen leben so viel länger als wir Menschen.\nEines Tages werde ich also nicht mehr an der\nSeite \x0E\x0A\x00\x10\x06des\x06der \x0E\x0A\x00,\x14Wyrmgottes\x14Wyrmgöttin stehen können.\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x06\x04リン\nFramme, je mehr man jemanden liebt, desto\nhärter ist es, sich vorzustellen, von der Person\ngetrennt zu sein.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x06\x04リン\nAber wenn du deine Zeit nur damit verbringst,\ndich davon herunterziehen zu lassen, kannst du\ndie Zeit nicht genießen, die ihr noch habt.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06フラン\nIhr habt vollkommen recht, Lady Lyn. Ich werde\nsichergehen, jede einzelne Sekunde, die mir mit\n\x0E\x0A\x00\x10\x06dem\x06der \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin bleibt, zu genießen.\x0E\x04\x00\x00
