MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x08\x06クラン\nPrinz Fogado. Ich hätte eine Frage.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nフォガート\nJa? Schieß los. Lass mal hören.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06クラン\nWas esst Ihr zum Frühstück?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nHm. Irgendwie hatte ich DAS jetzt nicht\nerwartet.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06クラン\nBitte. Ich möchte es wirklich gerne wissen.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nフォガート\nHm, gut. Normalerweise esse ich ein paar\ntropische Früchte.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06クラン\nVerstehe, verstehe. Einfach frisch, oder werden\nsie irgendwie zubereitet?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nフォガート\nClanne. Warum nimmst du mich bezüglich\nmeiner Frühstücksvorlieben ins Verhör?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クラン\nOh, äh... Nun... Dann muss ich wohl jetzt damit\nrausrücken.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クラン\nMich behandeln die Leute immer wie einen\nJungen, aber Euch? Ihr seid ein absoluter\nBilderbuch-Mann!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nフォガート\nAha, danke! Wenn du meinst...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06クラン\nIhr seid nicht so viel älter als ich, also... muss es\netwas sein, das Ihr tut, das ich nicht tue.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nフォガート\nDeshalb die Frage nach meinen Frühstücks-\ngewohnheiten.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クラン\nRichtig. Wenn es nicht zu viele Umstände\nbereitet, würde ich Euch gerne noch etwas\nfolgen, um mehr über Euch zu lernen.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06クラン\nIndem ich Euch eingehend studiere, komme ich\nvielleicht hinter das Geheimnis Eurer\nMännlichkeit!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nフォガート\nKlar, warum nicht? Klingt nach Spaß.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06クラン\nDanke, danke. Ich verspreche Euch, Ihr werdet\ngar nicht bemerken, dass ich da bin.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x08\x06クラン\nDanke, dass ich heute Euer Schatten sein\ndurfte!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nフォガート\nKein Problem. Hast du irgendwelche, äh,\nnützlichen Daten gewinnen können?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06クラン\nTonnenweise! Ich habe hier gleich mehrere\nSeiten darüber, wie man tropische Früchte am\nbesten zubereitet und verspeist.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nフォガート\nOh. Äh... Gut. Ich weiß nicht, ob ich das als\nnützlich erachten würde.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nフォガート\nKann ich mal einen Blick in dein Notizbuch\nwerfen?\x0E\x04\x00\x00
