MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nOh, hallo Chloé! Welch Zufall, dich hier\nanzutreffen.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クロエ\nHallo, Citrinne. Ich wollte mir hier nur kurz mein\nMittagessen kaufen.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06クロエ\nDies ist die einzige Imbissbude, die dieses Ge-\nricht führt, aber der Geschmack ist den weiten\nWeg wert. Es ist eine meiner Leibspeisen!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nシトリニカ\nWirklich? Na, wenn es dermaßen köstlich ist,\ndann muss ich selbst einmal davon kosten.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nシトリニカ\nKomm, ich lade dich ein, Chloé.\nEntschuldigt bitte? Ich würde gerne den\ngesamten Bestand kaufen.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クロエ\nDu kaufst gleich alles?!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nMach dir wegen der Kosten keine Sorgen.\nAuf diese Weise können wir auch noch mit\nden anderen teilen, falls etwas übrig bleibt!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nシトリニカ\nAh, es war sicher eine Menge Arbeit, alles so\nordentlich einzupacken. Hier habt Ihr ein wenig\nzusätzliches Gold für Eure Mühen.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nシトリニカ\nHuch? Sind das etwa...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クロエ\nEs ist Imbissbudenessen. In Salz eingelegte\nFischinnereien, um genau zu sein!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nシトリニカ\nOh. Wie, äh... reizend...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06クロエ\nAh, tut mir leid. Ich liebe dieses Zeug, aber für\ndeinen Magen ist es vielleicht zu viel des Guten.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nシトリニカ\nNein, nein, man soll ja nicht gleich\nvoreingenommen sein, bevor man überhaupt\neinen Bissen probiert hat...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nシトリニカ\nHier, Chloé. Dein Anteil.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06クロエ\nOooh, das ist ja beinahe alles! Vielen Dank!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nシトリニカ\nUnd nun entschuldige mich bitte. Ich habe\nnoch etwas Wichtiges zu erledigen.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06クロエ\nMuss ja wirklich wichtig sein. Du blickst auf\neinmal so ernst drein.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nシトリニカ\nOh, das ist es. Für mich zumindest. Pass auf\ndich auf.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06クロエ\nNatürlich. Und danke dafür, dass du mir so viel\nvon meinem Lieblingsessen spendiert hast!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nHallo, Chloé. Isst du wieder ein Imbissbuden-\ngericht?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クロエ\nJepp. Ist gekochter Frosch und schmeckt total\nlecker. Du solltest auch mal kosten!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nシトリニカ\nÄh, nein, danke. Ich habe gerade erst reichlich\nzu Mittag gegessen.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nシトリニカ\nHm...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nシトリニカ\nChloé. Du stammst aus einer reichen Familie,\nnicht wahr?\x0E\x04\x00\x00
