MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nJade! Tritt gegen mich an! Zeig mir deine\nKampffähigkeiten!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nNein, danke. Ich passe.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06カゲツ\nSo schnell weist du mich ab? Warum?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06カゲツ\nIch hörte, dass du dank deiner Stärke in\nBrodia siegreich aus Turnieren hervorgegangen\nseist.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06カゲツ\nSolch eine Stärke will gezeigt und genutzt\nwerden. Behalte sie nicht für dich allein!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ジェーデ\nIch habe keine Befehle erhalten, dich anzu-\ngreifen. Ich hege auch keinen persönlichen\nGroll gegen dich. Warum also kämpfen?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06カゲツ\nJade, Jade, Jade. Du enttäuschst mich!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06カゲツ\nWas ich über deine Fähigkeiten vernehme, ist\nso aufregend. Bitte, ich möchte sie mit eigenen\nAugen sehen!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06カゲツ\nWie kann ich in den Genuss dieses Kampfes\nkommen? Ich werde alles tun, was du verlangst!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ジェーデ\nAlles?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ジェーデ\nWenn das so ist...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ジェーデ\nWärest du bereit, mir einige persönliche Fragen\nzu beantworten, bevor wir gegeneinander\nantreten?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06カゲツ\nHahaha, sicher. Darf ich fragen, warum?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ジェーデ\nIch muss einen neuen Charakter entwickeln, für\nein neues Buch, das ich plane. Du kannst mir\ndabei helfen, die Lücken zu schließen.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06カゲツ\nIch muss nur über mich selbst sprechen?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ジェーデ\nGanz genau. Es hört sich an, als hätten wir eine\nAbmachung.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nIch komme aus der Weißen Wüste, ein Ort an\nSolms nordöstlicher Grenze.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06カゲツ\nMeine Heimat wird selten von Fremden besucht.\nIhre Kultur ist kostbar und einzigartig.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ジェーデ\nWas ist anders an ihr? Fallen dir irgendwelche\nBeispiele ein?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06カゲツ\nZunächst einmal meine Kleidung. Sie muss in\ndeinen Augen ungewohnt aussehen.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06カゲツ\nUnd unsere Architektur. Nirgendwo wirst du\neine schönere Holzverarbeitung sehen als bei\nuns.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06カゲツ\nAuch unser Glauben unterscheidet sich. Wir\nverehren weder Wyrmgötter noch Dämonen-\ndrachen.\x0E\x04\x00\x00
