MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nKaum zu glauben, dass hier, wo jetzt dieser See\nist, mal ein Berg gewesen sein soll.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08ヴェイル\nIch kann das Dämonendrachensiegel spüren.\x0E\x04\x02\x00
MID_OP1_#003	Zephia hat die Wahrheit gesagt. Es ist irgendwo\nda unten am Grund des Sees.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x0A\x08リュール\nSie sagte, der magische Kristall könnte das\nversunkene Gelände wieder in Reichweite\nbringen.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08ヴェイル\nAber nur für ein paar Stunden. Sobald also der\nEffekt eintritt, werde ich uns schnell zum Siegel\nbringen.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08リュール\nDanke.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x0A\x08ヴェイル\nAlso gut, dann los!\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x0A\x08リュール\nEs geht los! Aber... Moment, was geht hier vor\nsich?\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0A\x08ヴェイル\nDer Berg erhebt sich! Oder... oder der\nWasserstand sinkt! Bleibt alle dicht bei mir!\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x0A\x08リュール\nNein, wir sind hier nicht sicher...
MID_OP1_#011	\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x02\x0A\x08ヴェイル\nBruder!\x0E\x04\x00\x00
MID_OP1_#011_F	\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x02\x0A\x08ヴェイル\nSchwester!\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x01\x0A\x08ヴェイル\n\x0E\x03\x00\x0E\x08リュール\x024\n\x0E\x03\x02\x0A\x08リュール\nVeyle!\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nIch muss von den anderen weggeschleudert\nworden sein.\x0E\x04\x02\x00
MID_OP2_#002	Der See ist weg! Und der Berg ist da!\x0E\x04\x02\x00
MID_OP2_#003	Der Kristall scheint funktioniert zu haben. Ich\nsollte besser schnell die anderen suchen.\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x00\x18\x12M024_リュール\x021\n\x0E\x06\x00.\x12M024_リュール\x18MPID_Unknown\n\x0E\x03\x02\x14\x12M024_リュール\nDu da.\x0E\x04\x02\x00
MID_OP2_#005	\x0E\x03\x02\x0A\x08リュール\nHm?\x0E\x04\x02\x00
MID_OP2_#006	...!\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x14\x12M024_リュール\nWie eigenartig. Dein Gesicht ist mein Gesicht.\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x0A\x08リュール\nNein – was? Das bin doch nicht... ich.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x14\x12M024_リュール\nWer bist du?\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x0A\x08リュール\nIch bin... äh...\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x14\x12M024_リュール\nIch spüre ein Emblem. Eines, das ich noch nie\nzuvor wahrgenommen habe.\x0E\x04\x02\x00
MID_OP2_#012	Wenn du einen Ring hast, gib ihn mir. Ich muss\nihn Vater bringen.\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x0A\x08リュール\nVater?\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x14\x12M024_リュール\nSombron, dem König der Drachen.\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP2_#016	\x0E\x03\x02\x14\x12M024_リュール\nIch sammle Emblem-Ringe. Das ist meine\nAufgabe.\x0E\x04\x02\x00
MID_OP2_#017	Ich wurde angewiesen, diese Aufgabe um jeden\nPreis zu erfüllen.\x0E\x04\x02\x00
MID_OP2_#018	Wir befinden uns im Krieg mit den Wyrmgöttern.\nIch habe schon viele Ringe gesammelt.\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x0A\x08リュール\nKrieg... Moment, wenn das ich bin... Bin das ich\naus der Zeit des Krieges gegen die Wyrmgötter?\x0E\x04\x02\x00
MID_OP2_#020	Dann hat Zephias Magie mich wirklich in Reich-\nweite des Siegels gebracht – indem sie mich in\ndie Vergangenheit geschleudert hat!\x0E\x04\x02\x00
MID_OP2_#021	Dann muss ich hier im Gradlon von vor tausend\nJahren sein, als es noch nicht versunken und\ndas Siegel hier irgendwo in der Nähe war.\x0E\x04\x00\x00
MID_OP2_#022	\x0E\x06\x002\x12M024_リュール\x1CMPID_PastLueur\n\x0E\x03\x02\x14\x12M024_リュール\nDu murmelst vor dich hin. Ich wiederhole.\nWenn du einen Ring hast, dann gib ihn mir.\nSchnell.\x0E\x04\x00\x00
MID_OP2_#023	\x0E\x03\x02\x0A\x08リュール\nTut mir leid – nein.\x0E\x04\x00\x00
