MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x08\x06カゲツ\nAh... Der Hunger schlägt zu. Die Zeit ist reif\nfür ein Onigiri.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ボネ\nKagetsu.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06カゲツ\nOh! Bunet! Wo kommst du denn so plötzlich\nher?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ボネ\nDiese kleinen dreieckigen Leckerbissen. Du hast\nsie Onigiri genannt.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ボネ\nIch habe noch nie so was gesehen. Woraus sind\nsie gemacht?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06カゲツ\nKoste selbst. Hier, du kannst meinen haben.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x06\x04ボネ\nBist du sicher? Nun, dann danke.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04ボネ\nMmm... Ist das lecker!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ボネ\nEine Kugel Reis, leicht gesalzen und in Seetang\ngewickelt. Und... gegrillter Fisch, oder?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06カゲツ\nJa! Gesalzener Lachs!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ボネ\nAh so. Allem Anschein nach eine der simpelsten\nSpeisen und doch verbirgt sie Tiefen von\nAromen in sich.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ボネ\nBitte, zeig mir, wie das zubereitet wird.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06カゲツ\nEs wäre mir ein Vergnügen. Aber ich habe\nmeine Pflichten als Getreuer von Prinzessin Ivy\nzu erfüllen.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06カゲツ\nWürde ich meine Pflichten vernachlässigen,\num dir zu zeigen, wie man Onigiri zubereitet,\nwäre sie erzürnt.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ボネ\nAh. Welch eine Enttäuschung, aber ich verstehe\ndas.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ボネ\nIn diesem Fall werde ich die Zubereitung von\nOnigiri allein meistern.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06カゲツ\nIch bewundere deine Leidenschaft! Sag mir\nBescheid, wenn du so weit bist, dann werde ich\ndein Testesser.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04ボネ\nNatürlich. Ich verlasse mich auf dein Urteil,\nob ich die Essenz dieser Speise gut eingefangen\nhabe.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nKagetsu! Es wird Zeit.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06カゲツ\nFür was?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04ボネ\nHast du es vergessen?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ボネ\nSeit unserem letzten Gespräch habe ich mich\nder Kunst der Onigiri-Zubereitung hingegeben.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04ボネ\nIch habe mich mit den Zutaten und den Kleb-\neigenschaften von Reis beschäftigt. Tagelang\nhabe ich an nichts anderes gedacht.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ボネ\nUnd endlich, nach all den Mühen, habe ich\ndiesen hier zubereitet.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06カゲツ\nOooh... Der sieht sehr gut aus.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06カゲツ\nAber noch wichtiger als das Aussehen, ist sein\nInhalt. Sag mir, welche Zutaten sich im Inneren\nbefinden!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ボネ\nIch habe Datteln verwendet, frisch von einer\nDattelpalme. Sie sind so etwas wie eine\nSpezialität aus Solm.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06カゲツ\nDattelpalme? Das ist ungewöhnlich. Ich kenne\ndiese Zutat nicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ボネ\nProbier mal.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06カゲツ\nDas werde ich!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06カゲツ\nHm. Hm. Hmmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06カゲツ\nMan erwartet keine Süße bei einem Onigiri...\nAber das schmeckt nicht schlecht! Der Reis\npasst gut dazu.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ボネ\nNicht wahr? Ich habe viel versucht und vieles\nist misslungen, bevor ich mich für Datteln\nentschieden habe.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06カゲツ\nJa, das ist köstlich! Sehr gut. Trotzdem...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06カゲツ\nSein Geschmack ähnelt mehr einem Ohagi.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x06\x04ボネ\nEinem was?!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ボネ\nWillst du damit sagen, dass es so etwas wie das\nhier bereits gibt?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06カゲツ\nJa! Ohagi ist süßer Reis, der zusammengerollt\nund mit Rote-Bohnen-Paste bedeckt wird.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04ボネ\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04ボネ\nAlso heißt das... Dies ist kein Onigiri.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06カゲツ\nDoch, doch! Die Form ist die eines Onigiri!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x06\x04ボネ\nAber es schmeckt wie ein Ohagi.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x06\x04ボネ\nIch weiß deine netten Worte zu schätzen, aber\nich habe dennoch daneben getroffen.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x06\x04ボネ\nMein kulinarisches Wissen ist lückenhaft.\nWer weiß, wie viele Speisen mir bisher noch\nentgangen sind?\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x06\x04ボネ\nEntschuldige mich. Ich muss mich meinen\nStudien widmen.\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x08\x06カゲツ\nDein Onigiri war köstlich, und doch willst du\nnoch mehr lernen...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x08\x06カゲツ\nIch bin neugierig, Bunet. Was motiviert dich,\nso viele neue Rezepte zu lernen?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ボネ\nIch möchte ein Poet der Speisen werden.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ボネ\nFür mich bedeutet das, meine Visionen mit\nder größten Bandbreite an Gewürzen und\nAromen auszudrücken.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ボネ\nIch war der Meinung, ich würde alle Sprachen\ndes Kulinarischen beherrschen, doch ach...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ボネ\nIch wusste nicht einmal davon. Von Ohagi.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06カゲツ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06カゲツ\nWir sind uns anscheinend sehr ähnlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ボネ\nHm? Wie kommst du darauf?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06カゲツ\nIch habe meine Heimat verlassen, auf der Suche\nnach Wissen über die Welt als Ganzes.\x0E\x04\x00\x00
