MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x00\x0E\x08ヘクトル\x023\n\x0E\x03\x02\x06\x04チキ\nSieh mal! Dort drüben ist ein weiterer Armring,\n\x0E\x06\x03\x00!\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\nDu hast recht. Ist das der Armring des eigen-\nwilligen Generals?\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x06\x04チキ\nJa! Ich glaube, das Emblem schläft. Wirst du es\naufwecken?\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x0A\x08リュール\nMir kamen die Worte dazu sofort in den Sinn,\nals ich den Armring sah. Versuchen wir es.\x0E\x04\x02\x00
MID_OP1_#005	Ermutige uns, Emblem der Stärke!\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nAaah, was für ein erfrischendes Nickerchen.\nHallo, ich bin Hector. Wart Ihr es, \x0E\x0A\x00\x10\x06der\x06die mich\naufgeweckt hat?\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0A\x08リュール\nJa, das war ich. Seid gegrüßt, Hector. Ich bin\n\x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08ヘクトル\nSchön, Euch kennenzulernen. Puuuh, es tut\nwirklich gut, sich mal wieder zu bewegen!\x0E\x04\x02\x00
MID_OP2_#004	Aber Ihr habt doch bestimmt einen Grund,\nwarum Ihr mich geweckt habt?\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x0A\x08リュール\nDie Welt ist in einem schrecklichen Krieg\ngefangen. Wir versuchen, diesen zu beenden.\x0E\x04\x02\x00
MID_OP2_#006	Daher haben wir gehofft, Ihr würdet uns Eure\nStärke leihen.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0A\x08ヘクトル\nHmm. Nun, ich habe ein gutes Gefühl bei Euch.\nIhr scheint den gleichen Schneid zu besitzen\nwie er.\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x0A\x08リュール\nDürfte ich wohl fragen, von wem Ihr sprecht?\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08ヘクトル\nVon meinem guten Freund Eliwood.\x0E\x04\x02\x00
MID_OP2_#010	In meiner Welt kämpfte er, um uns vom Rande\ndes Abgrunds zurückzuholen. So wie Ihr es tut.\x0E\x04\x02\x00
MID_OP2_#011	Wir kämpften gegen eine niederträchtige Bande\nnamens Black Fang. Sie waren ein schwieriger\nHaufen.\x0E\x04\x02\x00
MID_OP2_#012	Für Eliwood, Lyn und mich sowie für all unsere\nVerbündeten war es ein Kampf ums Überleben.\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x0A\x08リュール\nSie müssen froh gewesen sein, jemanden wie\nEuch an ihrer Seite gehabt zu haben.\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x0A\x08ヘクトル\nÄhm... Ihr müsst mir nicht Honig ums Maul\nschmieren. Ihr benötigt Hilfe, das ist mir Grund\ngenug.\x0E\x04\x02\x00
MID_OP2_#015	Aber zuerst lasst uns einen kleinen freund-\nschaftlichen Kampf austragen, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_OP2_#016	\x0E\x03\x02\x0A\x08リュール\nWas meint Ihr damit?\x0E\x04\x00\x00
MID_OP2_#017	\x0E\x03\x02\x0A\x08ヘクトル\nEs ist schon eine Weile her, seit ich mich mit\njemanden messen konnte. Ich möchte sehen,\nwie Ihr Euch im Kampf schlagt.\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x0A\x08リュール\nDas verstehe ich. Wenn es das ist, was Ihr\nwünscht, dann bin ich bereit, Euch zu zeigen,\nwas in mir steckt.\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x0A\x08ヘクトル\nDann ist es abgemacht. Macht Euch bereit!\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ヘクトル\x02b\n\x0E\x05\x01\x16\x08ヘクトル\nSmile\n\x0E\x03\x02\x0A\x08ヘクトル\nLasst uns beginnen. Greift mich an und haltet\nEuch dabei nicht zurück!\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nヴァンドレ\x02t\n\x0E\x05\x01\x18\nヴァンドレ\nAngry\n\x0E\x03\x02\x0C\nヴァンドレ\nWie es scheint, strömt dort drüben eine\nnebelartige Substanz aus... Seid auf der Hut.\x0E\x04\x00\x00
