MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\nChloé! Hör mal! Ich bin da auf was gestoßen,\ndas wird dich umhauen!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クロエ\nAmber? Wieso bist du denn so aus dem\nHäuschen?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アンバー\nIn den Märchen, die du so liebst, kam doch\nbestimmt auch schon mal die Legende des\nsogenannten Jungbrunnens vor, oder?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クロエ\nOh ja, die mag ich besonders! Aber wieso fragst\ndu?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アンバー\nHahaha!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アンバー\nHalt dich fest... Ich hab die einzige Karte\nin die Finger bekommen, auf der das Versteck\ndieses Jungbrunnens verzeichnet ist!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06クロエ\nJunge... Das ist unglaublich!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06クロエ\nVor allem, wenn man bedenkt, dass der\nJungbrunnen gar nicht real ist. Warum sollte es\neine Karte dafür geben?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08アンバー\nDas ist es ja gerade! Genau deswegen ist dieser\nFund so fantastisch!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アンバー\nWenn er nicht existiert, wieso halte ich dann\neine Karte in meinen Händen, die genau zeigt,\nwo man ihn findet?!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08アンバー\nAlso, was meinst du, Chloé? Bereit für die\nabenteuerliche Suche nach dem Jungbrunnen?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\nDu kennst dich super aus mit Märchen und\nallem, was dazugehört. Wenn wir uns\nzusammentun, hält uns nichts mehr auf!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クロエ\nKlar, ich bin dabei.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クロエ\nVielleicht bekommen wir unterwegs ja sogar ein\npaar märchenhafte Landschaften zu sehen.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アンバー\nDu kommst mit?! Großartig! Danke, Chloé!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アンバー\nIch kann's kaum abwarten! Diesen Jungbrunnen\nwerden wir so was von finden!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x08\x06クロエ\nTja, eine schöne Quelle ist es ja. Und das\nWasser fühlt sich richtig angenehm an, findest\ndu nicht auch?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nJa... Schätze schon...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08アンバー\nAber das hier ist NICHT der legendäre\nJungbrunnen!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クロエ\nHahaha, ach, das ist schon in Ordnung.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クロエ\nEs stimmt schon, das hier ist bloß eine normale\nQuelle... aber du bist ohnehin noch jung! Du\nbrauchst doch keinen Jungbrunnen.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アンバー\nDarum geht's nicht! Wir sind aufgebrochen, um\nden legendären Jungbrunnen zu finden!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アンバー\nIch kann nicht fassen, dass diese blöde Karte\ndie ganze Zeit bloß eine Fälschung war. Pah...\nIch bin so ein Trottel!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06クロエ\nAch, ist doch kein Grund, so niedergeschlagen\nzu sein, Amber.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アンバー\nWas ich auch nicht fassen kann, ist, wie\ngelassen du das alles nimmst, Chloé!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06クロエ\nNa ja, selbst wenn es nicht der legendäre Jung-\nbrunnen ist, macht es mich trotzdem glücklich,\neine so schöne Quelle besuchen zu können.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06クロエ\nEs ist so zauberhaft hier... Vielleicht hat diese\nQuelle ja sogar die Legenden des Jungbrunnens\nüberhaupt erst inspiriert!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nHmm. Du hast schon recht, es IST eine echt\nhübsche kleine Quelle...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クロエ\nNicht wahr? Also nimm's nicht so schwer. Ich\nhab übrigens Proviant mitgebracht! Wir könnten\netwas essen und dabei die Szenerie genießen.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アンバー\nWirklich?! Super! Das war total vorausschauend\nvon dir, Chloé! Du denkst immer an alles.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アンバー\nEine hübsche Quelle, etwas Leckeres zu essen...\nLangsam komm ich mir vor wie bei einem\nWochenendpicknick!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08アンバー\nWuhu! Wochenendpicknick!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アンバー\nMoment mal.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08アンバー\nDu... Du hast das von Anfang an so geplant,\noder? Du wusstest, dass das Ganze ein Reinfall\nwird!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クロエ\nHahaha! Spielt das eine Rolle?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アンバー\nNee. Ich bin viel zu hungrig, als dass ich mich\njetzt weiter aufregen könnte. Her mit den\nFressalien!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06クロエ\nBitte sehr. Eine Portion getrocknete Fischaugen,\nnur für dich!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08アンバー\nAaaaargh! Du hast was von deinem\nImbissbudenfraß mitgebracht?! Jetzt kann man\ndefinitiv von einem Reinfall sprechen...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\nHeeey! Hey, Chloé!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クロエ\nHallo, Amber. Du bist aber gut gelaunt heute!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アンバー\nUnd ob ich das bin! Und du gleich auch, wenn\ndu erst mal hörst, was ich zu erzählen hab...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08アンバー\nIch hab nämlich eine weitere Karte gefunden...\nUnd diese führt zu einem verbotenen Labyrinth!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\nDieses legendäre Labyrinth voller Tunnel und\nGruben soll ans andere Ende der Welt führen!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クロエ\nUnglaublich... Wo hast du diese Karte her?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アンバー\nDieser nette Straßenverkäufer meinte doch glatt\nzu mir, es wäre mein Schicksal, sie ihm\nabzukaufen.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アンバー\nHat die ganze Zeit dabei gegrinst, der Kerl. Er\nhat sicher meine Leidenschaft für Legenden\ngespürt!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06クロエ\nHahaha, das wird es gewesen sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アンバー\nKeine Sorge, Chloé. Diesmal werde ich dich\nnicht einladen.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06クロエ\nOh. Wieso das? Hat dir das Essen nicht\ngefallen, das ich auf unserem letzten Abenteuer\nmitgebracht habe?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アンバー\nWas? Nein! Das war richtig lecker. Zumindest\nnachdem ich die Augäpfel hinter mir hatte.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アンバー\nIch habe nur das Gefühl, dass ich dich letztes\nMal völlig umsonst mitgeschleppt habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アンバー\nIch bin mir ganz sicher, dass DIESE Karte jetzt\necht ist... Aber ich will das erst allein prüfen,\nnur um wirklich GANZ, ganz sicher zu sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クロエ\nDas ist aber schade. Ich hätte dich gerne\nbegleitet.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アンバー\nWas? Meinst du das ernst?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クロエ\nNa klar!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クロエ\nIch meine, es ist doch eigentlich unwichtig, ob\nwir tatsächlich irgendeine geheimnisvolle,\nlegendäre Ruine finden, stimmt's?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クロエ\nDie Hauptsache ist, wir haben gemeinsam Spaß\nbei der Suche danach! Wie die Helden in den\nLegenden!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アンバー\nWhoa! Genau deswegen sind solche Abenteuer\neinfach das Beste. Du verstehst mich!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クロエ\nSicher doch. Ich hab das Funkeln in deinen\nAugen gesehen, als wir uns letztes Mal dem X\nauf der Karte näherten.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アンバー\nNa, wenn das so ist... Chloé, würdest du mich\nwohl doch begleiten auf einer weiteren\nabenteuerlichen Suche nach Legenden?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06クロエ\nDefinitiv! Und diesmal bringe ich uns ganz\nbesonderen Proviant mit.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アンバー\nPrima! Nur, äh... halt dich mit dem Essen von\ndiesen Imbissbuden etwas zurück, ja?\x0E\x04\x00\x00
