MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08アイビー\nEntschuldigung, Mauvier?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06モーヴ\nPrinzessin Ivy? Wie kann ich Euch helfen?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アイビー\nIch hatte gehofft, wir könnten ein wenig reden.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アイビー\nSchließlich finden wir uns in ganz ähnlichen\nUmständen wieder.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06モーヴ\nÄhnlichen Umständen? Oh, ich glaube, ich\nverstehe.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06モーヴ\nJeder von uns stand jenen, die wir heute unsere\nVerbündeten nennen, einst als Feind gegenüber.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08アイビー\nExakt.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アイビー\nVor diesem Hintergrund frage ich dich, Mauvier:\nHast du das Gefühl, jetzt dort zu sein, wohin\ndu wahrlich gehörst?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06モーヴ\nIch... bin unsicher.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06モーヴ\nEs gibt welche, die mich akzeptieren. Doch ich\ndenke, dies tun noch nicht alle.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06モーヴ\nIch fühle mich hier wohl, aber das hat nichts zu\nbedeuten.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06モーヴ\nIch gebe vor, dass alles gut sei. Doch ich habe\nkeine Beweise, um dies auch zu belegen.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アイビー\nJa.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06モーヴ\nDoch ich plane nicht zu gehen.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06モーヴ\nIch habe mich der Unterstützung anderer\nverschrieben und hoffe, dadurch Akzeptanz\nzu finden.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06モーヴ\nUnd einen neuen Platz für mich in dieser Welt.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アイビー\nIch verstehe vollkommen.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アイビー\nUnd lass mich zumindest verkünden, dass ich\ndich akzeptiere und dich als Freund willkommen\nheiße.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08アイビー\nDies sage ich als jemand, die ebenfalls den\nWunsch hegt, die gleichen Worte von unseren\nVerbündeten zu hören.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06モーヴ\nHabt Dank für Eure Offenheit, Prinzessin Ivy.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nIst es wahr?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06モーヴ\nPrinzessin Ivy, Ihr verehrt \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin?\nGanz Elusia huldigt doch dem\nDämonendrachen.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08アイビー\nEs ist wahr.\x0E\x04\x00\x00
