MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nSir Vander, habt Ihr tatsächlich in Lythos unter\nKönigin Lumera gedient?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nJa. Ich war ihr Bediensteter. Weswegen fragt\nIhr?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08パンドロ\nNun, als Geistlicher habe ich den höchsten\nRespekt vor Euch.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nFür ein solch ehrenhaftes Amt – und dann auch\nnoch im heiligen Land! – gäbe ich glatt meinen\nlinken Arm.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nヴァンドレ\nBei so viel Schmeichelei verliert Ihr eher ein\nOhr, das ich Euch mit meinen alten Kriegs-\ngeschichten abschwatzen werde.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08パンドロ\nOh, bitte. Ich würde zu gerne hören, wie das\ndamals so war.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nヴァンドレ\nMit Freuden. Doch wir sollten wohl besser einen\nangemesseneren Ort dafür finden.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パンドロ\nWie wäre es bei meiner nächsten Party?\nEs gibt keine bessere Gelegenheit als diese.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nヴァンドレ\nHm. Ich würde mich jetzt nicht gerade als\nPartylöwen bezeichnen.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パンドロ\nOh, Ihr werdet Euch schon wohlfühlen. Es ist\ndoch nur eine kleine Versammlung in der Kirche.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パンドロ\nJunge Gläubige, die für den Frieden beten, mit\nfrommem Tanz und Gesang. So etwas eben.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nヴァンドレ\nEine Messe mit Tanz und Gesang, sagt Ihr?\nDas klingt tatsächlich einladend.\x0E\x04\x00\x00
