MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nHmmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クロエ\nWas ist los, Prinzessin Hortensia?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nJa, doch, jetzt erkenne ich es...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nDu hast eine ganz besondere Art von Charme.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06クロエ\nOh, wirklich?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nJa. Du strahlst so eine Aura von Erhabenheit\nund... Reife aus! Wie eine fürsorgliche Mutter für\nuns alle.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nDas gefällt mir. Die Niedlichste bin ich ja schon,\naber das muss ich noch in mein Repertoire\naufnehmen!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nNa ja, gut, wenn ich älter bin, wird diese Aura\nmütterlicher Reife sicher ganz von selbst\nkommen...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nAber warum sollte ich so lange warten müssen?!\nDu hast diese Aura bereits jetzt, also muss ich\nsie auch haben!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クロエ\nWenn Ihr... meint...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nSchön, dass du mir zustimmst, Chloé. Denn ich\nwill, dass du mich begleitest. Damit ich dich\nbeobachten kann.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nWenn ich erst mit eigenen Augen sehe, wie du\ndas machst, kann ich die Technik von dir\nabkupf-- äh, ich meine, lernen.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クロエ\nIch bezweifle, dass das so funktioniert, aber...\nna gut.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クロエ\nEs ehrt mich allerdings, dass jemand so\nNiedliches wie Ihr denkt, ich hätte eine solch\nerhabene Aura.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nAusgezeichnet. Warte, wirklich?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nEs macht dir nichts aus, dass ich wie aus dem\nNichts eine solche Bitte an dich stelle?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06クロエ\nAch was, das macht mir überhaupt nichts. Das\nist Teil dessen, was Euch so niedlich macht!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nSiehst du, das ist genau, was ich meine!\nWie machst du das nur?\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nEine mütterliche Aura bedeutet, dass du alle mit\noffenen Armen empfängst, weshalb sie sich zu\ndir hingezogen fühlen.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch verstehe, was dahintersteckt, aber ich weiß\neinfach nicht, wie genau du das machst.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch muss dich einfach weiterhin beobachten.\nIrgendwann werde ich schon hinter all deine\nTricks kommen!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クロエ\nIch helfe gerne, wo ich kann. Ich hoffe nur, es\nfunktioniert auch.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クロエ\nOh, aber wartet. Bevor wir damit anfangen...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06クロエ\nLasst mich Euch kurz das Gesicht abwischen.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nAh... Klebte da etwa was?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06クロエ\nJa, aber ich habe mich darum gekümmert.\nNun ist Euer niedliches Gesicht gleich noch\nniedlicher!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nHihihi, danke, Chloé!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nMoment...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nDas war sie! Das war wieder besagte Aura!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch habe dir ganz selbstverständlich vertraut\nund erlaubt, dass du mir das Gesicht abwischst,\nohne überhaupt darüber nachzudenken!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nDieser liebevolle Moment fühlte sich... irgendwie\nfriedlich an.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06クロエ\nTatsächlich? Das ist aber lieb von Euch.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nHihihi, unfassbar. In deiner Nähe kann ich\ngar nicht vorsichtig genug sein!\x0E\x04\x00\x00
