MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0A\x08リュール\nFogado, ich wollte Euch und den Wächtern für\ndie harte Arbeit heute danken.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nフォガート\nHahaha, hart? War doch ein Klacks!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nフォガート\nWir mussten keinen einzigen Streit schlichten,\nund es waren kaum Verzerrte in der Nähe.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nAch, wäre doch bloß jeder Tag so wie dieser.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nIhr nehmt immer alles so gelassen hin.\nWahrscheinlich liebt Euch deshalb Euer\nVolk so sehr.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nAls \x0E\x0A\x00B Euer Verbündeter\x1EEure Verbündete ist es mir eine wahre\nFreude, jemanden an meiner Seite zu haben,\nder derart unerschütterlich ist.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nフォガート\nUnerschütterlich sagt Ihr, ja? Oooh, da werde\nich ja gleich ganz rot.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nフォガート\nAber danke fürs Kompliment. Wie wär's, wenn\nwir demnächst mal gemeinsam zu Abend essen?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nAbendessen?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nフォガート\nJa! Ihr, ich, und ein paar unverblümte Fragen.\nZum Beispiel... Wer ist Euer bester Freund oder\nEure beste Freundin und vor allem warum?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nÄhm, das ist aber ziemlich persönlich.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nフォガート\nIhr könntet mir auch einen Eurer geheimsten\nWünsche verraten. Ihr wisst schon, einen, der\nEuch so richtig peinlich ist.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nNein! Das ist ja sogar noch viel schlimmer.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nSo sehr ich auch Eure unbekümmerte Art mag,\nEure Neckereien gehen doch etwas zu weit.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nフォガート\nIch soll also lieber einen auf öde und förmlich\nmachen und den Spitzbuben in mir verleugnen?\nNö. Das wäre dann ja nicht mehr ich.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nHm, schätze, da ist was dran. Man kann sich\nEuch nur schwer ohne Euren unbekümmerten\nCharakter vorstellen.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nImmerhin ist er einer Eurer liebenswertesten\nEigenschaften.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nPuh. Das sollte für heute genügen.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nWisst Ihr, für einen selbst ernannten\nSpitzbuben legt Ihr euch mit Eurem\nTraining aber mächtig ins Zeug.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nフォガート\nHuch?! Wie lange steht Ihr bereits dort?!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nLange genug. Ich wette mit Euch, die Wächter\nwären begeistert, wenn sie wüssten, wie hart\nIhr trainiert.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nフォガート\nNein, wären sie nicht. Und Ihr werdet dies-\nbezüglich auch hübsch Eure Klappe halten.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nWieso? Zu trainieren ist doch nichts, wofür man\nsich schämen müsste.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nフォガート\nDarum geht's nicht. Ich habe hier einen Ruf zu\nverteidigen, klar?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nフォガート\nAlle denken, ich sei so unbekümmert. Und das\nsoll auch so bleiben, damit es den Leuten nicht\nihre gute Laune verhagelt.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nIch... verstehe nicht ganz.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nフォガート\nWürden die Wächter sehen, wie viel Arbeit ich\nin meine Topform investiere, würden sie sich\nnur unter Druck gesetzt fühlen.\x0E\x04\x00\x00
