MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x06\x04ルイ\nHallo, Saphir. Dürfte ich Euch auf eine Tasse\nTee einladen?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nザフィーア\nTee? Also... Nein, danke.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nザフィーア\nMir ist im Moment nicht nach Geplauder.\nDu suchst dir lieber jemand anders.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ルイ\nIhr wirkt heute in der Tat viel ernster als üblich.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nザフィーア\nDas ist dir also aufgefallen... und du hast mich\ntrotzdem angesprochen. Wieso?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ルイ\nNun, Tee kann eine sehr beruhigende Wirkung\nhaben, wisst Ihr.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nザフィーア\nHahaha, oder vielleicht bist du einfach nur\naufdringlich.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nザフィーア\nDennoch... danke. Für die Aufmerksamkeit,\nmeine ich.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ルイ\nWas beschäftigt Euch denn genau?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nザフィーア\nNichts Wichtiges.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nザフィーア\nIch... habe nur nicht viel Schlaf gefunden letzte\nNacht. Hab schlecht geträumt.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ルイ\nWie furchtbar.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nザフィーア\nFühlt sich lächerlich an, wenn ich das so\nausspreche. Ich bin kein kleines Mädchen mehr.\nAlbträume sollten mir nichts mehr ausmachen.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x06\x04ルイ\nNicht doch. Selbst die Stärksten unter uns\nkönnen noch immer unter Albträumen leiden.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nザフィーア\nVielleicht hast du recht.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ルイ\nLasst mich Euch etwas schönen, warmen Tee\nservieren.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x06\x04ルイ\nDer Tee mag Eure Albträume nicht verjagen,\ndoch kann er Euren Geist gewiss ein wenig zur\nRuhe kommen lassen.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nザフィーア\nWenn du es so ausdrückst... Ich schätze, es\nschadet nicht, deine Einladung anzunehmen.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x06\x04ルイ\nGanz, wie ich gehofft hatte.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\n...\x0E\x04\x00\x00
